"Region","Country","source","Data_status","Year","Month","season_nMonth","cases","cum_todate_cases_year","Predicted_total_seasonal_cases","Ave_season_monthly_cases","Ave_monthly_proportion","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion"
"Caribbean","Aruba","WHO","Observed",2025,1,7,0,0,10,96,0.09,346,0.41
"Caribbean","Aruba","PAHO","Observed",2025,2,8,2,2,10,103,0.11,449,0.52
"Caribbean","Aruba","WHO","Observed",2025,3,9,0,2,10,142,0.17,591,0.69
"Caribbean","Aruba","PAHO","Observed",2025,4,10,2,4,10,120,0.15,711,0.84
"Caribbean","Aruba","PAHO","Observed",2025,5,11,2,6,10,88,0.1,799,0.94
"Caribbean","Aruba","PAHO","Observed",2025,6,12,4,10,10,52,0.06,850,1
"Caribbean","Aruba","PAHO","Observed",2025,7,1,2,12,17,22,0.03,22,0.03
"Caribbean","Aruba","PAHO","Observed",2025,8,2,2,14,17,33,0.04,54,0.07
"Caribbean","Aruba","WHO","Observed",2025,9,3,0,14,17,62,0.08,117,0.15
"Caribbean","Aruba","WHO","Observed",2025,10,4,0,14,17,64,0.08,181,0.23
"Caribbean","Aruba","Estimates","Unobserved",2025,11,5,0,14,17,38,0.05,219,0.28
"Caribbean","Aruba","Estimates","Unobserved",2025,12,6,0,14,17,30,0.04,249,0.32
"Caribbean","Aruba","Estimates","Unobserved",2026,1,7,2,2,17,96,0.09,346,0.41
"Caribbean","Aruba","Estimates","Unobserved",2026,2,8,2,4,17,103,0.11,449,0.52
"Caribbean","Aruba","Estimates","Unobserved",2026,3,9,3,7,17,142,0.17,591,0.69
"Caribbean","Aruba","Estimates","Unobserved",2026,4,10,3,10,17,120,0.15,711,0.84
"Caribbean","Aruba","Estimates","Unobserved",2026,5,11,2,12,17,88,0.1,799,0.94
"Caribbean","Aruba","Estimates","Unobserved",2026,6,12,1,13,17,52,0.06,850,1
"Caribbean","Aruba","Estimates","Unobserved",2026,7,1,0,13,NA,22,0.03,22,0.03
"Caribbean","Aruba","Estimates","Unobserved",2026,8,2,1,14,NA,33,0.04,54,0.07
"Caribbean","Aruba",NA,"Unobserved",2026,9,3,NA,NA,NA,62,0.08,117,0.15
"Caribbean","Aruba",NA,"Unobserved",2026,10,4,NA,NA,NA,64,0.08,181,0.23
"Caribbean","Aruba",NA,"Unobserved",2026,11,5,NA,NA,NA,38,0.05,219,0.28
"Caribbean","Aruba",NA,"Unobserved",2026,12,6,NA,NA,NA,30,0.04,249,0.32
"South Asia","Afghanistan","WHO","Observed",2025,1,11,71,71,97,114,0.07,2028,0.96
"South Asia","Afghanistan","WHO","Observed",2025,2,12,26,97,97,66,0.04,2094,1
"South Asia","Afghanistan","WHO","Observed",2025,3,1,18,115,4701,58,0.02,58,0.02
"South Asia","Afghanistan","WHO","Observed",2025,4,2,131,246,4701,50,0.02,108,0.04
"South Asia","Afghanistan","WHO","Observed",2025,5,3,216,462,4701,88,0.03,195,0.07
"South Asia","Afghanistan","WHO","Observed",2025,6,4,166,628,4701,58,0.02,254,0.1
"South Asia","Afghanistan","WHO","Observed",2025,7,5,339,967,4701,147,0.07,400,0.16
"South Asia","Afghanistan","WHO","Observed",2025,8,6,273,1240,4701,194,0.07,595,0.24
"South Asia","Afghanistan","WHO","Observed",2025,9,7,297,1537,4701,163,0.07,758,0.3
"South Asia","Afghanistan","WHO","Observed",2025,10,8,1967,3504,4701,521,0.24,1279,0.54
"South Asia","Afghanistan","WHO","Observed",2025,11,9,987,4491,4701,420,0.22,1699,0.76
"South Asia","Afghanistan","Estimates","Unobserved",2025,12,10,13,4504,4701,215,0.13,1914,0.89
"South Asia","Afghanistan","WHO","Observed",2026,1,11,129,129,4701,114,0.07,2028,0.96
"South Asia","Afghanistan","WHO","Observed",2026,2,12,178,307,4701,66,0.04,2094,1
"South Asia","Afghanistan","WHO","Observed",2026,3,1,150,457,8157,58,0.02,58,0.02
"South Asia","Afghanistan","WHO","Observed",2026,4,2,247,704,8157,50,0.02,108,0.04
"South Asia","Afghanistan","WHO","Observed",2026,5,3,225,929,8157,88,0.03,195,0.07
"South Asia","Afghanistan","WHO","Observed",2026,6,4,248,1177,8157,58,0.02,254,0.1
"South Asia","Afghanistan","WHO","Observed",2026,7,5,473,1650,8157,147,0.07,400,0.16
"South Asia","Afghanistan","Estimates","Unobserved",2026,8,6,338,1988,8157,194,0.07,595,0.24
"South Asia","Afghanistan",NA,"Unobserved",2026,9,7,NA,NA,8157,163,0.07,758,0.3
"South Asia","Afghanistan",NA,"Unobserved",2026,10,8,NA,NA,8157,521,0.24,1279,0.54
"South Asia","Afghanistan",NA,"Unobserved",2026,11,9,NA,NA,8157,420,0.22,1699,0.76
"South Asia","Afghanistan",NA,"Unobserved",2026,12,10,NA,NA,8157,215,0.13,1914,0.89
"South America","Argentina","PAHO","Observed",2025,1,6,275,275,17635,2532,0.04,4562,0.17
"South America","Argentina","PAHO","Observed",2025,2,7,1341,1616,17635,6904,0.09,11466,0.26
"South America","Argentina","PAHO","Observed",2025,3,8,8513,10129,17635,23886,0.25,35352,0.5
"South America","Argentina","PAHO","Observed",2025,4,9,5428,15557,17635,16447,0.28,51799,0.79
"South America","Argentina","PAHO","Observed",2025,5,10,1976,17533,17635,4241,0.16,56040,0.95
"South America","Argentina","PAHO","Observed",2025,6,11,86,17619,17635,884,0.03,56923,0.99
"South America","Argentina","PAHO","Observed",2025,7,12,16,17635,17635,315,0.01,57238,1
"South America","Argentina","PAHO","Observed",2025,8,1,4,17639,1715,50,0.01,50,0.01
"South America","Argentina","PAHO","Observed",2025,9,2,1355,18994,1715,123,0.01,173,0.02
"South America","Argentina","PAHO","Observed",2025,10,3,3,18997,1715,96,0.02,268,0.05
"South America","Argentina","PAHO","Observed",2025,11,4,27,19024,1715,158,0.02,426,0.07
"South America","Argentina","PAHO","Observed",2025,12,5,241,19265,1715,1605,0.07,2031,0.14
"South America","Argentina","PAHO","Observed",2026,1,6,7,7,1715,2532,0.04,4562,0.17
"South America","Argentina","PAHO","Observed",2026,2,7,10,17,1715,6904,0.09,11466,0.26
"South America","Argentina","PAHO","Observed",2026,3,8,38,55,1715,23886,0.25,35352,0.5
"South America","Argentina","PAHO","Observed",2026,4,9,25,80,1715,16447,0.28,51799,0.79
