country,iso3,date,Year,Month,cases
Barbados,NA,2025-05-01T00:00:00Z,2025,5,8
Barbados,NA,2025-06-01T00:00:00Z,2025,6,1
Belize,NA,2024-01-01T00:00:00Z,2024,1,73
Belize,NA,2024-02-01T00:00:00Z,2024,2,72
Belize,NA,2024-03-01T00:00:00Z,2024,3,39
Belize,NA,2024-04-01T00:00:00Z,2024,4,53
Belize,NA,2024-05-01T00:00:00Z,2024,5,66
Belize,NA,2024-06-01T00:00:00Z,2024,6,71
Belize,NA,2024-07-01T00:00:00Z,2024,7,147
Belize,NA,2024-08-01T00:00:00Z,2024,8,315
Belize,NA,2024-09-01T00:00:00Z,2024,9,180
Belize,NA,2024-10-01T00:00:00Z,2024,10,78
Belize,NA,2024-11-01T00:00:00Z,2024,11,54
Belize,NA,2024-12-01T00:00:00Z,2024,12,NA
Belize,NA,2025-01-01T00:00:00Z,2025,1,54
Belize,NA,2025-02-01T00:00:00Z,2025,2,55
Belize,NA,2025-03-01T00:00:00Z,2025,3,90
Belize,NA,2025-04-01T00:00:00Z,2025,4,47
Bermuda,NA,2024-01-01T00:00:00Z,2024,1,NA
Bermuda,NA,2024-02-01T00:00:00Z,2024,2,NA
Bermuda,NA,2024-03-01T00:00:00Z,2024,3,NA
Bermuda,NA,2024-04-01T00:00:00Z,2024,4,NA
Bermuda,NA,2024-05-01T00:00:00Z,2024,5,NA
Bermuda,NA,2024-06-01T00:00:00Z,2024,6,NA
Bermuda,NA,2024-07-01T00:00:00Z,2024,7,NA
Bermuda,NA,2024-08-01T00:00:00Z,2024,8,1
Bermuda,NA,2024-09-01T00:00:00Z,2024,9,NA
Bermuda,NA,2024-10-01T00:00:00Z,2024,10,NA
Bermuda,NA,2024-11-01T00:00:00Z,2024,11,NA
Bermuda,NA,2024-12-01T00:00:00Z,2024,12,NA
Bermuda,NA,2025-01-01T00:00:00Z,2025,1,NA
Bermuda,NA,2025-02-01T00:00:00Z,2025,2,NA
Bermuda,NA,2025-03-01T00:00:00Z,2025,3,NA
Bermuda,NA,2025-04-01T00:00:00Z,2025,4,NA
Bermuda,NA,2025-05-01T00:00:00Z,2025,5,NA
Bolivia,NA,2024-01-01T00:00:00Z,2024,1,7720
Bolivia,NA,2024-02-01T00:00:00Z,2024,2,5811
Bolivia,NA,2024-03-01T00:00:00Z,2024,3,9096
Bolivia,NA,2024-04-01T00:00:00Z,2024,4,11015
Bolivia,NA,2024-05-01T00:00:00Z,2024,5,5513
Bolivia,NA,2024-06-01T00:00:00Z,2024,6,1909
Bolivia,NA,2024-07-01T00:00:00Z,2024,7,886
Bolivia,NA,2024-08-01T00:00:00Z,2024,8,802
Bolivia,NA,2024-09-01T00:00:00Z,2024,9,1338
Bolivia,NA,2024-10-01T00:00:00Z,2024,10,1415
Bolivia,NA,2024-11-01T00:00:00Z,2024,11,2085
Bolivia,NA,2024-12-01T00:00:00Z,2024,12,2854
Bolivia,NA,2025-01-01T00:00:00Z,2025,1,4154
Bolivia,NA,2025-02-01T00:00:00Z,2025,2,3395
Bolivia,NA,2025-03-01T00:00:00Z,2025,3,5792
Bolivia,NA,2025-04-01T00:00:00Z,2025,4,4273
Bolivia,NA,2025-05-01T00:00:00Z,2025,5,3460
"Bonaire, Sint Eustatius and Saba",NA,2024-01-01T00:00:00Z,2024,1,89
"Bonaire, Sint Eustatius and Saba",NA,2024-02-01T00:00:00Z,2024,2,63
"Bonaire, Sint Eustatius and Saba",NA,2024-03-01T00:00:00Z,2024,3,55
Brazil,NA,2024-01-01T00:00:00Z,2024,1,780294
Brazil,NA,2024-02-01T00:00:00Z,2024,2,1717471
Brazil,NA,2024-03-01T00:00:00Z,2024,3,2294462
Brazil,NA,2024-04-01T00:00:00Z,2024,4,2730187
Brazil,NA,2024-05-01T00:00:00Z,2024,5,1393612
Brazil,NA,2024-06-01T00:00:00Z,2024,6,508183
Brazil,NA,2024-07-01T00:00:00Z,2024,7,224816
Brazil,NA,2024-08-01T00:00:00Z,2024,8,112171
Brazil,NA,2024-09-01T00:00:00Z,2024,9,132175
Brazil,NA,2024-10-01T00:00:00Z,2024,10,102456
Brazil,NA,2024-11-01T00:00:00Z,2024,11,130569
Brazil,NA,2024-12-01T00:00:00Z,2024,12,172024
Brazil,NA,2025-01-01T00:00:00Z,2025,1,456645
Brazil,NA,2025-02-01T00:00:00Z,2025,2,562993
Brazil,NA,2025-03-01T00:00:00Z,2025,3,855828
Brazil,NA,2025-04-01T00:00:00Z,2025,4,608346
Brazil,NA,2025-05-01T00:00:00Z,2025,5,555051
Brazil,NA,2025-06-01T00:00:00Z,2025,6,196835
British Virgin Islands,NA,2024-01-01T00:00:00Z,2024,1,NA
British Virgin Islands,NA,2024-02-01T00:00:00Z,2024,2,NA
British Virgin Islands,NA,2024-03-01T00:00:00Z,2024,3,NA
British Virgin Islands,NA,2024-04-01T00:00:00Z,2024,4,NA
British Virgin Islands,NA,2024-05-01T00:00:00Z,2024,5,NA
British Virgin Islands,NA,2024-06-01T00:00:00Z,2024,6,NA
British Virgin Islands,NA,2024-07-01T00:00:00Z,2024,7,12
British Virgin Islands,NA,2024-08-01T00:00:00Z,2024,8,9
British Virgin Islands,NA,2024-09-01T00:00:00Z,2024,9,49
British Virgin Islands,NA,2024-10-01T00:00:00Z,2024,10,8
British Virgin Islands,NA,2024-11-01T00:00:00Z,2024,11,52
British Virgin Islands,NA,2024-12-01T00:00:00Z,2024,12,NA
British Virgin Islands,NA,2025-01-01T00:00:00Z,2025,1,11
British Virgin Islands,NA,2025-02-01T00:00:00Z,2025,2,4
British Virgin Islands,NA,2025-03-01T00:00:00Z,2025,3,6
British Virgin Islands,NA,2025-04-01T00:00:00Z,2025,4,4
British Virgin Islands,NA,2025-05-01T00:00:00Z,2025,5,1
Canada,NA,2024-01-01T00:00:00Z,2024,1,NA
Canada,NA,2024-02-01T00:00:00Z,2024,2,NA
Canada,NA,2024-03-01T00:00:00Z,2024,3,NA
Canada,NA,2024-04-01T00:00:00Z,2024,4,NA
Canada,NA,2024-05-01T00:00:00Z,2024,5,NA
Canada,NA,2024-06-01T00:00:00Z,2024,6,NA
Canada,NA,2024-07-01T00:00:00Z,2024,7,NA
Canada,NA,2024-08-01T00:00:00Z,2024,8,NA
Canada,NA,2024-09-01T00:00:00Z,2024,9,NA
Canada,NA,2024-10-01T00:00:00Z,2024,10,NA
Canada,NA,2024-11-01T00:00:00Z,2024,11,NA
Canada,NA,2024-12-01T00:00:00Z,2024,12,NA
Canada,NA,2025-01-01T00:00:00Z,2025,1,NA
Canada,NA,2025-02-01T00:00:00Z,2025,2,NA
Canada,NA,2025-03-01T00:00:00Z,2025,3,NA
Canada,NA,2025-04-01T00:00:00Z,2025,4,NA
Canada,NA,2025-05-01T00:00:00Z,2025,5,NA
Canada,NA,2025-06-01T00:00:00Z,2025,6,NA
Cayman Islands,NA,2024-01-01T00:00:00Z,2024,1,NA
Cayman Islands,NA,2024-02-01T00:00:00Z,2024,2,3
Cayman Islands,NA,2024-03-01T00:00:00Z,2024,3,NA
Cayman Islands,NA,2024-04-01T00:00:00Z,2024,4,NA
Cayman Islands,NA,2024-05-01T00:00:00Z,2024,5,NA
Cayman Islands,NA,2024-06-01T00:00:00Z,2024,6,NA
Cayman Islands,NA,2024-07-01T00:00:00Z,2024,7,2
Cayman Islands,NA,2024-08-01T00:00:00Z,2024,8,NA
Cayman Islands,NA,2024-09-01T00:00:00Z,2024,9,3
Cayman Islands,NA,2024-10-01T00:00:00Z,2024,10,NA
Cayman Islands,NA,2024-11-01T00:00:00Z,2024,11,NA
Cayman Islands,NA,2024-12-01T00:00:00Z,2024,12,NA
Cayman Islands,NA,2025-01-01T00:00:00Z,2025,1,NA
Cayman Islands,NA,2025-02-01T00:00:00Z,2025,2,NA
Cayman Islands,NA,2025-03-01T00:00:00Z,2025,3,NA
Cayman Islands,NA,2025-04-01T00:00:00Z,2025,4,NA
Chile,NA,2024-01-01T00:00:00Z,2024,1,NA
Chile,NA,2024-02-01T00:00:00Z,2024,2,NA
Chile,NA,2024-03-01T00:00:00Z,2024,3,37
Chile,NA,2024-04-01T00:00:00Z,2024,4,95
Chile,NA,2024-05-01T00:00:00Z,2024,5,19
Chile,NA,2024-06-01T00:00:00Z,2024,6,6
Chile,NA,2024-07-01T00:00:00Z,2024,7,NA
Chile,NA,2024-08-01T00:00:00Z,2024,8,NA
Chile,NA,2024-09-01T00:00:00Z,2024,9,NA
Chile,NA,2024-10-01T00:00:00Z,2024,10,NA
Chile,NA,2024-11-01T00:00:00Z,2024,11,NA
Chile,NA,2024-12-01T00:00:00Z,2024,12,NA
Chile,NA,2025-01-01T00:00:00Z,2025,1,NA
Chile,NA,2025-02-01T00:00:00Z,2025,2,NA
Chile,NA,2025-03-01T00:00:00Z,2025,3,NA
Chile,NA,2025-04-01T00:00:00Z,2025,4,NA
Chile,NA,2025-05-01T00:00:00Z,2025,5,NA
Chile,NA,2025-06-01T00:00:00Z,2025,6,NA
Colombia,NA,2024-01-01T00:00:00Z,2024,1,27649
Colombia,NA,2024-02-01T00:00:00Z,2024,2,27691
Colombia,NA,2024-03-01T00:00:00Z,2024,3,27938
Colombia,NA,2024-04-01T00:00:00Z,2024,4,45603
Colombia,NA,2024-05-01T00:00:00Z,2024,5,37453
Colombia,NA,2024-06-01T00:00:00Z,2024,6,35350
