country,iso3,date,Year,Month,cases
Anguilla,NA,2024-01-01T00:00:00Z,2024,Jan,NA
Anguilla,NA,2024-02-01T00:00:00Z,2024,Feb,NA
Anguilla,NA,2024-03-01T00:00:00Z,2024,Mar,NA
Anguilla,NA,2024-04-01T00:00:00Z,2024,Apr,NA
Anguilla,NA,2024-05-01T00:00:00Z,2024,May,NA
Anguilla,NA,2024-06-01T00:00:00Z,2024,Jun,NA
Anguilla,NA,2024-07-01T00:00:00Z,2024,Jul,NA
Anguilla,NA,2024-08-01T00:00:00Z,2024,Aug,NA
Anguilla,NA,2024-09-01T00:00:00Z,2024,Sep,NA
Anguilla,NA,2024-10-01T00:00:00Z,2024,Oct,NA
Anguilla,NA,2024-11-01T00:00:00Z,2024,Nov,NA
Anguilla,NA,2024-12-01T00:00:00Z,2024,Dec,NA
Anguilla,NA,2025-01-01T00:00:00Z,2025,Jan,NA
Anguilla,NA,2025-02-01T00:00:00Z,2025,Feb,NA
Anguilla,NA,2025-03-01T00:00:00Z,2025,Mar,1
Anguilla,NA,2025-04-01T00:00:00Z,2025,Apr,NA
Anguilla,NA,2025-05-01T00:00:00Z,2025,May,NA
Antigua and Barbuda,NA,2024-01-01T00:00:00Z,2024,Jan,41
Antigua and Barbuda,NA,2024-02-01T00:00:00Z,2024,Feb,NA
Antigua and Barbuda,NA,2024-03-01T00:00:00Z,2024,Mar,NA
Antigua and Barbuda,NA,2024-04-01T00:00:00Z,2024,Apr,74
Antigua and Barbuda,NA,2024-05-01T00:00:00Z,2024,May,8
Antigua and Barbuda,NA,2024-06-01T00:00:00Z,2024,Jun,NA
Antigua and Barbuda,NA,2024-07-01T00:00:00Z,2024,Jul,NA
Antigua and Barbuda,NA,2024-08-01T00:00:00Z,2024,Aug,NA
Antigua and Barbuda,NA,2024-09-01T00:00:00Z,2024,Sep,12
Antigua and Barbuda,NA,2024-10-01T00:00:00Z,2024,Oct,NA
Antigua and Barbuda,NA,2024-11-01T00:00:00Z,2024,Nov,NA
Antigua and Barbuda,NA,2024-12-01T00:00:00Z,2024,Dec,NA
Antigua and Barbuda,NA,2025-01-01T00:00:00Z,2025,Jan,NA
Antigua and Barbuda,NA,2025-02-01T00:00:00Z,2025,Feb,NA
Antigua and Barbuda,NA,2025-03-01T00:00:00Z,2025,Mar,2
Antigua and Barbuda,NA,2025-04-01T00:00:00Z,2025,Apr,1
Antigua and Barbuda,NA,2025-05-01T00:00:00Z,2025,May,NA
Argentina,NA,2024-01-01T00:00:00Z,2024,Jan,32998
Argentina,NA,2024-02-01T00:00:00Z,2024,Feb,80049
Argentina,NA,2024-03-01T00:00:00Z,2024,Mar,229735
Argentina,NA,2024-04-01T00:00:00Z,2024,Apr,219578
Argentina,NA,2024-05-01T00:00:00Z,2024,May,18003
