"iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion","Year","date","cases","source","Data_status","Predicted_total_seasonal_cases","cum_todate_cases_calendar","cum_todate_cases_season","percentile_most_recent","Country","Region.x","Region.y","country"
"ARG",11,4,1.08777653619069,39.6,39.6,867.4,0.179477477012288,0.016797560569916,2024,"2024-11-01",84,"PAHO","Observed",468,581477,5449,99.9996027948913,"Argentina","South America","South America","Argentina"
"ARG",5,10,0.36704355688762,4816,4816,29499.8,0.942977551043999,0.152208692941347,2024,"2024-05-01",18003,"PAHO","Observed",19092,580363,NA,94.1906216743855,"Argentina","South America","South America","Argentina"
"ARG",11,4,1.08777653619069,39.6,39.6,867.4,0.179477477012288,0.016797560569916,2025,"2025-11-01",1,"PAHO","Observed",6,22883,5450,14.3822384507886,"Argentina","South America","South America","Argentina"
"ARG",6,11,0.311900246954607,2034,2034,31533.8,0.985260246970913,0.0422826959269141,2025,"2025-06-01",86,"PAHO","Observed",87,17615,NA,29.019297646717,"Argentina","South America","South America","Argentina"
"ARG",3,8,0.302601529283385,9607.40000000001,9607.4,11510.2,0.529167552702395,0.218044779924419,2024,"2024-03-01",229735,"PAHO","Observed",434144,342782,NA,99.9999940149817,"Argentina","South America","South America","Argentina"
"ARG",12,5,1.14344756955895,89.2000000000001,89.2,956.6,0.222793261368279,0.0433157843559905,2024,"2024-12-01",83,"PAHO","Observed",373,581560,5533,98.8298887151138,"Argentina","South America","South America","Argentina"
"ARG",1,6,0.755030276746932,199.6,199.6,1156.2,0.247235098658324,0.0244418372900453,2025,"2025-01-01",275,"PAHO","Observed",1112,275,NA,99.1761141279944,"Argentina","South America","South America","Argentina"
"ARG",5,10,0.36704355688762,4816,4816,29499.8,0.942977551043999,0.152208692941347,2025,"2025-05-01",1972,"PAHO","Observed",2091,17529,NA,54.9508094558619,"Argentina","South America","South America","Argentina"
"ARG",3,8,0.302601529283385,9607.40000000001,9607.4,11510.2,0.529167552702395,0.218044779924419,2025,"2025-03-01",8515,"PAHO","Observed",16091,10130,NA,81.4350940789348,"Argentina","South America","South America","Argentina"
"ARG",1,6,0.755030276746932,199.6,199.6,1156.2,0.247235098658324,0.0244418372900453,2024,"2024-01-01",32998,"PAHO","Observed",133468,32998,NA,100,"Argentina","South America","South America","Argentina"
"ARG",8,1,1.11066407784578,11.6,11.6,11.6,0.0056875597600479,0.0056875597600479,2024,"2024-08-01",31,"PAHO","Observed",5450,581310,31,100,"Argentina","South America","South America","Argentina"
"ARG",9,2,1.05070348528064,14,14,25.6,0.013059882857984,0.00737232309793614,2025,"2025-09-01",1,"WHO","Observed",77,21821,4252,99.6008988638932,"Argentina","South America","South America","Argentina"
"ARG",6,11,0.311900246954607,2034,2034,31533.8,0.985260246970913,0.0422826959269141,2024,"2024-06-01",876,"PAHO","Observed",889,581239,NA,58.1041749269109,"Argentina","South America","South America","Argentina"
"ARG",4,9,0.287133390471294,13173.6,13173.6,24683.8,0.790768858102652,0.261601305400257,2025,"2025-04-01",5427,"PAHO","Observed",6863,15557,NA,62.3672434964924,"Argentina","South America","South America","Argentina"
"ARG",8,1,1.11066407784578,11.6,11.6,11.6,0.0056875597600479,0.0056875597600479,2025,"2025-08-01",4189,"PAHO","Observed",736520,21820,4220,100,"Argentina","South America","South America","Argentina"
