window_type,origin_date,iso3,region,train_start,train_end,n_train_months,n_gap_in_window,n_targets_with_truth,eligible
expanding,2016-01-01,SEN,Sub-Saharan Africa,2017-05-01,2016-01-01,0,0,0,FALSE
expanding,2016-01-01,SYC,Sub-Saharan Africa,2016-07-01,2016-01-01,0,0,1,FALSE
expanding,2016-01-01,AFG,South Asia,2021-03-01,2016-01-01,0,0,0,FALSE
expanding,2016-01-01,BGD,South Asia,2010-03-01,2016-01-01,71,0,6,TRUE
expanding,2016-01-01,BTN,South Asia,2010-03-01,2016-01-01,36,35,5,TRUE
expanding,2016-01-01,IND,South Asia,2010-04-01,2016-01-01,70,0,6,TRUE
expanding,2016-01-01,LKA,South Asia,2010-02-01,2016-01-01,72,0,6,TRUE
expanding,2016-01-01,MDV,South Asia,2010-02-01,2016-01-01,72,0,6,TRUE
expanding,2016-01-01,NPL,South Asia,2010-03-01,2016-01-01,71,0,6,TRUE
expanding,2016-01-01,PAK,South Asia,2010-03-01,2016-01-01,71,0,6,TRUE
expanding,2016-01-01,BRN,East & Southeast Asia,2010-05-01,2016-01-01,69,0,6,TRUE
expanding,2016-01-01,CHN,East & Southeast Asia,2010-03-01,2016-01-01,71,0,6,TRUE
expanding,2016-01-01,IDN,East & Southeast Asia,2010-10-01,2016-01-01,64,0,6,TRUE
expanding,2016-01-01,KHM,East & Southeast Asia,2010-02-01,2016-01-01,72,0,6,TRUE
expanding,2016-01-01,LAO,East & Southeast Asia,2010-02-01,2016-01-01,72,0,6,TRUE
expanding,2016-01-01,MMR,East & Southeast Asia,2010-02-01,2016-01-01,72,0,6,TRUE
expanding,2016-01-01,MYS,East & Southeast Asia,2010-02-01,2016-01-01,72,0,6,TRUE
expanding,2016-01-01,PHL,East & Southeast Asia,2010-04-01,2016-01-01,70,0,6,TRUE
expanding,2016-01-01,SGP,East & Southeast Asia,2010-02-01,2016-01-01,72,0,6,TRUE
expanding,2016-01-01,THA,East & Southeast Asia,2010-02-01,2016-01-01,72,0,6,TRUE
expanding,2016-01-01,TLS,East & Southeast Asia,2010-09-01,2016-01-01,65,0,6,TRUE
expanding,2016-01-01,TWN,East & Southeast Asia,2010-03-01,2016-01-01,71,0,1,TRUE
expanding,2016-01-01,VNM,East & Southeast Asia,2010-03-01,2016-01-01,71,0,6,TRUE
expanding,2016-01-01,AUS,Pacific Islands,2010-09-01,2016-01-01,65,0,6,TRUE
expanding,2016-01-01,COK,Pacific Islands,2014-01-01,2016-01-01,24,1,0,FALSE
expanding,2016-01-01,FJI,Pacific Islands,2010-11-01,2016-01-01,63,0,6,TRUE
expanding,2016-01-01,FSM,Pacific Islands,2016-04-01,2016-01-01,0,0,4,FALSE
expanding,2016-01-01,KIR,Pacific Islands,2011-04-01,2016-01-01,48,10,0,FALSE
expanding,2016-01-01,MHL,Pacific Islands,2011-06-01,2016-01-01,12,44,0,FALSE
expanding,2016-01-01,NCL,Pacific Islands,2011-09-01,2016-01-01,48,5,0,FALSE
expanding,2016-01-01,PLW,Pacific Islands,2010-04-01,2016-01-01,12,58,0,FALSE
expanding,2016-01-01,PYF,Pacific Islands,2010-05-01,2016-01-01,45,24,6,TRUE
expanding,2016-01-01,SLB,Pacific Islands,2013-04-01,2016-01-01,12,22,4,FALSE
expanding,2016-01-01,TON,Pacific Islands,2014-05-01,2016-01-01,12,9,0,FALSE
expanding,2016-01-01,TUV,Pacific Islands,2018-04-01,2016-01-01,0,0,0,FALSE
expanding,2016-01-01,VUT,Pacific Islands,2010-11-01,2016-01-01,12,51,0,FALSE
expanding,2016-01-01,WLF,Pacific Islands,2017-06-01,2016-01-01,0,0,0,FALSE
expanding,2016-01-01,WSM,Pacific Islands,2017-10-01,2016-01-01,0,0,0,FALSE
expanding,2016-02-01,BLZ,North & Central America,2010-03-01,2016-02-01,72,0,6,TRUE
expanding,2016-02-01,CRI,North & Central America,2010-03-01,2016-02-01,72,0,6,TRUE
expanding,2016-02-01,GTM,North & Central America,2010-02-01,2016-02-01,73,0,6,TRUE
expanding,2016-02-01,HND,North & Central America,2010-02-01,2016-02-01,73,0,6,TRUE
expanding,2016-02-01,MEX,North & Central America,2010-02-01,2016-02-01,73,0,6,TRUE
expanding,2016-02-01,NIC,North & Central America,2010-03-01,2016-02-01,72,0,6,TRUE
expanding,2016-02-01,PAN,North & Central America,2010-04-01,2016-02-01,71,0,6,TRUE
expanding,2016-02-01,SLV,North & Central America,2010-02-01,2016-02-01,73,0,6,TRUE
expanding,2016-02-01,USA,North & Central America,2010-03-01,2016-02-01,60,12,6,TRUE
expanding,2016-02-01,ABW,Caribbean,2010-07-01,2016-02-01,44,24,6,TRUE
expanding,2016-02-01,ATG,Caribbean,2015-04-01,2016-02-01,11,0,6,FALSE
expanding,2016-02-01,BES,Caribbean,2010-05-01,2016-02-01,36,0,0,FALSE
expanding,2016-02-01,BHS,Caribbean,2010-04-01,2016-02-01,36,35,5,TRUE
expanding,2016-02-01,BLM,Caribbean,2012-04-01,2016-02-01,47,0,6,TRUE
expanding,2016-02-01,BRB,Caribbean,2010-04-01,2016-02-01,71,0,6,TRUE
expanding,2016-02-01,CUB,Caribbean,2014-04-01,2016-02-01,23,0,6,FALSE
expanding,2016-02-01,CUW,Caribbean,2010-05-01,2016-02-01,48,0,0,FALSE
expanding,2016-02-01,CYM,Caribbean,2012-04-01,2016-02-01,47,0,6,TRUE
expanding,2016-02-01,DMA,Caribbean,2010-04-01,2016-02-01,59,12,6,TRUE
expanding,2016-02-01,DOM,Caribbean,2010-03-01,2016-02-01,72,0,6,TRUE
expanding,2016-02-01,GLP,Caribbean,2010-04-01,2016-02-01,71,0,6,TRUE
expanding,2016-02-01,GRD,Caribbean,2010-03-01,2016-02-01,60,12,6,TRUE
expanding,2016-02-01,HTI,Caribbean,2018-05-01,2016-02-01,0,0,0,FALSE
expanding,2016-02-01,JAM,Caribbean,2010-05-01,2016-02-01,70,0,6,TRUE
expanding,2016-02-01,KNA,Caribbean,2013-04-01,2016-02-01,24,11,5,FALSE
expanding,2016-02-01,LCA,Caribbean,2010-03-01,2016-02-01,60,12,6,TRUE
expanding,2016-02-01,MAF,Caribbean,2010-06-01,2016-02-01,69,0,6,TRUE
expanding,2016-02-01,MTQ,Caribbean,2010-05-01,2016-02-01,70,0,6,TRUE
expanding,2016-02-01,PRI,Caribbean,2010-04-01,2016-02-01,71,0,1,TRUE
expanding,2016-02-01,SXM,Caribbean,2010-04-01,2016-02-01,36,35,0,FALSE
expanding,2016-02-01,TCA,Caribbean,2013-05-01,2016-02-01,34,0,6,FALSE
expanding,2016-02-01,TTO,Caribbean,2010-04-01,2016-02-01,35,36,6,FALSE
expanding,2016-02-01,VCT,Caribbean,2010-04-01,2016-02-01,60,11,5,TRUE
expanding,2016-02-01,VGB,Caribbean,2010-04-01,2016-02-01,71,0,6,TRUE
expanding,2016-02-01,ARG,South America,2010-08-01,2016-02-01,67,0,6,TRUE
expanding,2016-02-01,BOL,South America,2010-08-01,2016-02-01,67,0,6,TRUE
expanding,2016-02-01,BRA,South America,2010-10-01,2016-02-01,65,0,6,TRUE
expanding,2016-02-01,CHL,South America,2012-04-01,2016-02-01,35,12,1,FALSE
expanding,2016-02-01,COL,South America,2010-02-01,2016-02-01,73,0,6,TRUE
expanding,2016-02-01,ECU,South America,2010-11-01,2016-02-01,64,0,6,TRUE
expanding,2016-02-01,GUF,South America,2010-10-01,2016-02-01,65,0,6,TRUE
expanding,2016-02-01,GUY,South America,2010-01-01,2016-02-01,74,0,6,TRUE
expanding,2016-02-01,PER,South America,2010-09-01,2016-02-01,66,0,6,TRUE
expanding,2016-02-01,PRY,South America,2010-07-01,2016-02-01,68,0,6,TRUE
expanding,2016-02-01,SUR,South America,2010-04-01,2016-02-01,36,35,0,FALSE
expanding,2016-02-01,URY,South America,2015-04-01,2016-02-01,11,0,1,FALSE
expanding,2016-02-01,VEN,South America,2010-04-01,2016-02-01,71,0,6,TRUE
expanding,2016-02-01,OMN,"Europe, Middle East & North Africa",2018-04-01,2016-02-01,0,0,0,FALSE
expanding,2016-02-01,SAU,"Europe, Middle East & North Africa",2010-10-01,2016-02-01,65,0,6,TRUE
expanding,2016-02-01,SDN,"Europe, Middle East & North Africa",2010-05-01,2016-02-01,46,24,2,TRUE
expanding,2016-02-01,YEM,"Europe, Middle East & North Africa",2015-04-01,2016-02-01,11,0,1,FALSE
expanding,2016-02-01,BFA,Sub-Saharan Africa,2015-05-01,2016-02-01,10,0,6,FALSE
expanding,2016-02-01,CIV,Sub-Saharan Africa,2022-02-01,2016-02-01,0,0,0,FALSE
expanding,2016-02-01,ERI,Sub-Saharan Africa,2010-07-01,2016-02-01,60,8,0,FALSE
expanding,2016-02-01,ETH,Sub-Saharan Africa,2013-05-01,2016-02-01,12,22,0,FALSE
expanding,2016-02-01,KEN,Sub-Saharan Africa,2013-03-01,2016-02-01,36,0,6,TRUE
expanding,2016-02-01,MRT,Sub-Saharan Africa,2017-05-01,2016-02-01,0,0,0,FALSE
expanding,2016-02-01,REU,Sub-Saharan Africa,2010-11-01,2016-02-01,28,36,6,FALSE
expanding,2016-02-01,SEN,Sub-Saharan Africa,2017-05-01,2016-02-01,0,0,0,FALSE
expanding,2016-02-01,SYC,Sub-Saharan Africa,2016-07-01,2016-02-01,0,0,2,FALSE
expanding,2016-02-01,AFG,South Asia,2021-03-01,2016-02-01,0,0,0,FALSE
expanding,2016-02-01,BGD,South Asia,2010-03-01,2016-02-01,72,0,6,TRUE
expanding,2016-02-01,BTN,South Asia,2010-03-01,2016-02-01,36,36,6,TRUE
expanding,2016-02-01,IND,South Asia,2010-04-01,2016-02-01,71,0,6,TRUE
expanding,2016-02-01,LKA,South Asia,2010-02-01,2016-02-01,73,0,6,TRUE
expanding,2016-02-01,MDV,South Asia,2010-02-01,2016-02-01,73,0,6,TRUE
expanding,2016-02-01,NPL,South Asia,2010-03-01,2016-02-01,72,0,6,TRUE
expanding,2016-02-01,PAK,South Asia,2010-03-01,2016-02-01,72,0,6,TRUE
expanding,2016-02-01,BRN,East & Southeast Asia,2010-05-01,2016-02-01,70,0,6,TRUE
expanding,2016-02-01,CHN,East & Southeast Asia,2010-03-01,2016-02-01,72,0,6,TRUE
expanding,2016-02-01,IDN,East & Southeast Asia,2010-10-01,2016-02-01,65,0,6,TRUE
expanding,2016-02-01,KHM,East & Southeast Asia,2010-02-01,2016-02-01,73,0,6,TRUE
expanding,2016-02-01,LAO,East & Southeast Asia,2010-02-01,2016-02-01,73,0,6,TRUE
expanding,2016-02-01,MMR,East & Southeast Asia,2010-02-01,2016-02-01,73,0,6,TRUE
expanding,2016-02-01,MYS,East & Southeast Asia,2010-02-01,2016-02-01,73,0,6,TRUE
expanding,2016-02-01,PHL,East & Southeast Asia,2010-04-01,2016-02-01,71,0,6,TRUE
expanding,2016-02-01,SGP,East & Southeast Asia,2010-02-01,2016-02-01,73,0,6,TRUE
