"country","iso3","year","ext_date","EW","onset_date","total_den","total_corrected_cases","total_applied_cases","d","rf","correction_applied","correction_excluded","correction_reason"
"Canada","CAN",2024,"20260924",15,2024-04-08,0,NA,0,128,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2025,"20260924",15,2025-04-07,0,NA,0,76,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2026,"20260924",15,2026-04-06,0,NA,0,24,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2024,"20260924",15,2024-04-08,411,NA,411,128,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2025,"20260924",15,2025-04-07,232,NA,232,76,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2026,"20260924",15,2026-04-06,95,NA,95,24,NA,FALSE,TRUE,"no_lookup_match"
"Belize","BLZ",2024,"20260924",15,2024-04-08,212,NA,212,128,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2025,"20260924",15,2025-04-07,221,NA,221,76,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2026,"20260924",15,2026-04-06,317,NA,317,24,NA,FALSE,TRUE,"country_excluded"
"Costa Rica","CRI",2024,"20260924",15,2024-04-08,6550,NA,6550,128,NA,FALSE,TRUE,"no_lookup_match"
"Costa Rica","CRI",2025,"20260924",15,2025-04-07,1120,NA,1120,76,NA,FALSE,TRUE,"no_lookup_match"
"Costa Rica","CRI",2026,"20260924",15,2026-04-06,589,591,591,24,1.00299629744317,TRUE,FALSE,"applied_mean"
"El Salvador","SLV",2025,"20260924",15,2025-04-07,1357,NA,1357,76,NA,FALSE,TRUE,"no_lookup_match"
"El Salvador","SLV",2024,"20260924",15,2024-04-08,1688,NA,1688,128,NA,FALSE,TRUE,"no_lookup_match"
"El Salvador","SLV",2026,"20260924",15,2026-04-06,1646,1646,1646,24,1,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2025,"20260924",15,2025-04-07,14511,NA,14511,76,NA,FALSE,TRUE,"no_lookup_match"
"Guatemala","GTM",2026,"20260924",15,2026-04-06,10270,14478,14478,24,1.40969688373807,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2024,"20260924",15,2024-04-08,19477,NA,19477,128,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2024,"20260924",15,2024-04-08,13197,NA,13197,128,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2025,"20260924",15,2025-04-07,5189,NA,5189,76,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2026,"20260924",15,2026-04-06,2593,2593,2593,24,1,TRUE,FALSE,"applied_mean"
"Mexico","MEX",2024,"20260924",15,2024-04-08,53968,NA,53968,128,NA,FALSE,TRUE,"no_lookup_match"
"Mexico","MEX",2025,"20260924",15,2025-04-07,30826,NA,30826,76,NA,FALSE,TRUE,"no_lookup_match"
"Mexico","MEX",2026,"20260924",15,2026-04-06,17249,17225,17225,24,0.998606890066271,TRUE,FALSE,"applied_mean"
"Nicaragua","NIC",2025,"20260924",4,2025-01-20,5702,NA,5702,87,NA,FALSE,TRUE,"no_lookup_match"
"Nicaragua","NIC",2024,"20260924",15,2024-04-08,22212,NA,22212,128,NA,FALSE,TRUE,"no_lookup_match"
"Panama","PAN",2024,"20260924",15,2024-04-08,5071,NA,5071,128,NA,FALSE,TRUE,"no_lookup_match"
"Panama","PAN",2025,"20260924",15,2025-04-07,5138,NA,5138,76,NA,FALSE,TRUE,"no_lookup_match"
"Panama","PAN",2026,"20260924",15,2026-04-06,2732,2578,2578,24,0.943637581095804,TRUE,FALSE,"applied_mean"
"Bolivia","BOL",2024,"20260924",15,2024-04-08,30387,NA,30387,128,NA,FALSE,TRUE,"no_lookup_match"
"Bolivia","BOL",2025,"20260924",15,2025-04-07,14867,NA,14867,76,NA,FALSE,TRUE,"no_lookup_match"
"Bolivia","BOL",2026,"20260924",15,2026-04-06,48445,55279,55279,24,1.14106572459245,TRUE,FALSE,"applied_mean"
"Colombia","COL",2025,"20260924",15,2025-04-07,54263,NA,54263,76,NA,FALSE,TRUE,"no_lookup_match"
"Colombia","COL",2024,"20260924",15,2024-04-08,103323,NA,103323,128,NA,FALSE,TRUE,"no_lookup_match"
"Colombia","COL",2026,"20260924",15,2026-04-06,33321,33321,33321,24,1,TRUE,FALSE,"applied_mean"
"Ecuador","ECU",2024,"20260924",15,2024-04-08,21162,NA,21162,128,NA,FALSE,TRUE,"no_lookup_match"
"Ecuador","ECU",2025,"20260924",15,2025-04-07,15814,NA,15814,76,NA,FALSE,TRUE,"no_lookup_match"
"Ecuador","ECU",2026,"20260924",15,2026-04-06,8982,8992,8992,24,1.0011214094863,TRUE,FALSE,"applied_mean"
"Peru","PER",2024,"20260924",15,2024-04-08,161427,NA,161427,128,NA,FALSE,TRUE,"no_lookup_match"
"Peru","PER",2025,"20260924",15,2025-04-07,19642,NA,19642,76,NA,FALSE,TRUE,"no_lookup_match"
"Peru","PER",2026,"20260924",15,2026-04-06,11628,11852,11852,24,1.01926602375785,TRUE,FALSE,"applied_mean"
"Venezuela","VEN",2024,"20260924",15,2024-04-08,9297,NA,9297,128,NA,FALSE,TRUE,"no_lookup_match"
"Venezuela","VEN",2025,"20260924",15,2025-04-07,15944,NA,15944,76,NA,FALSE,TRUE,"no_lookup_match"
"Venezuela","VEN",2026,"20260924",15,2026-04-06,5419,NA,5419,24,NA,FALSE,TRUE,"no_lookup_match"
"Argentina","ARG",2024,"20260924",15,2024-04-08,471579,NA,471579,128,NA,FALSE,TRUE,"no_lookup_match"
"Argentina","ARG",2025,"20260924",15,2025-04-07,11716,NA,11716,76,NA,FALSE,TRUE,"no_lookup_match"
"Argentina","ARG",2026,"20260924",15,2026-04-06,43,60,60,24,1.40332444342119,TRUE,FALSE,"applied_mean"
"Brazil","BRA",2024,"20260924",15,2024-04-08,5992158,NA,5992158,128,NA,FALSE,TRUE,"no_lookup_match"
"Brazil","BRA",2025,"20260924",15,2025-04-07,2069695,NA,2069695,76,NA,FALSE,TRUE,"no_lookup_match"
"Brazil","BRA",2026,"20260924",15,2026-04-06,686974,682068,682068,24,0.992858401624143,TRUE,FALSE,"applied_mean"
"Chile","CHL",2025,"20260924",15,2025-04-07,0,NA,0,76,NA,FALSE,TRUE,"no_lookup_match"
"Chile","CHL",2024,"20260924",15,2024-04-08,86,NA,86,128,NA,FALSE,TRUE,"no_lookup_match"
"Chile","CHL",2026,"20260924",15,2026-04-06,17,NA,17,24,NA,FALSE,TRUE,"insufficient_n_rf"
"Paraguay","PRY",2024,"20260924",15,2024-04-08,238288,NA,238288,128,NA,FALSE,TRUE,"no_lookup_match"
"Paraguay","PRY",2025,"20260924",15,2025-04-07,14026,NA,14026,76,NA,FALSE,TRUE,"no_lookup_match"
"Paraguay","PRY",2026,"20260924",15,2026-04-06,6755,6692,6692,24,0.9906094928676,TRUE,FALSE,"applied_mean"
"Uruguay","URY",2025,"20260924",15,2025-04-07,2,NA,2,76,NA,FALSE,TRUE,"no_lookup_match"
"Uruguay","URY",2026,"20260924",15,2026-04-06,0,NA,0,24,NA,FALSE,TRUE,"insufficient_n_rf"
"Uruguay","URY",2024,"20260924",15,2024-04-08,822,NA,822,128,NA,FALSE,TRUE,"no_lookup_match"
"Cuba","CUB",2026,"20260924",15,2026-04-06,1056,NA,1056,24,NA,FALSE,TRUE,"no_lookup_match"
"Dominican Republic","DOM",2024,"20260924",15,2024-04-08,6523,NA,6523,128,NA,FALSE,TRUE,"no_lookup_match"
"Dominican Republic","DOM",2025,"20260924",15,2025-04-07,635,NA,635,76,NA,FALSE,TRUE,"no_lookup_match"
"Dominican Republic","DOM",2026,"20260924",15,2026-04-06,339,338,338,24,0.997683476834768,TRUE,FALSE,"applied_mean"
"Puerto Rico","PRI",2024,"20260924",15,2024-04-08,876,NA,876,128,NA,FALSE,TRUE,"no_lookup_match"
"Puerto Rico","PRI",2025,"20260924",15,2025-04-07,1424,NA,1424,76,NA,FALSE,TRUE,"no_lookup_match"
"Puerto Rico","PRI",2026,"20260924",15,2026-04-06,551,551,551,24,0.99933171280774,TRUE,FALSE,"applied_mean"
"Anguilla","AIA",2025,"20260924",15,2025-04-07,1,NA,1,76,NA,FALSE,TRUE,"no_lookup_match"
"Anguilla","AIA",2026,"20260924",15,2026-04-06,0,NA,0,24,NA,FALSE,TRUE,"no_lookup_match"
"Antigua and Barbuda","ATG",2025,"20260924",15,2025-04-07,2,NA,2,76,NA,FALSE,TRUE,"no_lookup_match"
"Antigua and Barbuda","ATG",2026,"20260924",15,2026-04-06,4,4,4,24,1,TRUE,FALSE,"applied_mean"
"Antigua and Barbuda","ATG",2024,"20260924",12,2024-03-18,41,NA,41,131,NA,FALSE,TRUE,"no_lookup_match"
"Aruba","ABW",2024,"20260924",12,2024-03-18,16,NA,16,131,NA,FALSE,TRUE,"no_lookup_match"
"Aruba","ABW",2025,"20260924",15,2025-04-07,2,NA,2,76,NA,FALSE,TRUE,"no_lookup_match"
"Bahamas","BHS",2024,"20260924",8,2024-02-19,0,NA,0,135,NA,FALSE,TRUE,"no_lookup_match"
"Bahamas","BHS",2026,"20260924",15,2026-04-06,0,NA,0,24,NA,FALSE,TRUE,"no_lookup_match"
"Barbados","BRB",2025,"20260924",15,2025-04-07,64,NA,64,76,NA,FALSE,TRUE,"no_lookup_match"
"Barbados","BRB",2026,"20260924",15,2026-04-06,30,23,23,24,0.761691760122266,TRUE,FALSE,"applied_mean"
"Barbados","BRB",2024,"20260924",15,2024-04-08,1004,NA,1004,128,NA,FALSE,TRUE,"no_lookup_match"
"Bermuda","BMU",2024,"20260924",15,2024-04-08,0,NA,0,128,NA,FALSE,TRUE,"no_lookup_match"
"Bermuda","BMU",2025,"20260924",15,2025-04-07,0,NA,0,76,NA,FALSE,TRUE,"no_lookup_match"
"Bermuda","BMU",2026,"20260924",15,2026-04-06,1,NA,1,24,NA,FALSE,TRUE,"no_lookup_match"
"Bonaire, Saint Eustatius and Saba","BES",2024,"20260924",12,2024-03-18,207,NA,207,131,NA,FALSE,TRUE,"no_lookup_match"
"Cayman Islands","CYM",2024,"20260924",15,2024-04-08,3,NA,3,128,NA,FALSE,TRUE,"no_lookup_match"
"Cayman Islands","CYM",2025,"20260924",15,2025-04-07,0,NA,0,76,NA,FALSE,TRUE,"no_lookup_match"
"Cayman Islands","CYM",2026,"20260924",15,2026-04-06,0,NA,0,24,NA,FALSE,TRUE,"insufficient_n_rf"
"Curaçao","CUW",2024,"20260924",12,2024-03-18,262,NA,262,131,NA,FALSE,TRUE,"no_lookup_match"
"French Guiana","GUF",2024,"20260924",14,2024-04-01,11638,NA,11638,129,NA,FALSE,TRUE,"no_lookup_match"
"French Guiana","GUF",2026,"20260924",15,2026-04-06,6,6,6,24,1,TRUE,FALSE,"applied_mean"
"Grenada","GRD",2024,"20260924",15,2024-04-08,118,NA,118,128,NA,FALSE,TRUE,"no_lookup_match"
"Grenada","GRD",2025,"20260924",15,2025-04-07,61,NA,61,76,NA,FALSE,TRUE,"no_lookup_match"
"Grenada","GRD",2026,"20260924",15,2026-04-06,52,52,52,24,1,TRUE,FALSE,"applied_mean"
"Guadeloupe","GLP",2026,"20260924",15,2026-04-06,298,298,298,24,1,TRUE,FALSE,"applied_mean"
"Guadeloupe","GLP",2024,"20260924",15,2024-04-08,3275,NA,3275,128,NA,FALSE,TRUE,"no_lookup_match"
"Guadeloupe","GLP",2025,"20260924",15,2025-04-07,4160,NA,4160,76,NA,FALSE,TRUE,"no_lookup_match"
"Guyana","GUY",2024,"20260924",15,2024-04-08,12235,NA,12235,128,NA,FALSE,TRUE,"no_lookup_match"
"Guyana","GUY",2025,"20260924",15,2025-04-07,17097,NA,17097,76,NA,FALSE,TRUE,"no_lookup_match"
"Guyana","GUY",2026,"20260924",15,2026-04-06,28910,30011,30011,24,1.03809990888104,TRUE,FALSE,"applied_mean"
"Jamaica","JAM",2024,"20260924",15,2024-04-08,1133,NA,1133,128,NA,FALSE,TRUE,"no_lookup_match"
"Jamaica","JAM",2025,"20260924",15,2025-04-07,139,NA,139,76,NA,FALSE,TRUE,"no_lookup_match"
"Jamaica","JAM",2026,"20260924",15,2026-04-06,78,78,78,24,1,TRUE,FALSE,"applied_mean"
"Martinique","MTQ",2025,"20260924",15,2025-04-07,675,NA,675,76,NA,FALSE,TRUE,"no_lookup_match"
"Martinique","MTQ",2024,"20260924",15,2024-04-08,4975,NA,4975,128,NA,FALSE,TRUE,"no_lookup_match"
"Martinique","MTQ",2026,"20260924",15,2026-04-06,1159,1159,1159,24,1,TRUE,FALSE,"applied_mean"
"Montserrat","MSR",2024,"20260924",15,2024-04-08,1,NA,1,128,NA,FALSE,TRUE,"no_lookup_match"
"Montserrat","MSR",2025,"20260924",15,2025-04-07,0,NA,0,76,NA,FALSE,TRUE,"no_lookup_match"
"Montserrat","MSR",2026,"20260924",15,2026-04-06,0,0,0,24,1,TRUE,FALSE,"applied_mean"
