"","country","iso3","Year","Month","date","cases","source"
"1","Afghanistan","AFG",2025,1,2025-01-01,NA,NA
"2","Afghanistan","AFG",2025,2,2025-02-01,NA,NA
"3","Afghanistan","AFG",2025,3,2025-03-01,NA,NA
"4","Afghanistan","AFG",2025,4,2025-04-01,NA,NA
"5","Afghanistan","AFG",2025,5,2025-05-01,216,"WHO"
"6","Afghanistan","AFG",2025,6,2025-06-01,NA,NA
"7","Afghanistan","AFG",2025,7,2025-07-01,NA,NA
"8","Afghanistan","AFG",2025,8,2025-08-01,NA,NA
"9","Afghanistan","AFG",2025,9,2025-09-01,NA,NA
"10","Afghanistan","AFG",2025,10,2025-10-01,NA,NA
"11","Afghanistan","AFG",2025,11,2025-11-01,NA,NA
"12","Afghanistan","AFG",2025,12,2025-12-01,NA,NA
"13","Afghanistan","AFG",2025,NA,NA,71,"WHO"
"14","Afghanistan","AFG",2025,NA,NA,26,"WHO"
"15","Afghanistan","AFG",2025,NA,NA,18,"WHO"
"16","Afghanistan","AFG",2025,NA,NA,131,"WHO"
"17","Afghanistan","AFG",2025,NA,NA,166,"WHO"
"18","Afghanistan","AFG",2025,NA,NA,339,"WHO"
"19","Afghanistan","AFG",2025,NA,NA,273,"WHO"
"20","Afghanistan","AFG",2025,NA,NA,297,"WHO"
"21","Afghanistan","AFG",2025,NA,NA,1826,"WHO"
"22","Afghanistan","AFG",2025,NA,NA,1021,"WHO"
"23","Albania","ALB",2025,1,2025-01-01,NA,NA
"24","Albania","ALB",2025,2,2025-02-01,NA,NA
"25","Albania","ALB",2025,3,2025-03-01,NA,NA
"26","Albania","ALB",2025,4,2025-04-01,NA,NA
"27","Albania","ALB",2025,5,2025-05-01,0,"WHO"
"28","Albania","ALB",2025,6,2025-06-01,NA,NA
"29","Albania","ALB",2025,7,2025-07-01,NA,NA
"30","Albania","ALB",2025,8,2025-08-01,NA,NA
"31","Albania","ALB",2025,9,2025-09-01,NA,NA
"32","Albania","ALB",2025,10,2025-10-01,NA,NA
"33","Albania","ALB",2025,11,2025-11-01,NA,NA
"34","Albania","ALB",2025,12,2025-12-01,NA,NA
"35","Albania","ALB",2025,NA,NA,0,"WHO"
"36","Albania","ALB",2025,NA,NA,0,"WHO"
"37","Albania","ALB",2025,NA,NA,0,"WHO"
"38","Albania","ALB",2025,NA,NA,0,"WHO"
"39","Albania","ALB",2025,NA,NA,0,"WHO"
"40","Albania","ALB",2025,NA,NA,0,"WHO"
"41","Albania","ALB",2025,NA,NA,0,"WHO"
"42","Albania","ALB",2025,NA,NA,0,"WHO"
"43","Albania","ALB",2025,NA,NA,0,"WHO"
"44","Andorra","AND",2025,1,2025-01-01,NA,NA
"45","Andorra","AND",2025,2,2025-02-01,NA,NA
"46","Andorra","AND",2025,3,2025-03-01,NA,NA
"47","Andorra","AND",2025,4,2025-04-01,NA,NA
"48","Andorra","AND",2025,5,2025-05-01,0,"WHO"
"49","Andorra","AND",2025,6,2025-06-01,NA,NA
"50","Andorra","AND",2025,7,2025-07-01,NA,NA
"51","Andorra","AND",2025,8,2025-08-01,NA,NA
"52","Andorra","AND",2025,9,2025-09-01,NA,NA
"53","Andorra","AND",2025,10,2025-10-01,NA,NA
"54","Andorra","AND",2025,11,2025-11-01,NA,NA
"55","Andorra","AND",2025,12,2025-12-01,NA,NA
"56","Andorra","AND",2025,NA,NA,0,"WHO"
"57","Andorra","AND",2025,NA,NA,0,"WHO"
"58","Andorra","AND",2025,NA,NA,0,"WHO"
"59","Andorra","AND",2025,NA,NA,0,"WHO"
"60","Andorra","AND",2025,NA,NA,0,"WHO"
"61","Andorra","AND",2025,NA,NA,0,"WHO"
"62","Andorra","AND",2025,NA,NA,0,"WHO"
"63","Andorra","AND",2025,NA,NA,0,"WHO"
"64","Andorra","AND",2025,NA,NA,0,"WHO"
"65","Angola","AGO",2025,1,2025-01-01,NA,NA
"66","Angola","AGO",2025,2,2025-02-01,NA,NA
"67","Angola","AGO",2025,3,2025-03-01,NA,NA
"68","Angola","AGO",2025,4,2025-04-01,NA,NA
"69","Angola","AGO",2025,5,2025-05-01,NA,NA
