model,window_type,stratum_axis,lead_time,stratum_value,n_obs,n_seasons,thin_evidence,crps,crps_log,dispersion,dispersion_log,overprediction,overprediction_log,underprediction,underprediction_log,bias,coverage_50,coverage_90,uMAE,uRMSE
glm_ar1,expanding,size_class,5,continental,76,41,FALSE,28508.858157894738,1.735461859444579,373.9344736842105,0.23104539700908866,882.1973684210526,0.9878553288025783,27252.72631578947,0.5165611336329118,0.43026315789473685,0.05263157894736842,0.4868421052631579,8.16382583888819,11.178379875780042
glm_ar1,expanding,size_class,5,large,181,98,FALSE,3168.7965745856354,0.921268216793755,380.226408839779,0.23758881281765237,578.4530386740339,0.42345536109492776,2210.117127071824,0.26022404288117496,-0.05082872928176768,0.2265193370165746,0.6408839779005525,2.3185729044348222,6.253673197261695
glm_ar1,expanding,size_class,5,medium,459,248,FALSE,2192.004008714597,1.1389801721292263,327.02013071895425,0.24094604450982499,537.2993464052289,0.6983590223200757,1327.6845315904147,0.19967510529932556,0.23224400871459652,0.3137254901960784,0.6405228758169934,11.486812223106249,56.496509354816546
glm_ar1,expanding,size_class,5,small,151,83,FALSE,1239.859867549669,1.3532478614619847,253.5260927152318,0.23810300972995385,669.9165562913904,1.0370834784084686,316.4172185430464,0.0780613733235621,0.5602649006622517,0.304635761589404,0.6357615894039735,4.655447038517725,9.94347067808838
glm_ar1,expanding,size_class,5,very_small,602,341,FALSE,400.76966777408643,2.0861511942425923,160.70322259136213,0.2424697197195267,229.70132890365448,1.8367271686997566,10.365116279069778,0.006954305823308928,0.8705980066445181,0.14950166112956811,0.43023255813953487,29.2856918053218,66.07398144744565
glm_ar1,expanding,size_class,6,continental,76,41,FALSE,37391.84289473684,2.0875120231016364,344.55078947368423,0.2307504182961766,888.8631578947368,1.1994778638213843,36158.428947368426,0.6572837409840756,0.36315789473684207,0.05263157894736842,0.39473684210526316,14.65728805152911,24.95326851861949
glm_ar1,expanding,size_class,6,large,181,98,FALSE,4129.9572375690605,1.1062678917141462,370.4865193370166,0.2374982290185223,633.9116022099441,0.5385487122510723,3125.5591160221006,0.3302209504445517,-0.001104972375690664,0.23756906077348067,0.5469613259668509,2.2085175074903516,4.001813075234618
glm_ar1,expanding,size_class,6,medium,458,248,FALSE,3187.552270742358,1.230361443160668,331.9924454148472,0.24133229793922287,530.9205240174679,0.7238641941338028,2324.6393013100433,0.26516495108764215,0.16353711790392975,0.28820960698689957,0.6004366812227074,16.196008531542976,88.04075422697174
glm_ar1,expanding,size_class,6,small,152,83,FALSE,1492.1248684210527,1.463847906965519,273.24065789473684,0.23816882689032576,616.1210526315792,1.1217654770716532,602.763157894737,0.10391360300354004,0.4947368421052631,0.23026315789473684,0.5921052631578947,5.710657316979534,11.214843112788841
glm_ar1,expanding,size_class,6,very_small,598,340,FALSE,497.4186622073579,2.2010863684082898,195.84943143812706,0.24237704673499794,282.70133779264216,1.9418446247643741,18.867892976588625,0.016864696908917714,0.8346153846153845,0.1454849498327759,0.42642140468227424,31.932540370072704,67.3204291856825
nowcast,expanding,size_class,1,continental,78,41,FALSE,17838.36487179487,0.7240828781631462,5064.505897435898,0.14239224838665426,3917.37435897436,0.31313329851915794,8856.48461538462,0.26855733125733405,0.025641025641025713,0.4230769230769231,0.717948717948718,0.7062477916660169,1.2459094275849298
nowcast,expanding,size_class,1,large,175,91,FALSE,2212.0730285714285,0.5599530483248788,796.5713142857145,0.13873680643276942,666.0365714285715,0.30168236903083134,749.4651428571431,0.11953387286127803,0.1445714285714286,0.36,0.7142857142857143,0.7640256186008964,1.3670581271270472
nowcast,expanding,size_class,1,medium,430,226,FALSE,1402.8602790697676,0.48163292949073205,485.77330232558137,0.13958129928673044,351.4381395348837,0.1767174561191005,565.648837209302,0.16533417408490106,-0.024418604651162645,0.3883720930232558,0.7697674418604651,0.726412546751323,1.422750696193403
nowcast,expanding,size_class,1,small,148,77,FALSE,369.285,0.5880009076706116,133.63635135135135,0.1552962114111993,93.28513513513515,0.25810587262358076,142.3635135135135,0.17459882363583154,0.09932432432432435,0.39864864864864863,0.777027027027027,0.7231860759021428,1.7643274601198544
nowcast,expanding,size_class,1,very_small,579,306,FALSE,165.72321243523317,0.8338954801987005,55.83547495682211,0.17889822821032117,52.95889464594129,0.4303132770725916,56.928842832469755,0.2246839749157874,0.07305699481865291,0.3955094991364421,0.7150259067357513,1.1669264006334361,2.9094536215003
nowcast,expanding,size_class,2,continental,78,41,FALSE,32863.490512820514,0.7375539572391121,10900.149487179488,0.16084540490321655,8801.600000000002,0.3277694912335066,13161.741025641024,0.24893906110238884,-0.01025641025641028,0.4358974358974359,0.7307692307692307,0.7238412772215163,1.2353787029019074
