iso3,origin_date,horizon,target_date,model,window_type,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,dispersion_log,overprediction_log,underprediction_log,ae_median_log,crps,crps_log,.pred,actual,lead_time,squared_error,season,season_nMonth,region,seasonality_signal,endemicity,size_class,mean_actual_predicted_month,umae_row,urmse_sq_row
ATG,2016-01-01,5,2016-06-01,glm_ar1,expanding,253.6,0,160.7,1,FALSE,FALSE,876,0.2868145611977685,3.0527249178738343,0,5.171619713502079,414.30000000000007,3.339539479071603,880,4,5,767376,2016/2017,3,Caribbean,moderate,emerging,very_small,6.6,132.72727272727275,17616.528925619838
ATG,2016-01-01,6,2016-07-01,glm_ar1,expanding,330.2,0,209.98000000000002,1,FALSE,FALSE,1143,0.2873977045780852,2.9758468150141395,0,5.101607072301983,540.1800000000001,3.2632445195922246,1149,6,6,1306449,2016/2017,4,Caribbean,moderate,emerging,very_small,8.5,134.47058823529412,18082.33910034602
AUS,2016-01-01,1,2016-02-01,glm_ar1,expanding,50.6,0,82.2,0.5,TRUE,TRUE,253,0.28602527916345055,0.16464006176162868,0,0.8232003088081434,132.80000000000004,0.45066534092507926,450,197,1,64009,2015/2016,6,Pacific Islands,weak,endemic,continental,139.8,1.8097281831187408,3.275116096774259
AUS,2016-01-01,2,2016-03-01,glm_ar1,expanding,79,0,129.94,0.5,TRUE,TRUE,395,0.28713513305295457,0.1618352275069391,0,0.8091761375346955,208.94000000000005,0.44897036055989376,711,316,2,156025,2015/2016,7,Pacific Islands,weak,endemic,continental,137.2,2.8790087463556855,8.2886913615925355
AUS,2016-01-01,3,2016-04-01,glm_ar1,expanding,136.4,0,180.2,0.5,TRUE,TRUE,682,0.2866215063142012,0.2344195191590975,0,1.1720975957954876,316.6,0.5210410254732987,987,305,3,465124,2015/2016,8,Pacific Islands,weak,endemic,continental,137,4.978102189781022,24.781501411902607
AUS,2016-01-01,4,2016-05-01,glm_ar1,expanding,228.8,0,228.01999999999998,0.9,FALSE,TRUE,1040,0.2871832579140568,0.4464273137753064,0,1.7877642581607667,456.82000000000005,0.7336105716893633,1248,208,4,1081600,2015/2016,9,Pacific Islands,weak,endemic,continental,126.26666666666667,8.236536430834214,67.84053237645921
AUS,2016-01-01,5,2016-06-01,glm_ar1,expanding,301.4,0,269.71999999999997,0.9,FALSE,TRUE,1281,0.28737294227072746,0.5860213717270643,0,2.0196536233008633,571.1200000000001,0.8733943139977918,1476,195,5,1640961,2015/2016,10,Pacific Islands,weak,endemic,continental,101.53333333333333,12.616546290216679,159.17724029318023
AUS,2016-01-01,6,2016-07-01,glm_ar1,expanding,355.4,0,304.21999999999997,0.9,FALSE,TRUE,1471,0.28699187463130593,0.6589161498928195,0,2.1406662235202774,659.6200000000001,0.9459080245241254,1666,195,6,2163841,2015/2016,11,Pacific Islands,weak,endemic,continental,116.66666666666667,12.608571428571429,158.97607346938776
BFA,2016-01-01,1,2016-02-01,glm_ar1,expanding,2.6,0,1.6,0.9,FALSE,TRUE,9,0.2153134509690456,0.899961934066053,0,2.302585092994046,4.200000000000001,1.1152753850350987,9,0,1,81,2015/2016,10,Sub-Saharan Africa,strong,emerging,medium,1601.5714285714287,0.005619480867005619,3.157856521464223e-5
BFA,2016-01-01,2,2016-03-01,glm_ar1,expanding,13.2,0,8.42,1,FALSE,FALSE,46,0.27237561385321235,1.968322429763608,0,3.8501476017100584,21.620000000000005,2.240698043616821,46,0,2,2116,2015/2016,11,Sub-Saharan Africa,strong,emerging,medium,1196.4285714285713,0.03844776119402985,0.0014782303408331478
BFA,2016-01-01,3,2016-04-01,glm_ar1,expanding,40.8,0,25.72,1,FALSE,FALSE,140,0.2822950785795085,2.904748675188452,0,4.948759890378168,66.52000000000001,3.1870437537679606,140,0,3,19600,2015/2016,12,Sub-Saharan Africa,strong,emerging,medium,1118.7142857142858,0.1251436598135615,0.015660935591532404
BFA,2016-01-01,4,2016-05-01,glm_ar1,expanding,90.2,0,56.6,1,FALSE,FALSE,309,0.2854946570540518,3.6488459841260275,0,5.736572297479192,146.8,3.9343406411800794,309,0,4,95481,2016/2017,1,Sub-Saharan Africa,strong,emerging,medium,921.5,0.33532284319045036,0.11244140916532736
BFA,2016-01-01,5,2016-06-01,glm_ar1,expanding,158.8,0,99.5,1,FALSE,FALSE,544,0.28724340470693505,4.180616281275062,0,6.300785794663244,258.3,4.467859685981997,544,0,5,295936,2016/2017,2,Sub-Saharan Africa,strong,emerging,medium,867.5,0.6270893371757925,0.3932410367995748
BFA,2016-01-01,6,2016-07-01,glm_ar1,expanding,238.6,0,148.82,1,FALSE,FALSE,815,0.28642619335704433,4.595841203015482,0,6.704414354964107,387.42,4.882267396372527,815,0,6,664225,2016/2017,3,Sub-Saharan Africa,strong,emerging,medium,1107.875,0.7356425589529505,0.5411699745428452
BGD,2016-01-01,1,2016-02-01,glm_ar1,expanding,14.8,0,10.780000000000001,0.9,FALSE,TRUE,56,0.2758763385536831,1.0130720387571004,0,2.7080502011022096,25.580000000000005,1.2889483773107835,59,3,1,3136,2015/2016,12,South Asia,strong,emerging,medium,91.9375,0.6091094493541809,0.3710143212925534
BGD,2016-01-01,2,2016-03-01,glm_ar1,expanding,37.2,0,30.580000000000002,0.9,FALSE,TRUE,150,0.28047637880728366,0.723977316525397,0,2.2335922215070942,67.78000000000002,1.0044536953326806,167,17,2,22500,2016/2017,1,South Asia,strong,emerging,medium,74.94117647058822,2.0015698587127164,4.006281899307243
BGD,2016-01-01,3,2016-04-01,glm_ar1,expanding,76.6,0,64.12,0.9,FALSE,TRUE,313,0.28518739390861514,0.6962152847234997,0,2.2000695294684505,140.72000000000003,0.9814026786321147,351,38,3,97969,2016/2017,2,South Asia,strong,emerging,medium,131.52941176470588,2.379695885509839,5.662952507512456
BGD,2016-01-01,4,2016-05-01,glm_ar1,expanding,126.6,0,108.72,0.9,FALSE,TRUE,525,0.28585678776748585,0.6517657021092014,0,2.1275607900240345,235.32000000000002,0.9376224898766873,595,70,4,275625,2016/2017,3,South Asia,strong,emerging,medium,268.7058823529412,1.9538091068301222,3.8173700259323202
BGD,2016-01-01,5,2016-06-01,glm_ar1,expanding,123,0,158.76,0.5,TRUE,TRUE,615,0.2869509424350885,0.24544593329804076,0,1.2272296664902038,281.76000000000005,0.5323968757331293,869,254,5,378225,2016/2017,4,South Asia,strong,emerging,medium,1213.6470588235293,0.5067371074059713,0.25678249602217096
BGD,2016-01-01,6,2016-07-01,glm_ar1,expanding,42.6,0,208.1,0.5,TRUE,TRUE,213,0.28716501798980965,0.04136599516453732,0,0.20682997582268658,250.70000000000005,0.32853101315434696,1139,926,6,45369,2016/2017,5,South Asia,strong,emerging,medium,5220.823529411765,0.04079816120963562,0.0016644899580874166
BLM,2016-01-01,1,2016-02-01,glm_ar1,expanding,9.8,0,8.559999999999999,0.9,FALSE,TRUE,41,0.2741857764173451,0.616007876002797,0,2.0583881324820035,18.360000000000003,0.8901936524201423,46,5,1,1681,2015/2016,11,Caribbean,moderate,emerging,very_small,18.18181818181818,2.2550000000000003,5.085025000000002
BLM,2016-01-01,2,2016-03-01,glm_ar1,expanding,37.4,0,25.880000000000003,0.9,FALSE,TRUE,137,0.2829352064527913,1.3859816167246541,0,3.3463891451671604,63.280000000000015,1.6689168231774452,141,4,2,18769,2015/2016,12,Caribbean,moderate,emerging,very_small,17,8.058823529411764,64.9446366782007
BLM,2016-01-01,3,2016-04-01,glm_ar1,expanding,87,0,56.8,1,FALSE,FALSE,307,0.28453162475282373,2.0468012386103007,0,4.133565275375382,143.8,2.3313328633631243,311,4,3,94249,2016/2017,1,Caribbean,moderate,emerging,very_small,15.416666666666668,19.91351351351351,396.5480204528853
BLM,2016-01-01,4,2016-05-01,glm_ar1,expanding,154.6,0,99.7,1,FALSE,FALSE,541,0.2866911812793062,2.3930828855862556,0,4.512689333193926,254.3,2.6797740668655625,546,5,4,292681,2016/2017,2,Caribbean,moderate,emerging,very_small,26.583333333333336,20.351097178683382,414.1671563762148
BLM,2016-01-01,5,2016-06-01,glm_ar1,expanding,233.8,0,149.24,1,FALSE,FALSE,811,0.28673704854724924,2.804326681766606,0,4.913879625631948,383.0400000000001,3.0910637303138553,816,5,5,657721,2016/2017,3,Caribbean,moderate,emerging,very_small,24.416666666666664,33.21501706484642,1103.2373586180388
BLM,2016-01-01,6,2016-07-01,glm_ar1,expanding,314.6,0,199.06,1,FALSE,FALSE,1085,0.2872600829566854,3.264325549400907,0,5.384495062789089,513.6600000000001,3.551585632357592,1089,4,6,1177225,2016/2017,4,Caribbean,moderate,emerging,very_small,21.833333333333336,49.69465648854961,2469.558883514946
BLZ,2016-01-01,1,2016-02-01,glm_ar1,expanding,117,0,175.68,0.5,TRUE,TRUE,585,0.2868801316303247,0.18703184323570757,0,0.9351592161785378,292.68000000000006,0.47391197486603237,962,377,1,342225,2015/2016,12,North & Central America,weak,endemic,very_small,181,3.2320441988950277,10.446109703611
BLZ,2016-01-01,2,2016-03-01,glm_ar1,expanding,155,0,223.85999999999999,0.5,TRUE,TRUE,775,0.28722775182488264,0.20000895539869568,0,1.0000447769934784,378.86000000000007,0.4872367072235783,1225,450,2,600625,2016/2017,1,North & Central America,weak,endemic,very_small,193.11764705882354,4.013097776424003,16.10495376313927
BLZ,2016-01-01,3,2016-04-01,glm_ar1,expanding,228.6,0,266.26,0.5,TRUE,TRUE,1143,0.2871318316174957,0.3064496547485941,0,1.5322482737429706,494.86,0.5935814863660899,1457,314,3,1306449,2016/2017,2,North & Central America,weak,endemic,very_small,133.64705882352942,8.55237676056338,73.14314825462456
BLZ,2016-01-01,4,2016-05-01,glm_ar1,expanding,290.4,0,301.4,0.9,FALSE,TRUE,1354,0.2872539516640093,0.4041635155254957,0,1.7154043051174286,591.8000000000002,0.691417467189505,1650,296,4,1833316,2016/2017,3,North & Central America,weak,endemic,very_small,175.58823529411765,7.711222780569514,59.46295677157423
BLZ,2016-01-01,5,2016-06-01,glm_ar1,expanding,330.4,0,329.48,0.9,FALSE,TRUE,1502,0.287136822622619,0.4453811690956101,0,1.7845830652576122,659.8800000000001,0.7325179917182292,1804,302,5,2256004,2016/2017,4,North & Central America,weak,endemic,very_small,234.11764705882354,6.415577889447236,41.15963965556425
BLZ,2016-01-01,6,2016-07-01,glm_ar1,expanding,300,0,351.18,0.5,TRUE,TRUE,1500,0.2870400392024998,0.30248563519873883,0,1.5124281759936942,651.1800000000001,0.5895256744012387,1923,423,6,2250000,2016/2017,5,North & Central America,weak,endemic,very_small,325.11764705882354,4.613714492491406,21.28636141822523
BOL,2016-01-01,1,2016-02-01,glm_ar1,expanding,0,4266,1610.5,-0.8999999999999999,FALSE,TRUE,9342,0.28765700793229515,0,0.30469321813848327,0.722367952830318,5876.500000000001,0.5923502260707785,8818,18160,1,87272964,2015/2016,7,South America,strong,endemic,large,10310.5625,0.9060611387594033,0.8209467871699867
BOL,2016-01-01,2,2016-03-01,glm_ar1,expanding,0,3030.2,1095.7,-0.8999999999999999,FALSE,TRUE,6569,0.2876259013256427,0,0.3149476277893939,0.739473995714647,4125.9,0.6025735291150365,5999,12568,2,43151761,2015/2016,8,South America,strong,endemic,large,10260.9375,0.6401949139637582,0.40984952786506373
BOL,2016-01-01,3,2016-04-01,glm_ar1,expanding,0,1973.4,831.18,-0.8999999999999999,FALSE,TRUE,4441,0.28755019203643184,0,0.27980656660257813,0.6808798001083485,2804.5800000000004,0.56735675863901,4551,8992,3,19722481,2015/2016,9,South America,strong,endemic,large,7231.4375,0.614124093584436,0.37714840232090513
