model,window_type,iso3,origin_date,n_months,peak_timing_diff,dtw_distance,season,region,seasonality_signal,endemicity,size_class
glm_ar1,expanding,ATG,2020-01-01,2,NA,NA,2019/2020,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ATG,2021-07-01,6,1,2.1449780264041904,2021/2022,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ATG,2022-01-01,6,5,3.170693095966017,2021/2022,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ATG,2022-07-01,6,0,1.1759108230464752,2022/2023,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ATG,2023-01-01,6,5,2.678144115684185,2022/2023,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ATG,2023-07-01,6,1,1.4720347534769498,2023/2024,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ATG,2024-01-01,6,5,2.877680841688207,2023/2024,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ATG,2024-07-01,6,1,2.0388692280792475,2024/2025,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ATG,2025-01-01,6,4,2.409355313659215,2024/2025,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ATG,2025-07-01,6,4,2.927692919264933,2025/2026,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,ATG,2026-01-01,6,5,3.3553364390646068,2025/2026,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,AUS,2016-01-01,6,4,1.076610129040087,2015/2016,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2016-07-01,6,0,0.7126835886813213,2015/2016,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2017-01-01,6,5,1.1262070011138763,2016/2017,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2017-07-01,6,0,0.3868907401925419,2016/2017,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2018-01-01,6,0,1.1678782954359566,2017/2018,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2018-07-01,6,0,1.1671008579626094,2017/2018,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2019-01-01,6,2,1.2026910786090321,2018/2019,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2019-07-01,6,2,1.7034203433542363,2018/2019,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2020-01-01,6,4,3.206653704533514,2019/2020,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2020-07-01,1,NA,NA,2019/2020,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2022-01-01,6,0,0.9954611964460803,2021/2022,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2022-07-01,6,3,1.1485312786958328,2021/2022,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2023-01-01,6,0,1.2326431050747146,2022/2023,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2023-07-01,6,0,1.1693105784482847,2022/2023,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2024-01-01,6,3,0.8145565231190871,2023/2024,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2024-07-01,6,0,0.9982482395268638,2023/2024,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2025-01-01,6,5,1.410981832043017,2024/2025,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2025-07-01,6,0,1.1021132788681316,2024/2025,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,AUS,2026-01-01,6,0,1.8340576652173468,2025/2026,Pacific Islands,weak,endemic,continental
glm_ar1,expanding,BFA,2016-01-01,6,5,3.446349208096587,2015/2016,Sub-Saharan Africa,strong,emerging,medium
glm_ar1,expanding,BFA,2016-07-01,6,3,1.911548413892768,2016/2017,Sub-Saharan Africa,strong,emerging,medium
glm_ar1,expanding,BFA,2017-01-01,6,5,1.494478075323227,2016/2017,Sub-Saharan Africa,strong,emerging,medium
glm_ar1,expanding,BFA,2017-07-01,6,3,1.0150255312764163,2017/2018,Sub-Saharan Africa,strong,emerging,medium
glm_ar1,expanding,BFA,2018-01-01,6,5,2.0949529317706093,2017/2018,Sub-Saharan Africa,strong,emerging,medium
glm_ar1,expanding,BFA,2018-07-01,6,3,0.9161655669821419,2018/2019,Sub-Saharan Africa,strong,emerging,medium
glm_ar1,expanding,BFA,2019-01-01,3,1,1.1476498139398568,2018/2019,Sub-Saharan Africa,strong,emerging,medium
glm_ar1,expanding,BFA,2023-07-01,6,3,1.990885052007945,2023/2024,Sub-Saharan Africa,strong,emerging,medium
glm_ar1,expanding,BFA,2024-01-01,6,0,0.16616056039952265,2023/2024,Sub-Saharan Africa,strong,emerging,medium
glm_ar1,expanding,BFA,2024-07-01,6,-2,0.5947994997709538,2024/2025,Sub-Saharan Africa,strong,emerging,medium
glm_ar1,expanding,BFA,2025-01-01,6,-5,0.28568187205073464,2024/2025,Sub-Saharan Africa,strong,emerging,medium
glm_ar1,expanding,BFA,2025-07-01,6,-2,0.3635762384589956,2025/2026,Sub-Saharan Africa,strong,emerging,medium
glm_ar1,expanding,BFA,2026-01-01,6,0,0.10245626523303526,2025/2026,Sub-Saharan Africa,strong,emerging,medium
glm_ar1,expanding,BGD,2016-01-01,6,0,0.5684853437525618,2015/2016,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2016-07-01,6,4,0.7704323615151899,2016/2017,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2017-01-01,6,0,0.2984937247033103,2016/2017,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2017-07-01,6,3,0.6172176001750148,2017/2018,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2018-01-01,6,0,0.6083561025209668,2017/2018,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2018-07-01,6,4,0.6533521443191482,2018/2019,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2019-01-01,6,0,0.9675721008569859,2018/2019,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2019-07-01,6,0,0.5909122105979979,2019/2020,South Asia,strong,emerging,medium
glm_ar1,expanding,BGD,2020-01-01,6,5,2.922377609310859,2019/2020,South Asia,strong,emerging,medium
