"country","iso3","year","ext_date","EW","onset_date","total_den","total_corrected_cases","total_applied_cases","d","rf","correction_applied","correction_excluded","correction_reason"
"Canada","CAN",2024,"20260701",10,2024-03-04,0,NA,0,121,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2025,"20260701",10,2025-03-03,0,NA,0,69,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2026,"20260701",10,2026-03-02,0,NA,0,17,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2024,"20260701",10,2024-03-04,220,NA,220,121,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2025,"20260701",10,2025-03-03,156,NA,156,69,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2026,"20260701",10,2026-03-02,54,NA,54,17,NA,FALSE,TRUE,"no_lookup_match"
"Belize","BLZ",2024,"20260701",10,2024-03-04,159,NA,159,121,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2025,"20260701",10,2025-03-03,129,NA,129,69,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2026,"20260701",10,2026-03-02,263,NA,263,17,NA,FALSE,TRUE,"country_excluded"
"Costa Rica","CRI",2024,"20260701",10,2024-03-04,5415,NA,5415,121,NA,FALSE,TRUE,"no_lookup_match"
"Costa Rica","CRI",2025,"20260701",10,2025-03-03,852,NA,852,69,NA,FALSE,TRUE,"no_lookup_match"
"Costa Rica","CRI",2026,"20260701",10,2026-03-02,424,417,417,17,0.98430915459053,TRUE,FALSE,"applied_mean"
"El Salvador","SLV",2025,"20260701",10,2025-03-03,866,NA,866,69,NA,FALSE,TRUE,"no_lookup_match"
"El Salvador","SLV",2024,"20260701",10,2024-03-04,1101,NA,1101,121,NA,FALSE,TRUE,"no_lookup_match"
"El Salvador","SLV",2026,"20260701",10,2026-03-02,1196,1196,1196,17,1,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2025,"20260701",10,2025-03-03,9040,NA,9040,69,NA,FALSE,TRUE,"no_lookup_match"
"Guatemala","GTM",2026,"20260701",10,2026-03-02,3262,4388,4388,17,1.3452291794291,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2024,"20260701",10,2024-03-04,13533,NA,13533,121,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2025,"20260701",10,2025-03-03,3085,NA,3085,69,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2024,"20260701",10,2024-03-04,7856,NA,7856,121,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2026,"20260701",10,2026-03-02,1896,1896,1896,17,1,TRUE,FALSE,"applied_mean"
"Mexico","MEX",2024,"20260701",10,2024-03-04,38656,NA,38656,121,NA,FALSE,TRUE,"no_lookup_match"
"Mexico","MEX",2025,"20260701",10,2025-03-03,21459,NA,21459,69,NA,FALSE,TRUE,"no_lookup_match"
"Mexico","MEX",2026,"20260701",10,2026-03-02,12121,12107,12107,17,0.998811750195619,TRUE,FALSE,"applied_mean"
"Nicaragua","NIC",2025,"20260701",4,2025-01-20,5702,NA,5702,75,NA,FALSE,TRUE,"no_lookup_match"
"Nicaragua","NIC",2024,"20260701",10,2024-03-04,17335,NA,17335,121,NA,FALSE,TRUE,"no_lookup_match"
"Panama","PAN",2026,"20260701",10,2026-03-02,2033,1947,1947,17,0.957718136837861,TRUE,FALSE,"applied_mean"
"Panama","PAN",2024,"20260701",10,2024-03-04,4013,NA,4013,121,NA,FALSE,TRUE,"no_lookup_match"
"Panama","PAN",2025,"20260701",10,2025-03-03,3952,NA,3952,69,NA,FALSE,TRUE,"no_lookup_match"
"Bolivia","BOL",2024,"20260701",10,2024-03-04,17269,NA,17269,121,NA,FALSE,TRUE,"no_lookup_match"
"Bolivia","BOL",2025,"20260701",10,2025-03-03,8360,NA,8360,69,NA,FALSE,TRUE,"no_lookup_match"
"Bolivia","BOL",2026,"20260701",10,2026-03-02,30183,34127,34127,17,1.13068259401725,TRUE,FALSE,"applied_mean"
"Colombia","COL",2025,"20260701",10,2025-03-03,37883,NA,37883,69,NA,FALSE,TRUE,"no_lookup_match"
"Colombia","COL",2026,"20260701",10,2026-03-02,23111,23111,23111,17,1,TRUE,FALSE,"applied_mean"
"Colombia","COL",2024,"20260701",10,2024-03-04,62926,NA,62926,121,NA,FALSE,TRUE,"no_lookup_match"
"Ecuador","ECU",2024,"20260701",10,2024-03-04,11415,NA,11415,121,NA,FALSE,TRUE,"no_lookup_match"
"Ecuador","ECU",2025,"20260701",10,2025-03-03,9566,NA,9566,69,NA,FALSE,TRUE,"no_lookup_match"
"Ecuador","ECU",2026,"20260701",10,2026-03-02,4565,4569,4569,17,1.00077133676148,TRUE,FALSE,"applied_mean"
"Peru","PER",2024,"20260701",10,2024-03-04,64554,NA,64554,121,NA,FALSE,TRUE,"no_lookup_match"
"Peru","PER",2025,"20260701",10,2025-03-03,11884,NA,11884,69,NA,FALSE,TRUE,"no_lookup_match"
"Peru","PER",2026,"20260701",10,2026-03-02,5976,6020,6020,17,1.00740331212842,TRUE,FALSE,"applied_mean"
"Venezuela","VEN",2024,"20260701",10,2024-03-04,6365,NA,6365,121,NA,FALSE,TRUE,"no_lookup_match"
"Venezuela","VEN",2025,"20260701",10,2025-03-03,11685,NA,11685,69,NA,FALSE,TRUE,"no_lookup_match"
"Venezuela","VEN",2026,"20260701",10,2026-03-02,4067,NA,4067,17,NA,FALSE,TRUE,"no_lookup_match"
"Argentina","ARG",2026,"20260701",10,2026-03-02,22,33,33,17,1.49331089195434,TRUE,FALSE,"applied_mean"
"Argentina","ARG",2024,"20260701",10,2024-03-04,151323,NA,151323,121,NA,FALSE,TRUE,"no_lookup_match"
"Argentina","ARG",2025,"20260701",10,2025-03-03,2541,NA,2541,69,NA,FALSE,TRUE,"no_lookup_match"
"Brazil","BRA",2024,"20260701",10,2024-03-04,3046664,NA,3046664,121,NA,FALSE,TRUE,"no_lookup_match"
"Brazil","BRA",2025,"20260701",10,2025-03-03,1190255,NA,1190255,69,NA,FALSE,TRUE,"no_lookup_match"
"Brazil","BRA",2026,"20260701",10,2026-03-02,402979,407360,407360,17,1.01087241465831,TRUE,FALSE,"applied_mean"
"Chile","CHL",2024,"20260701",10,2024-03-04,0,NA,0,121,NA,FALSE,TRUE,"no_lookup_match"
"Chile","CHL",2025,"20260701",10,2025-03-03,0,NA,0,69,NA,FALSE,TRUE,"no_lookup_match"
"Chile","CHL",2026,"20260701",10,2026-03-02,14,16,16,17,1.11559523809524,TRUE,FALSE,"applied_mean"
"Paraguay","PRY",2024,"20260701",10,2024-03-04,181726,NA,181726,121,NA,FALSE,TRUE,"no_lookup_match"
"Paraguay","PRY",2026,"20260701",10,2026-03-02,5133,5066,5066,17,0.986925406369306,TRUE,FALSE,"applied_mean"
"Paraguay","PRY",2025,"20260701",10,2025-03-03,9681,NA,9681,69,NA,FALSE,TRUE,"no_lookup_match"
"Uruguay","URY",2024,"20260701",10,2024-03-04,98,NA,98,121,NA,FALSE,TRUE,"no_lookup_match"
"Uruguay","URY",2025,"20260701",10,2025-03-03,0,NA,0,69,NA,FALSE,TRUE,"no_lookup_match"
"Uruguay","URY",2026,"20260701",10,2026-03-02,0,0,0,17,4.02285714285714,TRUE,FALSE,"applied_median"
"Dominican Republic","DOM",2024,"20260701",10,2024-03-04,5394,NA,5394,121,NA,FALSE,TRUE,"no_lookup_match"
"Dominican Republic","DOM",2025,"20260701",10,2025-03-03,407,NA,407,69,NA,FALSE,TRUE,"no_lookup_match"
"Dominican Republic","DOM",2026,"20260701",10,2026-03-02,238,238,238,17,1,TRUE,FALSE,"applied_mean"
"Puerto Rico","PRI",2026,"20260701",10,2026-03-02,365,365,365,17,0.998666797439585,TRUE,FALSE,"applied_mean"
"Puerto Rico","PRI",2024,"20260701",10,2024-03-04,571,NA,571,121,NA,FALSE,TRUE,"no_lookup_match"
"Puerto Rico","PRI",2025,"20260701",10,2025-03-03,1124,NA,1124,69,NA,FALSE,TRUE,"no_lookup_match"
