"country","region","type_of_missingness","accompanying_text","data_status_message"
"Cuba","Caribbean","Full data","Cuba is estimated to have experienced <span class=""scrolly-step-number"">5,127</span> cases this year to date. This is <span class=""scrolly-step-number"">21.3×</span> the number of cases reported in an average year. This year the dengue situation in Cuba is <span class=""scrolly-modifier above"">above</span> average.","Recent months contain estimated data"
"Curacao","Caribbean","No current year data reported","Current year data for Curacao has not been reported yet. We do not have enough data to estimate current cases.","Recent months contain observed data only"
"Dominican Republic","Caribbean","Full data","Dominican Republic is estimated to have experienced <span class=""scrolly-step-number"">181</span> cases this year to date. This is <span class=""scrolly-step-number"">0.1×</span> the number of cases reported in an average year. This year the dengue situation in Dominican Republic is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"Ecuador","South America","Full data","Ecuador is estimated to have experienced <span class=""scrolly-step-number"">4,010</span> cases this year to date. This is <span class=""scrolly-step-number"">1.2×</span> the number of cases reported in an average year. This year the dengue situation in Ecuador is <span class=""scrolly-modifier above"">above</span> average.","Recent months contain observed data only"
"El Salvador","North & Central America","Full data","El Salvador is estimated to have experienced <span class=""scrolly-step-number"">1,013</span> cases this year to date. This is <span class=""scrolly-step-number"">0.5×</span> the number of cases reported in an average year. This year the dengue situation in El Salvador is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"Eritrea","Sub-Saharan Africa","Full data","Eritrea is estimated to have experienced <span class=""scrolly-step-number"">1,492</span> cases this year to date. This is <span class=""scrolly-step-number"">0.6×</span> the number of cases reported in an average year. This year the dengue situation in Eritrea is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain estimated data"
"Fiji","Pacific Islands","Full data","Fiji is estimated to have experienced <span class=""scrolly-step-number"">1,728</span> cases this year to date. This is <span class=""scrolly-step-number"">0.8×</span> the number of cases reported in an average year. This year the dengue situation in Fiji is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
"French Guiana","South America","Full data","French Guiana is estimated to have experienced <span class=""scrolly-step-number"">3</span> cases this year to date. This is <span class=""scrolly-step-number"">0.0×</span> the number of cases reported in an average year. This year the dengue situation in French Guiana is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"French Polynesia","Pacific Islands","Full data","French Polynesia is estimated to have experienced <span class=""scrolly-step-number"">40</span> cases this year to date. This is <span class=""scrolly-step-number"">0.2×</span> the number of cases reported in an average year. This year the dengue situation in French Polynesia is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain estimated data"
"Grenada","Caribbean","Full data","Grenada is estimated to have experienced <span class=""scrolly-step-number"">41</span> cases this year to date. This is <span class=""scrolly-step-number"">1.3×</span> the number of cases reported in an average year. This year the dengue situation in Grenada is <span class=""scrolly-modifier above"">above</span> average.","Recent months contain observed data only"
"Guadeloupe","Caribbean","Full data","Guadeloupe is estimated to have experienced <span class=""scrolly-step-number"">137</span> cases this year to date. This is <span class=""scrolly-step-number"">0.1×</span> the number of cases reported in an average year. This year the dengue situation in Guadeloupe is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"Guatemala","North & Central America","Full data","Guatemala is estimated to have experienced <span class=""scrolly-step-number"">2,182</span> cases this year to date. This is <span class=""scrolly-step-number"">0.9×</span> the number of cases reported in an average year. This year the dengue situation in Guatemala is <span class=""scrolly-modifier near"">near</span> average.","Recent months contain observed data only"
