"Region","Country","source","Data_status","Year","Month","season_nMonth","cases","cum_todate_cases_calendar","Predicted_total_seasonal_cases","Ave_season_monthly_cases","Ave_monthly_proportion","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion"
"Caribbean","Aruba","PAHO","Observed",2024,10,4,4,NA,19,73,0.05,268,0.21
"Caribbean","Aruba",NA,"Unobserved",2024,6,12,NA,NA,NA,163,0.08,1641,1
"Caribbean","Aruba","WHO","Observed",2025,1,7,0,0,0,151,0.09,676,0.47
"Caribbean","Aruba","PAHO","Observed",2025,8,2,2,14,19,34,0.02,120,0.11
"Caribbean","Aruba",NA,"Unobserved",2024,12,6,NA,NA,NA,203,0.13,525,0.38
"Caribbean","Aruba","WHO","Observed",2024,8,2,0,NA,0,34,0.02,120,0.11
"Caribbean","Aruba","PAHO","Observed",2024,1,7,3,3,6,151,0.09,676,0.47
"Caribbean","Aruba",NA,"Unobserved",2025,12,6,NA,NA,NA,203,0.13,525,0.38
"Caribbean","Aruba","WHO","Observed",2024,7,1,24,NA,294,86,0.08,86,0.08
"Caribbean","Aruba","Estimates","Unobserved",2025,11,5,383,1302,1506,54,0.04,322,0.25
"Caribbean","Aruba","PAHO","Observed",2025,5,11,2,6,2,244,0.13,1478,0.92
"Caribbean","Aruba","PAHO","Observed",2024,9,3,3,NA,19,75,0.05,195,0.16
"Caribbean","Aruba","PAHO","Observed",2025,7,1,2,12,24,86,0.08,86,0.08
"Caribbean","Aruba","WHO","Observed",2024,5,11,41,NA,45,244,0.13,1478,0.92
"Caribbean","Aruba","PAHO","Observed",2025,2,8,2,2,4,159,0.09,835,0.56
"Caribbean","Aruba","WHO","Observed",2025,3,9,0,2,0,217,0.13,1052,0.68
"Caribbean","Aruba","PAHO","Observed",2025,4,10,2,4,3,181,0.1,1233,0.79
"Caribbean","Aruba","PAHO","Observed",2024,2,8,6,9,11,159,0.09,835,0.56
"Caribbean","Aruba",NA,"Unobserved",2024,4,10,NA,NA,NA,181,0.1,1233,0.79
"Caribbean","Aruba","PAHO","Observed",2024,3,9,7,16,10,217,0.13,1052,0.68
"Caribbean","Aruba","Estimates","Unobserved",2025,9,3,447,461,2831,75,0.05,195,0.16
"Caribbean","Aruba",NA,"Unobserved",2024,11,5,NA,NA,NA,54,0.04,322,0.25
"Caribbean","Aruba","Estimates","Unobserved",2025,10,4,458,919,2177,73,0.05,268,0.21
"Caribbean","Aruba","PAHO","Observed",2025,6,12,4,10,4,163,0.08,1641,1
"South America","Argentina","PAHO","Observed",2024,11,4,84,581477,468,40,0.02,867,0.18
"South America","Argentina","PAHO","Observed",2024,5,10,18003,580363,19092,4816,0.15,29500,0.94
"South America","Argentina","PAHO","Observed",2025,11,4,1,22883,6,40,0.02,867,0.18
"South America","Argentina","PAHO","Observed",2025,6,11,86,17615,87,2034,0.04,31534,0.99
"South America","Argentina","PAHO","Observed",2024,3,8,229735,342782,434144,9607,0.22,11510,0.53
"South America","Argentina","PAHO","Observed",2024,12,5,83,581560,373,89,0.04,957,0.22
"South America","Argentina","PAHO","Observed",2025,1,6,275,275,1112,200,0.02,1156,0.25
"South America","Argentina","PAHO","Observed",2025,5,10,1972,17529,2091,4816,0.15,29500,0.94
"South America","Argentina","PAHO","Observed",2025,3,8,8515,10130,16091,9607,0.22,11510,0.53
"South America","Argentina","PAHO","Observed",2024,1,6,32998,32998,133468,200,0.02,1156,0.25
"South America","Argentina","PAHO","Observed",2024,8,1,31,581310,5450,12,0.01,12,0.01
"South America","Argentina","WHO","Observed",2025,9,2,1,21821,77,14,0.01,26,0.01
"South America","Argentina","PAHO","Observed",2024,6,11,876,581239,889,2034,0.04,31534,0.99
"South America","Argentina","PAHO","Observed",2025,4,9,5427,15557,6863,13174,0.26,24684,0.79
"South America","Argentina","PAHO","Observed",2025,8,1,4189,21820,736520,12,0.01,12,0.01
"South America","Argentina","PAHO","Observed",2025,7,12,16,17631,16,701,0.01,32235,1
"South America","Argentina","PAHO","Observed",2024,7,12,40,581279,40,701,0.01,32235,1
"South America","Argentina","PAHO","Observed",2025,10,3,1061,22882,6522,802,0.15,828,0.16
"South America","Argentina","PAHO","Observed",2024,9,2,31,581341,2374,14,0.01,26,0.01
"South America","Argentina","PAHO","Observed",2024,2,7,80049,113047,257291,747,0.06,1903,0.31
"South America","Argentina","PAHO","Observed",2024,4,9,219578,562360,277677,13174,0.26,24684,0.79
"South America","Argentina",NA,"Unobserved",2025,12,5,NA,NA,NA,89,0.04,957,0.22
"South America","Argentina","PAHO","Observed",2024,10,3,52,581393,320,802,0.15,828,0.16
"South America","Argentina","PAHO","Observed",2025,2,7,1340,1615,4307,747,0.06,1903,0.31
"Caribbean","Antigua And Barbuda",NA,"Unobserved",2024,12,9,NA,NA,NA,70,0.11,261,0.55
"Caribbean","Antigua And Barbuda","PAHO","Observed",2025,9,6,4,14,15,32,0.08,103,0.26
"Caribbean","Antigua And Barbuda","PAHO","Observed",2024,1,10,41,41,54,82,0.21,343,0.76
"Caribbean","Antigua And Barbuda","Estimates","Unobserved",2025,11,8,828,1541,1902,48,0.1,190,0.44
"Caribbean","Antigua And Barbuda","PAHO","Observed",2025,5,2,1,4,18,12,0.04,19,0.06
"Caribbean","Antigua And Barbuda","WHO","Observed",2024,3,12,0,NA,0,25,0.1,408,1
"Caribbean","Antigua And Barbuda",NA,"Unobserved",2024,2,11,NA,NA,NA,40,0.14,383,0.9
"Caribbean","Antigua And Barbuda","WHO","Observed",2024,8,5,0,NA,0,27,0.06,71,0.18
"Caribbean","Antigua And Barbuda",NA,"Unobserved",2024,6,3,NA,NA,NA,11,0.03,29,0.08
"Caribbean","Antigua And Barbuda","PAHO","Observed",2025,3,12,2,2,2,25,0.1,408,1
"Caribbean","Antigua And Barbuda","PAHO","Observed",2025,7,4,2,8,16,14,0.04,44,0.12
"Caribbean","Antigua And Barbuda","WHO","Observed",2025,1,10,0,0,0,82,0.21,343,0.76
"Caribbean","Antigua And Barbuda","WHO","Observed",2024,7,4,28,NA,228,14,0.04,44,0.12
"Caribbean","Antigua And Barbuda","WHO","Observed",2025,2,11,0,0,0,40,0.14,383,0.9
"Caribbean","Antigua And Barbuda","Estimates","Unobserved",2025,10,7,699,713,2054,39,0.08,142,0.34
"Caribbean","Antigua And Barbuda","WHO","Observed",2024,11,8,6,NA,14,48,0.1,190,0.44
"Caribbean","Antigua And Barbuda","PAHO","Observed",2024,9,6,12,NA,46,32,0.08,103,0.26
"Caribbean","Antigua And Barbuda",NA,"Unobserved",2024,10,7,NA,NA,NA,39,0.08,142,0.34
"Caribbean","Antigua And Barbuda","PAHO","Observed",2025,6,3,2,6,24,11,0.03,29,0.08
"Caribbean","Antigua And Barbuda","PAHO","Observed",2025,8,5,2,10,11,27,0.06,71,0.18
"Caribbean","Antigua And Barbuda","PAHO","Observed",2025,4,1,1,3,50,7,0.02,7,0.02
"Caribbean","Antigua And Barbuda","PAHO","Observed",2024,5,2,8,NA,143,12,0.04,19,0.06
"Caribbean","Antigua And Barbuda",NA,"Unobserved",2025,12,9,NA,NA,NA,70,0.11,261,0.55
"Caribbean","Antigua And Barbuda","PAHO","Observed",2024,4,1,74,NA,3682,7,0.02,7,0.02
"Pacific Islands","Australia","WHO","Observed",2025,6,10,120,1174,143,92,0.07,1104,0.84
"Pacific Islands","Australia",NA,"Unobserved",2025,12,4,NA,NA,NA,93,0.07,339,0.28
"Pacific Islands","Australia","WHO","Observed",2025,10,2,131,1676,972,94,0.08,160,0.13
"Pacific Islands","Australia","WHO","Observed",2024,6,10,252,1373,300,92,0.07,1104,0.84
"Pacific Islands","Australia","WHO","Observed",2024,10,2,172,2040,1277,94,0.08,160,0.13
"Pacific Islands","Australia","WHO","Observed",2024,8,12,148,1734,148,79,0.07,1288,1
"Pacific Islands","Australia","WHO","Observed",2024,5,9,347,1121,454,112,0.08,1011,0.77
"Pacific Islands","Australia","WHO","Observed",2024,12,4,162,2381,577,93,0.07,339,0.28
"Pacific Islands","Australia","WHO","Observed",2024,2,6,103,235,204,139,0.1,648,0.5
"Pacific Islands","Australia","WHO","Observed",2025,9,1,85,1545,1545,67,0.05,67,0.05
"Pacific Islands","Australia","WHO","Observed",2025,5,9,135,1054,176,112,0.08,1011,0.77
"Pacific Islands","Australia","WHO","Observed",2024,11,3,179,2219,860,86,0.07,246,0.21
"Pacific Islands","Australia","WHO","Observed",2024,4,8,349,774,512,120,0.08,899,0.68
"Pacific Islands","Australia","WHO","Observed",2024,7,11,213,1586,229,105,0.09,1209,0.93
"Pacific Islands","Australia","Estimates","Unobserved",2025,11,3,640,2316,3074,86,0.07,246,0.21
"Pacific Islands","Australia","WHO","Observed",2025,3,7,220,724,367,130,0.1,779,0.6
"Pacific Islands","Australia","WHO","Observed",2025,4,8,195,919,286,120,0.08,899,0.68
"Pacific Islands","Australia","WHO","Observed",2025,2,6,220,504,437,139,0.1,648,0.5
"Pacific Islands","Australia","WHO","Observed",2025,8,12,126,1460,126,79,0.07,1288,1
"Pacific Islands","Australia","WHO","Observed",2024,3,7,190,425,317,130,0.1,779,0.6
"Pacific Islands","Australia","WHO","Observed",2025,1,5,284,284,701,170,0.12,509,0.41
"Pacific Islands","Australia","WHO","Observed",2024,9,1,134,1868,2436,67,0.05,67,0.05
"Pacific Islands","Australia","WHO","Observed",2025,7,11,160,1334,172,105,0.09,1209,0.93
"Pacific Islands","Australia","WHO","Observed",2024,1,5,132,132,326,170,0.12,509,0.41
"Caribbean","Bonaire, Saint Eustatius And Saba","Estimates","Unobserved",2025,9,5,368,6715,2454,19,0.04,68,0.15
"Caribbean","Bonaire, Saint Eustatius And Saba",NA,"Unobserved",2024,6,2,NA,NA,NA,10,0.02,20,0.04
"Caribbean","Bonaire, Saint Eustatius And Saba","Estimates","Unobserved",2025,4,12,320,5408,320,17,0.04,464,1
"Caribbean","Bonaire, Saint Eustatius And Saba","Estimates","Unobserved",2025,3,11,1539,5088,1598,82,0.18,446,0.96
"Caribbean","Bonaire, Saint Eustatius And Saba","Estimates","Unobserved",2025,8,4,287,6347,2662,15,0.03,49,0.11
"Caribbean","Bonaire, Saint Eustatius And Saba","Estimates","Unobserved",2025,10,6,552,7267,2589,29,0.06,97,0.21
"Caribbean","Bonaire, Saint Eustatius And Saba","PAHO","Observed",2024,1,9,89,89,146,108,0.23,281,0.61
"Caribbean","Bonaire, Saint Eustatius And Saba",NA,"Unobserved",2024,12,8,NA,NA,NA,45,0.1,173,0.38
"Caribbean","Bonaire, Saint Eustatius And Saba",NA,"Unobserved",2024,5,1,NA,NA,NA,10,0.02,10,0.02
"Caribbean","Bonaire, Saint Eustatius And Saba","Estimates","Unobserved",2025,11,7,584,7851,2083,30,0.07,128,0.28
"Caribbean","Bonaire, Saint Eustatius And Saba",NA,"Unobserved",2024,8,4,NA,NA,NA,15,0.03,49,0.11
"Caribbean","Bonaire, Saint Eustatius And Saba","Estimates","Unobserved",2025,1,9,1991,1991,3275,108,0.23,281,0.61
"Caribbean","Bonaire, Saint Eustatius And Saba",NA,"Unobserved",2025,12,8,NA,NA,NA,45,0.1,173,0.38
"Caribbean","Bonaire, Saint Eustatius And Saba",NA,"Unobserved",2024,10,6,NA,NA,NA,29,0.06,97,0.21
"Caribbean","Bonaire, Saint Eustatius And Saba",NA,"Unobserved",2024,4,12,NA,NA,NA,17,0.04,464,1
"Caribbean","Bonaire, Saint Eustatius And Saba",NA,"Unobserved",2024,7,3,NA,NA,NA,15,0.03,34,0.07
"Caribbean","Bonaire, Saint Eustatius And Saba","PAHO","Observed",2024,2,10,63,152,80,83,0.18,364,0.79
"Caribbean","Bonaire, Saint Eustatius And Saba","Estimates","Unobserved",2025,5,1,190,5598,8712,10,0.02,10,0.02
"Caribbean","Bonaire, Saint Eustatius And Saba",NA,"Unobserved",2024,11,7,NA,NA,NA,30,0.07,128,0.28
"Caribbean","Bonaire, Saint Eustatius And Saba","Estimates","Unobserved",2025,7,3,277,6060,3702,15,0.03,34,0.07
"Caribbean","Bonaire, Saint Eustatius And Saba","PAHO","Observed",2024,3,11,55,207,57,82,0.18,446,0.96
"Caribbean","Bonaire, Saint Eustatius And Saba","Estimates","Unobserved",2025,2,10,1558,3549,1980,83,0.18,364,0.79
"Caribbean","Bonaire, Saint Eustatius And Saba","Estimates","Unobserved",2025,6,2,185,5783,4294,10,0.02,20,0.04
"Caribbean","Bonaire, Saint Eustatius And Saba",NA,"Unobserved",2024,9,5,NA,NA,NA,19,0.04,68,0.15
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,5,2,1981,12922,81750,16,0.01,40,0.02
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2024,6,3,2179,21985,66175,16,0.01,55,0.03
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2024,3,12,2898,14694,2898,51,0.03,4766,1
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,7,4,3584,18400,70262,32,0.02,87,0.05
"Sub-Saharan Africa","Burkina Faso","Estimates","Unobserved",2025,11,8,1854,41204,2242,1102,0.21,4214,0.83
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,4,1,2026,10941,124849,24,0.02,24,0.02
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2024,7,4,3101,25086,60793,32,0.02,87,0.05
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,9,6,6374,27897,37456,302,0.08,496,0.17
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,8,5,3123,21523,33047,108,0.04,195,0.09
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2024,11,8,3987,68037,4821,1102,0.21,4214,0.83
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2024,4,1,2404,17098,148143,24,0.02,24,0.02
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,2,11,2543,6785,2615,58,0.02,4715,0.97
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2024,1,10,6729,6729,7093,139,0.04,4656,0.95
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,6,3,1894,14816,57520,16,0.01,55,0.03
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2024,2,11,5067,11796,5211,58,0.02,4715,0.97
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,10,7,11453,39350,18647,2616,0.44,3112,0.61
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2024,12,9,5771,73808,6348,304,0.08,4518,0.91
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,1,10,4242,4242,4472,139,0.04,4656,0.95
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2024,9,6,10962,44793,64417,302,0.08,496,0.17
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2025,3,12,2130,8915,2130,51,0.03,4766,1
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2024,5,2,2708,19806,111751,16,0.01,40,0.02
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2024,10,7,19257,64050,31352,2616,0.44,3112,0.61
"Sub-Saharan Africa","Burkina Faso","WHO","Observed",2024,8,5,8745,33831,92538,108,0.04,195,0.09
"Sub-Saharan Africa","Burkina Faso",NA,"Unobserved",2025,12,9,NA,NA,NA,304,0.08,4518,0.91
"South Asia","Bangladesh","SEARO","Observed",2024,7,6,2669,6320,14373,264,0.15,348,0.19
"South Asia","Bangladesh","SEARO","Observed",2025,4,3,701,2572,132738,6,0,11,0.01
"South Asia","Bangladesh","SEARO","Observed",2025,7,6,10684,20980,57537,264,0.15,348,0.19
"South Asia","Bangladesh","SEARO","Observed",2024,11,10,29652,91469,30276,163,0.07,1951,0.98
"South Asia","Bangladesh","SEARO","Observed",2025,12,11,NA,NA,0,44,0.02,1994,1
"South Asia","Bangladesh","SEARO","Observed",2025,8,7,10496,31476,21858,529,0.29,877,0.48
"South Asia","Bangladesh","SEARO","Observed",2024,2,1,339,1394,119048,1,0,1,0
"South Asia","Bangladesh","SEARO","Observed",2025,5,4,1773,4345,163780,13,0.01,24,0.01
"South Asia","Bangladesh","SEARO","Observed",2024,8,7,6521,12841,13580,529,0.29,877,0.48
"South Asia","Bangladesh","SEARO","Observed",2024,9,8,18097,30938,24201,530,0.27,1407,0.75
"South Asia","Bangladesh","SEARO","Observed",2025,11,10,0,69862,0,163,0.07,1951,0.98
"South Asia","Bangladesh","SEARO","Observed",2025,9,8,15866,47342,21217,530,0.27,1407,0.75
"South Asia","Bangladesh","SEARO","Observed",2024,12,11,9745,101214,9782,44,0.02,1994,1
"South Asia","Bangladesh","SEARO","Observed",2024,6,5,798,3651,22842,60,0.02,83,0.03
"South Asia","Bangladesh","SEARO","Observed",2025,6,5,5951,10296,170339,60,0.02,83,0.03
"South Asia","Bangladesh","SEARO","Observed",2025,2,1,374,1535,131339,1,0,1,0
"South Asia","Bangladesh","SEARO","Observed",2024,1,12,1055,1055,1055,17,0,2011,1
"South Asia","Bangladesh","SEARO","Observed",2024,4,3,504,2209,95435,6,0,11,0.01
"South Asia","Bangladesh","SEARO","Observed",2024,10,9,30879,61817,33812,380,0.17,1787,0.91
"South Asia","Bangladesh","SEARO","Observed",2025,3,2,336,1871,81419,3,0,4,0
"South Asia","Bangladesh","SEARO","Observed",2025,10,9,22520,69862,24659,380,0.17,1787,0.91
"South Asia","Bangladesh","SEARO","Observed",2025,1,12,1161,1161,1161,17,0,2011,1
"South Asia","Bangladesh","SEARO","Observed",2024,5,4,644,2853,59489,13,0.01,24,0.01
"South Asia","Bangladesh","SEARO","Observed",2024,3,2,311,1705,75361,3,0,4,0
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2025,7,4,370,1723,1916,28,0.04,114,0.19
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2025,8,5,534,2627,2100,49,0.06,163,0.25
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2025,11,8,1336,6313,2456,85,0.15,334,0.54
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2025,7,4,370,2093,1916,28,0.04,114,0.19
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2025,10,7,627,4977,1604,42,0.07,249,0.39
"Caribbean","Saint Barthelemy","WHO","Observed",2025,4,1,0,40,0,20,0.04,20,0.04
"Caribbean","Saint Barthelemy","WHO","Observed",2024,9,6,0,NA,0,44,0.06,207,0.32
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2025,11,8,1336,7649,2456,85,0.15,334,0.54
"Caribbean","Saint Barthelemy","WHO","Observed",2024,7,4,7,296,36,28,0.04,114,0.19
"Caribbean","Saint Barthelemy","WHO","Observed",2024,3,12,9,228,9,21,0.1,466,1
"Caribbean","Saint Barthelemy","WHO","Observed",2024,12,9,16,NA,24,52,0.12,386,0.67
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2025,4,1,329,369,8714,20,0.04,20,0.04
"Caribbean","Saint Barthelemy","PAHO","Observed",2024,3,12,9,219,9,21,0.1,466,1
"Caribbean","Saint Barthelemy",NA,"Unobserved",2024,10,7,NA,NA,NA,42,0.07,249,0.39
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2025,5,2,487,856,5201,34,0.06,54,0.09
"Caribbean","Saint Barthelemy","PAHO","Observed",2024,11,8,6,NA,11,85,0.15,334,0.54
"Caribbean","Saint Barthelemy",NA,"Unobserved",2024,8,5,NA,NA,NA,49,0.06,163,0.25
"Caribbean","Saint Barthelemy","WHO","Observed",2025,2,11,1,36,1,22,0.1,446,0.9
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2025,8,5,534,3161,2100,49,0.06,163,0.25
"Caribbean","Saint Barthelemy","WHO","Observed",2024,1,10,76,152,94,38,0.14,423,0.81
"Caribbean","Saint Barthelemy","PAHO","Observed",2024,9,6,3,NA,9,44,0.06,207,0.32
"Caribbean","Saint Barthelemy","WHO","Observed",2025,5,2,0,856,0,34,0.06,54,0.09
"Caribbean","Saint Barthelemy","WHO","Observed",2025,9,6,0,3161,0,44,0.06,207,0.32
"Caribbean","Saint Barthelemy","WHO","Observed",2024,5,2,14,270,150,34,0.06,54,0.09
"Caribbean","Saint Barthelemy","WHO","Observed",2024,6,3,6,282,40,32,0.06,86,0.15
"Caribbean","Saint Barthelemy","PAHO","Observed",2024,6,3,6,276,40,32,0.06,86,0.15
"Caribbean","Saint Barthelemy","WHO","Observed",2024,10,7,3,NA,8,42,0.07,249,0.39
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2025,6,3,497,1353,3299,32,0.06,86,0.15
"Caribbean","Saint Barthelemy","WHO","Observed",2025,6,3,0,856,0,32,0.06,86,0.15
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2025,10,7,627,4350,1604,42,0.07,249,0.39
"Caribbean","Saint Barthelemy","PAHO","Observed",2025,2,11,1,35,1,22,0.1,446,0.9
"Caribbean","Saint Barthelemy","PAHO","Observed",2024,7,4,7,289,36,28,0.04,114,0.19
"Caribbean","Saint Barthelemy","Estimates","Unobserved",2025,9,6,562,3723,1763,44,0.06,207,0.32
"Caribbean","Saint Barthelemy",NA,"Unobserved",2025,12,9,NA,NA,NA,52,0.12,386,0.67
"Caribbean","Saint Barthelemy","PAHO","Observed",2024,12,9,16,NA,24,52,0.12,386,0.67
"Caribbean","Saint Barthelemy","PAHO","Observed",2024,4,1,7,242,185,20,0.04,20,0.04
"Caribbean","Saint Barthelemy","PAHO","Observed",2024,2,11,29,210,32,22,0.1,446,0.9
"Caribbean","Saint Barthelemy","PAHO","Observed",2024,1,10,76,76,94,38,0.14,423,0.81
"Caribbean","Saint Barthelemy",NA,"Unobserved",2025,12,9,NA,NA,NA,52,0.12,386,0.67
"Caribbean","Saint Barthelemy","WHO","Observed",2024,4,1,7,235,185,20,0.04,20,0.04
"Caribbean","Saint Barthelemy","PAHO","Observed",2024,5,2,14,256,150,34,0.06,54,0.09
"Caribbean","Saint Barthelemy","WHO","Observed",2024,2,11,29,181,32,22,0.1,446,0.9
"Caribbean","Saint Barthelemy","PAHO","Observed",2025,3,12,2,40,2,21,0.1,466,1
"Caribbean","Saint Barthelemy","PAHO","Observed",2025,1,10,17,17,21,38,0.14,423,0.81
"Caribbean","Saint Barthelemy","WHO","Observed",2025,3,12,2,38,2,21,0.1,466,1
"Caribbean","Saint Barthelemy","WHO","Observed",2024,8,5,0,NA,0,49,0.06,163,0.25
"Caribbean","Saint Barthelemy","WHO","Observed",2024,11,8,6,NA,11,85,0.15,334,0.54
"Caribbean","Saint Barthelemy","WHO","Observed",2025,1,10,17,34,21,38,0.14,423,0.81
"North & Central America","Belize","PAHO","Observed",2024,3,12,39,184,39,265,0.08,3996,1
"North & Central America","Belize","PAHO","Observed",2025,8,5,575,1341,1591,525,0.11,1441,0.36
"North & Central America","Belize","PAHO","Observed",2025,11,8,167,2535,241,427,0.1,2945,0.69
"North & Central America","Belize","PAHO","Observed",2025,9,6,625,1966,1304,551,0.12,1993,0.48
"North & Central America","Belize","PAHO","Observed",2025,10,7,402,2368,672,525,0.12,2518,0.6
"North & Central America","Belize","PAHO","Observed",2025,2,11,57,111,62,226,0.07,3731,0.92
"North & Central America","Belize","PAHO","Observed",2025,6,3,129,467,787,251,0.06,573,0.16
"North & Central America","Belize","PAHO","Observed",2024,2,11,72,145,78,226,0.07,3731,0.92
"North & Central America","Belize",NA,"Unobserved",2024,12,9,NA,NA,NA,255,0.06,3200,0.76
"North & Central America","Belize","PAHO","Observed",2024,11,8,54,1148,78,427,0.1,2945,0.69
"North & Central America","Belize","PAHO","Observed",2025,7,4,299,766,1187,344,0.09,917,0.25
"North & Central America","Belize","PAHO","Observed",2024,6,3,71,374,433,251,0.06,573,0.16
"North & Central America","Belize","PAHO","Observed",2024,7,4,147,521,583,344,0.09,917,0.25
"North & Central America","Belize","PAHO","Observed",2025,3,12,99,210,99,265,0.08,3996,1
"North & Central America","Belize","PAHO","Observed",2024,5,2,66,303,664,164,0.05,322,0.1
"North & Central America","Belize","PAHO","Observed",2024,8,5,315,836,872,525,0.11,1441,0.36
"North & Central America","Belize","PAHO","Observed",2024,1,10,73,73,86,306,0.09,3506,0.85
"North & Central America","Belize","PAHO","Observed",2025,4,1,57,267,1149,158,0.05,158,0.05
"North & Central America","Belize","PAHO","Observed",2025,5,2,71,338,714,164,0.05,322,0.1
"North & Central America","Belize",NA,"Unobserved",2025,12,9,NA,NA,NA,255,0.06,3200,0.76
"North & Central America","Belize","PAHO","Observed",2024,4,1,53,237,1068,158,0.05,158,0.05
"North & Central America","Belize","PAHO","Observed",2025,1,10,54,54,64,306,0.09,3506,0.85
"North & Central America","Belize","PAHO","Observed",2024,9,6,180,1016,376,551,0.12,1993,0.48
"North & Central America","Belize","PAHO","Observed",2024,10,7,78,1094,130,525,0.12,2518,0.6
"South America","Bolivia","WHO","Observed",2024,11,4,2356,108628,19807,1638,0.05,3569,0.12
"South America","Bolivia","PAHO","Observed",2025,3,8,5848,21142,9048,7277,0.19,23308,0.65
"South America","Bolivia","WHO","Observed",2025,1,6,4204,4204,13830,4404,0.11,10195,0.3
"South America","Bolivia","PAHO","Observed",2024,4,9,12689,63635,15186,6832,0.19,30141,0.84
"South America","Bolivia","PAHO","Observed",2025,5,10,5765,41877,6089,4084,0.11,34224,0.95
"South America","Bolivia","WHO","Observed",2024,3,8,10093,50946,15615,7277,0.19,23308,0.65
"South America","Bolivia","PAHO","Observed",2025,1,6,4204,8408,13830,4404,0.11,10195,0.3
"South America","Bolivia","WHO","Observed",2025,5,10,5762,47639,6086,4084,0.11,34224,0.95
"South America","Bolivia","PAHO","Observed",2025,10,3,2646,65483,41010,896,0.03,1931,0.06
"South America","Bolivia","WHO","Observed",2024,4,9,10246,73881,12262,6832,0.19,30141,0.84
"South America","Bolivia","PAHO","Observed",2024,11,4,2356,110984,19807,1638,0.05,3569,0.12
"South America","Bolivia","PAHO","Observed",2024,6,11,2403,95262,2450,1290,0.03,35515,0.98
"South America","Bolivia","PAHO","Observed",2024,9,2,1639,101271,46596,506,0.02,1035,0.04
"South America","Bolivia","PAHO","Observed",2024,5,10,7066,90456,7464,4084,0.11,34224,0.95
"South America","Bolivia","PAHO","Observed",2025,11,4,2801,68758,23549,1638,0.05,3569,0.12
"South America","Bolivia","WHO","Observed",2025,9,2,975,60711,27719,506,0.02,1035,0.04
"South America","Bolivia","WHO","Observed",2024,6,11,2403,92859,2450,1290,0.03,35515,0.98
"South America","Bolivia","WHO","Observed",2025,2,7,3443,15294,7619,5836,0.15,16031,0.45
"South America","Bolivia","PAHO","Observed",2025,8,1,847,58895,47037,529,0.02,529,0.02
"South America","Bolivia","WHO","Observed",2024,9,2,1270,102541,36106,506,0.02,1035,0.04
"South America","Bolivia","PAHO","Observed",2025,9,2,1388,62099,39460,506,0.02,1035,0.04
"South America","Bolivia","WHO","Observed",2024,7,12,1147,97556,1147,624,0.02,36139,1
"South America","Bolivia","PAHO","Observed",2024,12,5,3385,117754,17528,2222,0.07,5791,0.19
"South America","Bolivia","Estimates","Unobserved",2025,11,4,474,65957,3985,1638,0.05,3569,0.12
"South America","Bolivia",NA,"Unobserved",2025,12,5,NA,NA,NA,2222,0.07,5791,0.19
"South America","Bolivia","WHO","Observed",2025,3,8,4362,25504,6749,7277,0.19,23308,0.65
"South America","Bolivia","WHO","Observed",2024,1,6,8761,17522,28821,4404,0.11,10195,0.3
"South America","Bolivia","WHO","Observed",2024,5,10,9509,83390,10044,4084,0.11,34224,0.95
"South America","Bolivia","WHO","Observed",2025,7,12,1445,56906,1445,624,0.02,36139,1
"South America","Bolivia","WHO","Observed",2025,10,3,738,62837,11438,896,0.03,1931,0.06
"South America","Bolivia","WHO","Observed",2025,8,1,841,59736,46704,529,0.02,529,0.02
"South America","Bolivia","PAHO","Observed",2025,6,11,4063,51702,4142,1290,0.03,35515,0.98
