"country","iso3","year","ext_date","EW","onset_date","total_den","total_corrected_cases","total_applied_cases","d","rf","correction_applied","correction_excluded","correction_reason"
"Canada","CAN",2024,"20260723",10,2024-03-04,0,NA,0,124,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2025,"20260723",10,2025-03-03,0,NA,0,72,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2026,"20260723",10,2026-03-02,0,NA,0,20,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2024,"20260723",10,2024-03-04,220,NA,220,124,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2025,"20260723",10,2025-03-03,156,NA,156,72,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2026,"20260723",10,2026-03-02,54,NA,54,20,NA,FALSE,TRUE,"no_lookup_match"
"Belize","BLZ",2024,"20260723",10,2024-03-04,159,NA,159,124,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2025,"20260723",10,2025-03-03,129,NA,129,72,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2026,"20260723",10,2026-03-02,263,NA,263,20,NA,FALSE,TRUE,"country_excluded"
"Costa Rica","CRI",2024,"20260723",10,2024-03-04,5415,NA,5415,124,NA,FALSE,TRUE,"no_lookup_match"
"Costa Rica","CRI",2025,"20260723",10,2025-03-03,852,NA,852,72,NA,FALSE,TRUE,"no_lookup_match"
"Costa Rica","CRI",2026,"20260723",10,2026-03-02,424,420,420,20,0.990859042092893,TRUE,FALSE,"applied_mean"
"El Salvador","SLV",2025,"20260723",10,2025-03-03,866,NA,866,72,NA,FALSE,TRUE,"no_lookup_match"
"El Salvador","SLV",2024,"20260723",10,2024-03-04,1101,NA,1101,124,NA,FALSE,TRUE,"no_lookup_match"
"El Salvador","SLV",2026,"20260723",10,2026-03-02,1196,1196,1196,20,1,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2025,"20260723",10,2025-03-03,9040,NA,9040,72,NA,FALSE,TRUE,"no_lookup_match"
"Guatemala","GTM",2026,"20260723",10,2026-03-02,6358,8704,8704,20,1.36900174364501,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2024,"20260723",10,2024-03-04,13533,NA,13533,124,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2025,"20260723",10,2025-03-03,3085,NA,3085,72,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2024,"20260723",10,2024-03-04,7856,NA,7856,124,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2026,"20260723",10,2026-03-02,1896,1896,1896,20,1,TRUE,FALSE,"applied_mean"
"Mexico","MEX",2024,"20260723",10,2024-03-04,38656,NA,38656,124,NA,FALSE,TRUE,"no_lookup_match"
"Mexico","MEX",2025,"20260723",10,2025-03-03,21459,NA,21459,72,NA,FALSE,TRUE,"no_lookup_match"
"Mexico","MEX",2026,"20260723",10,2026-03-02,12121,12107,12107,20,0.998823096596608,TRUE,FALSE,"applied_mean"
"Nicaragua","NIC",2025,"20260723",4,2025-01-20,5702,NA,5702,78,NA,FALSE,TRUE,"no_lookup_match"
"Nicaragua","NIC",2024,"20260723",10,2024-03-04,17335,NA,17335,124,NA,FALSE,TRUE,"no_lookup_match"
"Panama","PAN",2026,"20260723",10,2026-03-02,1997,1894,1894,20,0.948247517317938,TRUE,FALSE,"applied_mean"
