iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90
BRN,2026-07-01,2,2026-09-01,NA,NA,NA,NA,NA
BRN,2026-07-01,3,2026-10-01,NA,NA,NA,NA,NA
BRN,2026-07-01,4,2026-11-01,NA,NA,NA,NA,NA
BRN,2026-07-01,5,2026-12-01,NA,NA,NA,NA,NA
BRN,2026-07-01,6,2027-01-01,NA,NA,NA,NA,NA
BTN,2026-07-01,1,2026-08-01,34,7,47,0,114
BTN,2026-07-01,2,2026-09-01,103,20,142,2,346
BTN,2026-07-01,3,2026-10-01,235,47,325,5,787
BTN,2026-07-01,4,2026-11-01,436,87,601,9,1458
BTN,2026-07-01,5,2026-12-01,694,139,956,14,2317
BTN,2026-07-01,6,2027-01-01,983,197,1355,20,3284
CHL,2026-07-01,1,2026-08-01,12,2,17,0,41
CHL,2026-07-01,2,2026-09-01,49,9,67,1,164
CHL,2026-07-01,3,2026-10-01,135,27,186,2,451
CHL,2026-07-01,4,2026-11-01,287,57,396,6,961
CHL,2026-07-01,5,2026-12-01,507,101,699,10,1693
CHL,2026-07-01,6,2027-01-01,776,155,1070,16,2593
CHN,2026-07-01,1,2026-08-01,552,110,761,11,1844
CHN,2026-07-01,2,2026-09-01,828,165,1141,17,2765
CHN,2026-07-01,3,2026-10-01,1123,225,1548,23,3751
CHN,2026-07-01,4,2026-11-01,1413,283,1947,29,4720
CHN,2026-07-01,5,2026-12-01,1680,336,2315,35,5611
CHN,2026-07-01,6,2027-01-01,1914,383,2638,40,6393
CIV,2026-07-01,1,2026-08-01,209,42,288,4,698
CIV,2026-07-01,2,2026-09-01,399,80,550,8,1333
CIV,2026-07-01,3,2026-10-01,648,130,893,13,2166
CIV,2026-07-01,4,2026-11-01,934,187,1288,19,3121
CIV,2026-07-01,5,2026-12-01,1230,246,1695,25,4109
CIV,2026-07-01,6,2027-01-01,1514,303,2086,31,5055
COK,2026-07-01,1,2026-08-01,260,52,358,5,869
COK,2026-07-01,2,2026-09-01,470,94,648,10,1570
COK,2026-07-01,3,2026-10-01,734,147,1011,15,2450
COK,2026-07-01,4,2026-11-01,1026,205,1413,21,3425
COK,2026-07-01,5,2026-12-01,1320,264,1818,27,4407
COK,2026-07-01,6,2027-01-01,1596,319,2199,33,5329
COL,2026-07-01,1,2026-08-01,7233,1448,9965,152,24149
COL,2026-07-01,2,2026-09-01,5751,1151,7923,120,19202
COL,2026-07-01,3,2026-10-01,4838,968,6666,101,16155
COL,2026-07-01,4,2026-11-01,4247,850,5852,89,14182
COL,2026-07-01,5,2026-12-01,3850,771,5305,81,12856
COL,2026-07-01,6,2027-01-01,3576,716,4927,75,11939
CRI,2026-07-01,1,2026-08-01,1041,208,1434,22,3475
CRI,2026-07-01,2,2026-09-01,1334,267,1839,28,4456
CRI,2026-07-01,3,2026-10-01,1609,322,2217,33,5373
CRI,2026-07-01,4,2026-11-01,1853,371,2553,39,6187
CRI,2026-07-01,5,2026-12-01,2061,412,2839,43,6881
CRI,2026-07-01,6,2027-01-01,2232,447,3076,47,7455
CUB,2026-07-01,1,2026-08-01,2710,542,3734,57,9048
CUB,2026-07-01,2,2026-09-01,2744,549,3781,57,9163
