iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90
SDN,2026-07-01,1,2026-08-01,725,145,999,15,2422
SDN,2026-07-01,2,2026-09-01,1017,203,1401,21,3396
SDN,2026-07-01,3,2026-10-01,1311,262,1807,27,4379
SDN,2026-07-01,4,2026-11-01,1588,318,2188,33,5303
SDN,2026-07-01,5,2026-12-01,1835,367,2528,38,6126
SDN,2026-07-01,6,2027-01-01,2045,409,2818,43,6830
SEN,2026-07-01,1,2026-08-01,826,165,1138,17,2757
SEN,2026-07-01,2,2026-09-01,1121,224,1545,23,3743
SEN,2026-07-01,3,2026-10-01,1411,282,1944,29,4712
SEN,2026-07-01,4,2026-11-01,1678,336,2313,35,5605
SEN,2026-07-01,5,2026-12-01,1913,383,2635,40,6387
SEN,2026-07-01,6,2027-01-01,2111,422,2908,44,7048
SGP,2026-07-01,1,2026-08-01,692,138,954,14,2311
SGP,2026-07-01,2,2026-09-01,981,196,1352,20,3278
SGP,2026-07-01,3,2026-10-01,1277,255,1759,26,4264
SGP,2026-07-01,4,2026-11-01,1557,311,2145,32,5198
SGP,2026-07-01,5,2026-12-01,1807,361,2490,38,6034
SGP,2026-07-01,6,2027-01-01,2022,405,2786,42,6753
SLB,2026-07-01,1,2026-08-01,46,9,64,1,155
SLB,2026-07-01,2,2026-09-01,129,26,178,2,433
SLB,2026-07-01,3,2026-10-01,279,55,384,5,931
SLB,2026-07-01,4,2026-11-01,495,99,682,10,1653
SLB,2026-07-01,5,2026-12-01,763,152,1051,16,2547
SLB,2026-07-01,6,2027-01-01,1056,211,1455,22,3526
SLV,2026-07-01,1,2026-08-01,1007,201,1387,21,3363
SLV,2026-07-01,2,2026-09-01,1302,260,1794,27,4347
SLV,2026-07-01,3,2026-10-01,1579,316,2176,33,5274
SLV,2026-07-01,4,2026-11-01,1827,365,2517,38,6101
SLV,2026-07-01,5,2026-12-01,2039,408,2809,42,6808
SLV,2026-07-01,6,2027-01-01,2215,443,3051,46,7395
SUR,2026-07-01,1,2026-08-01,169,33,232,3,564
SUR,2026-07-01,2,2026-09-01,340,68,468,7,1135
SUR,2026-07-01,3,2026-10-01,575,115,792,12,1919
SUR,2026-07-01,4,2026-11-01,853,171,1176,18,2850
SUR,2026-07-01,5,2026-12-01,1149,230,1583,24,3838
SUR,2026-07-01,6,2027-01-01,1438,288,1981,30,4801
SXM,2026-07-01,1,2026-08-01,20,4,28,0,68
SXM,2026-07-01,2,2026-09-01,71,14,98,1,237
SXM,2026-07-01,3,2026-10-01,177,35,245,3,593
SXM,2026-07-01,4,2026-11-01,353,70,486,7,1179
SXM,2026-07-01,5,2026-12-01,591,118,815,12,1976
SXM,2026-07-01,6,2027-01-01,872,174,1202,18,2912
SYC,2026-07-01,1,2026-08-01,37,7,51,0,125
SYC,2026-07-01,2,2026-09-01,110,22,152,2,369
SYC,2026-07-01,3,2026-10-01,247,49,341,5,826
SYC,2026-07-01,4,2026-11-01,453,90,624,9,1512
SYC,2026-07-01,5,2026-12-01,713,142,982,15,2381
SYC,2026-07-01,6,2027-01-01,1004,201,1383,21,3352
TCA,2026-07-01,1,2026-08-01,7,1,10,0,24
TCA,2026-07-01,2,2026-09-01,34,7,47,0,115
TCA,2026-07-01,3,2026-10-01,104,21,143,2,348
TCA,2026-07-01,4,2026-11-01,236,47,326,5,790
TCA,2026-07-01,5,2026-12-01,438,87,603,9,1463
TCA,2026-07-01,6,2027-01-01,695,139,958,14,2323
THA,2026-07-01,1,2026-08-01,6826,1366,9404,143,22791
THA,2026-07-01,2,2026-09-01,5505,1102,7585,115,18382
THA,2026-07-01,3,2026-10-01,4682,937,6450,98,15632
THA,2026-07-01,4,2026-11-01,4143,829,5709,87,13835
THA,2026-07-01,5,2026-12-01,3779,756,5207,79,12618
THA,2026-07-01,6,2027-01-01,3526,706,4858,74,11773
TLS,2026-07-01,1,2026-08-01,311,62,429,6,1040
TLS,2026-07-01,2,2026-09-01,538,107,741,11,1797
TLS,2026-07-01,3,2026-10-01,812,162,1119,17,2712
TLS,2026-07-01,4,2026-11-01,1107,221,1525,23,3697
TLS,2026-07-01,5,2026-12-01,1398,280,1926,29,4668
TLS,2026-07-01,6,2027-01-01,1667,333,2296,35,5565
TON,2026-07-01,1,2026-08-01,147,29,203,3,493
TON,2026-07-01,2,2026-09-01,307,61,423,6,1026
TON,2026-07-01,3,2026-10-01,533,106,734,11,1779
TON,2026-07-01,4,2026-11-01,806,161,1110,17,2691
TON,2026-07-01,5,2026-12-01,1101,220,1517,23,3676
TON,2026-07-01,6,2027-01-01,1392,278,1918,29,4648
TTO,2026-07-01,1,2026-08-01,20,4,28,0,68
TTO,2026-07-01,2,2026-09-01,71,14,98,1,237
TTO,2026-07-01,3,2026-10-01,177,35,245,3,593
TTO,2026-07-01,4,2026-11-01,353,70,486,7,1179
TTO,2026-07-01,5,2026-12-01,591,118,815,12,1976
TTO,2026-07-01,6,2027-01-01,872,174,1202,18,2912
TUV,2026-07-01,1,2026-08-01,27,5,38,0,92
TUV,2026-07-01,2,2026-09-01,88,17,122,1,295
TUV,2026-07-01,3,2026-10-01,209,42,288,4,699
TUV,2026-07-01,4,2026-11-01,399,80,550,8,1334
TUV,2026-07-01,5,2026-12-01,649,130,894,13,2168
TUV,2026-07-01,6,2027-01-01,935,187,1288,19,3123
TWN,2026-07-01,1,2026-08-01,NA,NA,NA,NA,NA
TWN,2026-07-01,2,2026-09-01,NA,NA,NA,NA,NA
TWN,2026-07-01,3,2026-10-01,NA,NA,NA,NA,NA
TWN,2026-07-01,4,2026-11-01,NA,NA,NA,NA,NA
TWN,2026-07-01,5,2026-12-01,NA,NA,NA,NA,NA
TWN,2026-07-01,6,2027-01-01,NA,NA,NA,NA,NA
URY,2026-07-01,1,2026-08-01,7,1,10,0,24
URY,2026-07-01,2,2026-09-01,34,7,47,0,115
URY,2026-07-01,3,2026-10-01,104,21,143,2,348
URY,2026-07-01,4,2026-11-01,236,47,326,5,790
URY,2026-07-01,5,2026-12-01,438,87,603,9,1463
URY,2026-07-01,6,2027-01-01,695,139,958,14,2323
USA,2026-07-01,1,2026-08-01,238,47,328,5,797
USA,2026-07-01,2,2026-09-01,440,88,607,9,1471
USA,2026-07-01,3,2026-10-01,698,140,962,14,2333
USA,2026-07-01,4,2026-11-01,988,198,1362,20,3300
USA,2026-07-01,5,2026-12-01,1283,257,1768,27,4286
USA,2026-07-01,6,2027-01-01,1563,313,2153,32,5218
VCT,2026-07-01,1,2026-08-01,7,1,10,0,24
VCT,2026-07-01,2,2026-09-01,34,7,47,0,115
VCT,2026-07-01,3,2026-10-01,104,21,143,2,348
VCT,2026-07-01,4,2026-11-01,236,47,326,5,790
VCT,2026-07-01,5,2026-12-01,438,87,603,9,1463
VCT,2026-07-01,6,2027-01-01,695,139,958,14,2323
VEN,2026-07-01,1,2026-08-01,2462,493,3393,51,8222
VEN,2026-07-01,2,2026-09-01,2553,511,3518,53,8525
VEN,2026-07-01,3,2026-10-01,2624,525,3615,55,8761
VEN,2026-07-01,4,2026-11-01,2678,536,3690,56,8942
VEN,2026-07-01,5,2026-12-01,2720,544,3747,57,9082
VEN,2026-07-01,6,2027-01-01,2752,551,3791,57,9188
VGB,2026-07-01,1,2026-08-01,16,3,22,0,55
VGB,2026-07-01,2,2026-09-01,61,12,84,1,203
VGB,2026-07-01,3,2026-10-01,158,31,218,3,529
VGB,2026-07-01,4,2026-11-01,324,65,446,6,1082
VGB,2026-07-01,5,2026-12-01,554,111,764,11,1852
VGB,2026-07-01,6,2027-01-01,831,166,1144,17,2774
VNM,2026-07-01,1,2026-08-01,7489,1499,10319,157,25006
VNM,2026-07-01,2,2026-09-01,5904,1182,8134,124,19713
VNM,2026-07-01,3,2026-10-01,4935,988,6799,103,16478
VNM,2026-07-01,4,2026-11-01,4311,863,5940,90,14395
VNM,2026-07-01,5,2026-12-01,3894,779,5365,81,13002
VNM,2026-07-01,6,2027-01-01,3606,722,4969,75,12041
VUT,2026-07-01,1,2026-08-01,20,4,28,0,68
VUT,2026-07-01,2,2026-09-01,71,14,98,1,237
VUT,2026-07-01,3,2026-10-01,177,35,245,3,593
VUT,2026-07-01,4,2026-11-01,353,70,486,7,1179
VUT,2026-07-01,5,2026-12-01,591,118,815,12,1976
VUT,2026-07-01,6,2027-01-01,872,174,1202,18,2912
WLF,2026-07-01,1,2026-08-01,12,2,17,0,41
WLF,2026-07-01,2,2026-09-01,49,9,67,1,164
WLF,2026-07-01,3,2026-10-01,135,27,186,2,451
WLF,2026-07-01,4,2026-11-01,287,57,396,6,961
WLF,2026-07-01,5,2026-12-01,507,101,699,10,1693
WLF,2026-07-01,6,2027-01-01,776,155,1070,16,2593
WSM,2026-07-01,1,2026-08-01,746,149,1029,15,2493
WSM,2026-07-01,2,2026-09-01,1039,208,1432,21,3470
WSM,2026-07-01,3,2026-10-01,1333,267,1836,28,4451
WSM,2026-07-01,4,2026-11-01,1608,322,2215,33,5368
WSM,2026-07-01,5,2026-12-01,1852,370,2551,39,6183
WSM,2026-07-01,6,2027-01-01,2060,412,2838,43,6877
YEM,2026-07-01,1,2026-08-01,NA,NA,NA,NA,NA
YEM,2026-07-01,2,2026-09-01,NA,NA,NA,NA,NA
YEM,2026-07-01,3,2026-10-01,NA,NA,NA,NA,NA
YEM,2026-07-01,4,2026-11-01,NA,NA,NA,NA,NA
YEM,2026-07-01,5,2026-12-01,NA,NA,NA,NA,NA
YEM,2026-07-01,6,2027-01-01,NA,NA,NA,NA,NA
