step,n_countries
Step_2_Initial_Data,213
Step_3a_WHO_OD_Clean,213
Step_3a_WHO_OD_Selection,0
Step_3b_Combined_Before_Filter,213
Step_3b_Combined_After_Filter,149
Step_3c_Seasonal_Before_Filter,149
Step_3c_Seasonal_After_Filter,95
Step_4_Current_Data,0
Step_5_Nowcast_Merge,192
Step_6_Final,95
