model,run_at,pass,n_fit_warnings,predict_ok,intervals_monotone,n_predictions,pct_pred_na,n_countries,n_countries_with_profile,n_countries_no_profile,median_train_seasons,min_train_seasons,next_season_method,n_countries_calibrated,median_calib_seasons,n_calib_residuals,n_cells_country_km,notes,predict_error,fit_path,family,n_obs,converged,theta,dispersion_ratio,n_coef,any_na_coef,ar_coef
glm_ar1,2026-09-11 11:38:36,TRUE,0,TRUE,TRUE,576,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,glm_ar1 GLM (nb); 13618 obs; theta=0.74; dispersion=20.97; log1p(cases_lag1)=0.754,NA,Output/forecasting/stage0_fit/glm_ar1/fit.rds,nb,13618,TRUE,0.738,20.97,2,FALSE,log1p(cases_lag1)=0.754
nowcast,2026-09-11 11:38:35,TRUE,0,TRUE,TRUE,576,0,96,96,0,12.5,3,mean_T,96,10.5,55785,4813,seasonal-proportion baseline; profile for 96/96 countries (>= 3 seasons); next-season = mean_T; self-calibrated from 55785 residuals across 96 countries,NA,Output/forecasting/stage0_fit/nowcast/fit.rds,NA,NA,NA,NA,NA,NA,NA,NA
