iso3,country,step_1_historic_data,step_2_cleaned_data,step_3a_after_case_filter,step_3b_after_seasonal_filter,step_4_current_data,step_5_merge_and_nowcast,step_6_final,dropped_at_step,drop_reason,final_status
LKA,Sri Lanka,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
SDN,Sudan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
SUR,Suriname,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
SWE,Sweden,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
CHE,Switzerland,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
TWN,Taiwan,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,Dropped after merge/nowcast
TJK,Tajikistan,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
THA,Thailand,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
TLS,Timor-Leste,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
TGO,Togo,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: incomplete seasons (<12 months per season),Dropped after current data selection
TKL,Tokelau,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: incomplete seasons (<12 months per season),Dropped after current data selection
TON,Tonga,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
TTO,Trinidad and Tobago,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
TKM,Turkmenistan,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
TCA,Turks and Caicos Islands,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
TUV,Tuvalu,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
TUR,Türkiye,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
UGA,Uganda,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
UKR,Ukraine,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
GBR,United Kingdom of Great Britain and Northern Ireland,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
TZA,United Republic of Tanzania,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
USA,United States of America,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
URY,Uruguay,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
UZB,Uzbekistan,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
VUT,Vanuatu,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
VEN,Venezuela (Bolivarian Republic of),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,Dropped after merge/nowcast
VNM,Viet Nam,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
VGB,Virgin Islands (UK),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
VIR,Virgin Islands (US),TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: incomplete seasons (<12 months per season),Dropped after current data selection
WLF,Wallis and Futuna,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
YEM,Yemen,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,Dropped after merge/nowcast
ZMB,Zambia,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
ZWE,Zimbabwe,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
