iso3,country,step_1_historic_data,step_2_cleaned_data,step_3a_after_case_filter,step_3b_after_seasonal_filter,step_4_current_data,step_5_merge_and_nowcast,step_6_final,dropped_at_step,drop_reason,final_status
MLI,Mali,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: <3 complete seasons,Dropped after current data selection
MLT,Malta,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
MHL,Marshall Islands,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
MTQ,Martinique,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
MRT,Mauritania,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
MUS,Mauritius,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: <3 complete seasons,Dropped after current data selection
MYT,Mayotte,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: <3 complete seasons,Dropped after current data selection
MEX,Mexico,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
FSM,Micronesia (Federated States of),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
MCO,Monaco,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
MNE,Montenegro,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
MSR,Montserrat,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: <5 cases/month average,Dropped after current data selection
MOZ,Mozambique,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: incomplete seasons (<12 months per season),Dropped after current data selection
MMR,Myanmar,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
NAM,Namibia,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
