iso3,country,od_region,d,u_rf,med_rf,min_rf,max_rf,sd_rf,n_rf
AUS,Australia,Pacific Islands,11,1.003533695564196,1,1,1.0153846153846153,0.005819032806857306,9
AUS,Australia,Pacific Islands,12,1.0052300728601307,1.0026455026455028,1,1.0153846153846153,0.006718318565631576,8
BEN,Benin,Sub-Saharan Africa,2,1.0096153846153846,1,1,1.125,0.034668762264076815,13
BEN,Benin,Sub-Saharan Africa,3,1.0227272727272727,1,1,1.125,0.05056498968474315,11
BEN,Benin,Sub-Saharan Africa,4,1,1,1,1,0,8
BEN,Benin,Sub-Saharan Africa,5,1,1,1,1,0,10
BEN,Benin,Sub-Saharan Africa,6,1,1,1,1,0,10
BEN,Benin,Sub-Saharan Africa,7,1,1,1,1,0,11
BEN,Benin,Sub-Saharan Africa,8,1,1,1,1,0,9
BEN,Benin,Sub-Saharan Africa,9,1,1,1,1,0,7
BEN,Benin,Sub-Saharan Africa,10,1,1,1,1,0,6
BEN,Benin,Sub-Saharan Africa,11,1,1,1,1,0,6
BEN,Benin,Sub-Saharan Africa,12,1,1,1,1,0,3
BES,"Bonaire, Saint Eustatius and Saba",Caribbean,5,1,1,1,1,NA,1
BES,"Bonaire, Saint Eustatius and Saba",Caribbean,6,1,1,1,1,0,3
BES,"Bonaire, Saint Eustatius and Saba",Caribbean,7,1,1,1,1,0,4
BES,"Bonaire, Saint Eustatius and Saba",Caribbean,8,1,1,1,1,0,4
BES,"Bonaire, Saint Eustatius and Saba",Caribbean,9,1,1,1,1,0,3
BES,"Bonaire, Saint Eustatius and Saba",Caribbean,10,1,1,1,1,0,4
BES,"Bonaire, Saint Eustatius and Saba",Caribbean,11,1,1,1,1,0,4
BES,"Bonaire, Saint Eustatius and Saba",Caribbean,12,1,1,1,1,0,4
BFA,Burkina Faso,Sub-Saharan Africa,1,1,1,1,1,NA,1
BFA,Burkina Faso,Sub-Saharan Africa,2,1.0460088356797743,1,1,1.435441370223979,0.12613048289329112,15
BFA,Burkina Faso,Sub-Saharan Africa,3,1,1,1,1,0,13
BFA,Burkina Faso,Sub-Saharan Africa,4,1,1,1,1,0,14
BFA,Burkina Faso,Sub-Saharan Africa,5,1,1,1,1,0,14
BFA,Burkina Faso,Sub-Saharan Africa,6,1,1,1,1,0,14
BFA,Burkina Faso,Sub-Saharan Africa,7,1,1,1,1,0,14
BFA,Burkina Faso,Sub-Saharan Africa,8,1,1,1,1,0,13
BFA,Burkina Faso,Sub-Saharan Africa,9,1,1,1,1,0,11
BFA,Burkina Faso,Sub-Saharan Africa,10,1,1,1,1,0,10
BFA,Burkina Faso,Sub-Saharan Africa,11,1,1,1,1,0,9
BFA,Burkina Faso,Sub-Saharan Africa,12,1,1,1,1,0,8
BGD,Bangladesh,South Asia,1,1,1,1,1,NA,1
BGD,Bangladesh,South Asia,2,1,1,1,1,0,15
BGD,Bangladesh,South Asia,3,1,1,1,1,0,13
BGD,Bangladesh,South Asia,4,1,1,1,1,0,14
BGD,Bangladesh,South Asia,5,1,1,1,1,0,14
BGD,Bangladesh,South Asia,6,1,1,1,1,0,14
BGD,Bangladesh,South Asia,7,1,1,1,1,0,14
BGD,Bangladesh,South Asia,8,1,1,1,1,0,14
BGD,Bangladesh,South Asia,9,1,1,1,1,0,14
BGD,Bangladesh,South Asia,10,1,1,1,1,0,14
BGD,Bangladesh,South Asia,11,1,1,1,1,0,14
BGD,Bangladesh,South Asia,12,1,1,1,1,0,14
BHS,Bahamas,Caribbean,8,1,1,1,1,NA,1
BHS,Bahamas,Caribbean,9,1,1,1,1,0,3
BHS,Bahamas,Caribbean,10,1,1,1,1,0,4
BHS,Bahamas,Caribbean,11,1,1,1,1,0,5
BHS,Bahamas,Caribbean,12,1,1,1,1,0,6
BLM,Saint Barthélemy,Caribbean,2,1.54,1,1,3.5,1.0362324921453574,10
BLM,Saint Barthélemy,Caribbean,3,1,1,1,1,0,11
BLM,Saint Barthélemy,Caribbean,4,1,1,1,1,0,11
BLM,Saint Barthélemy,Caribbean,5,1,1,1,1,0,11
BLM,Saint Barthélemy,Caribbean,6,1,1,1,1,0,12
BLM,Saint Barthélemy,Caribbean,7,1,1,1,1,0,12
BLM,Saint Barthélemy,Caribbean,8,1,1,1,1,0,10
BLM,Saint Barthélemy,Caribbean,9,1,1,1,1,0,11
BLM,Saint Barthélemy,Caribbean,10,1,1,1,1,0,14
BLM,Saint Barthélemy,Caribbean,11,1,1,1,1,0,14
BLM,Saint Barthélemy,Caribbean,12,1,1,1,1,0,14
BLZ,Belize,North & Central America,1,1.1746031746031746,1.1746031746031746,1.1746031746031746,1.1746031746031746,NA,1
BLZ,Belize,North & Central America,2,1.2977772739318651,1.0945945945945945,0.0885286783042394,2.85,0.9418360440410722,9
BLZ,Belize,North & Central America,3,0.9208458772497636,1.0048076923076923,0.0885286783042394,2.25,0.6080550719849528,12
BLZ,Belize,North & Central America,4,0.8906928720070896,1,0.0775716694772344,2.25,0.5697100906649338,13
BLZ,Belize,North & Central America,5,0.7474063517787922,1,0.0663265306122449,1,0.43262629774459016,11
BLZ,Belize,North & Central America,6,0.8023522580540374,1,0.0663265306122449,1,0.39282861414281106,14
BLZ,Belize,North & Central America,7,0.8050583548799372,1,0.07025986525505294,1,0.3874356182538354,14
BLZ,Belize,North & Central America,8,0.8671799807507219,1,0.07025986525505294,1,0.3376225966649065,14
BLZ,Belize,North & Central America,9,1,1,1,1,0,14
BLZ,Belize,North & Central America,10,1,1,1,1,0,14
BLZ,Belize,North & Central America,11,1,1,1,1,0,14
BLZ,Belize,North & Central America,12,1,1,1,1,0,14
BMU,Bermuda,Caribbean,3,1,1,1,1,0,2
BMU,Bermuda,Caribbean,4,1,1,1,1,0,2
BMU,Bermuda,Caribbean,5,1,1,1,1,0,5
BMU,Bermuda,Caribbean,6,1,1,1,1,NA,1
BMU,Bermuda,Caribbean,7,1,1,1,1,NA,1
BMU,Bermuda,Caribbean,8,1,1,1,1,NA,1
BMU,Bermuda,Caribbean,9,1,1,1,1,0,3
BMU,Bermuda,Caribbean,12,1,1,1,1,NA,1
BOL,Bolivia (Plurinational State of),South America,1,1.2496383550320314,1.2496383550320314,1.2496383550320314,1.2496383550320314,NA,1
BOL,Bolivia (Plurinational State of),South America,2,1.950300564523124,1.4405857740585775,1.0144186046511627,4.788617886178862,1.3492852239216193,12
BOL,Bolivia (Plurinational State of),South America,3,1.2533893435419075,1.2549407114624507,1.0144372421921037,1.5151324085750315,0.1487607142336886,13
BOL,Bolivia (Plurinational State of),South America,4,1.2216839283553078,1.2549407114624507,1.012280279316157,1.3698273053111762,0.08812471271465515,14
BOL,Bolivia (Plurinational State of),South America,5,1.209887637969867,1.188136188136188,1.1098526500989663,1.2945823927765236,0.06499098009508103,14
BOL,Bolivia (Plurinational State of),South America,6,1.1949116026213158,1.1631338501938984,1.1098526500989663,1.2945823927765236,0.07537696025376138,14
BOL,Bolivia (Plurinational State of),South America,7,1.2012018232457091,1.1774842044801839,1.1098526500989663,1.2945823927765236,0.06528754109755422,14
BOL,Bolivia (Plurinational State of),South America,8,1.1990832571202623,1.2549407114624507,1,1.2945823927765236,0.08783224448459905,14
BOL,Bolivia (Plurinational State of),South America,9,1.1687879051374916,1.1435267857142857,1,1.2945823927765236,0.11473613875498585,14
BOL,Bolivia (Plurinational State of),South America,10,1.1454022325022932,1.1369455976382117,1,1.2945823927765236,0.11742081623510761,14
BOL,Bolivia (Plurinational State of),South America,11,1.12134789627918,1.1369455976382117,1,1.2587742273441593,0.10741083875837394,14
BOL,Bolivia (Plurinational State of),South America,12,1.1022353607009205,1.1222265893793777,1,1.2564746300211416,0.10352361561034594,14
BRA,Brazil,South America,1,1.575781983357994,1.575781983357994,1.575781983357994,1.575781983357994,NA,1
BRA,Brazil,South America,2,1.4345236252561837,1.1737368527694376,1.0780307006656675,2.7169761177081697,0.5435314842817243,15
BRA,Brazil,South America,3,1.0735112166292675,1.0515788812160822,1.0248590768650203,1.191429553634278,0.05812129989928736,13
BRA,Brazil,South America,4,1.03887930459679,1.0292028639981408,1.0014556340590905,1.1003392873785331,0.031233422995900022,14
BRA,Brazil,South America,5,1.0220274863615266,1.0238881992113333,1.0002125879496921,1.0560214303986726,0.020005097747260954,14
BRA,Brazil,South America,6,1.0132099784639825,1.0175465257419318,0.9990836766875815,1.0254364958379614,0.011688075427679322,14
BRA,Brazil,South America,7,1.005860294538798,1.0058117939557996,0.9929688942659747,1.017109340062608,0.00841869597203947,14
BRA,Brazil,South America,8,0.9908248042086716,1.002367916140203,0.8257206944053775,1.0122659769993938,0.048033349412054255,14
BRA,Brazil,South America,9,0.977043276834192,1.000260313581469,0.8257206944053775,1.0097285521109831,0.06434174890748405,14
BRA,Brazil,South America,10,1.000577139482269,1.0005204695792205,0.9923496433185061,1.0046845874487742,0.0037175162248576804,14
BRA,Brazil,South America,11,0.9996025158647777,1.0001163993792033,0.9927483129755881,1.0036168075172862,0.003955994297301622,14
BRA,Brazil,South America,12,0.99914740336811525,1,0.9927931506919084,1.0011927089568453,0.0027690979219975515,14
BRB,Barbados,Caribbean,1,1.5,1.5,1.5,1.5,NA,1
BRB,Barbados,Caribbean,2,1.5235519872134407,1.0909090909090908,0.01839926402943882,3,1.1076777253764223,7
BRB,Barbados,Caribbean,3,0.9057984231857277,1,0.01839926402943882,1.5714285714285714,0.5004637139146241,11
BRB,Barbados,Caribbean,4,0.9715356808140313,1,0.5154639175257731,1.5714285714285714,0.2514743397109218,11
BRB,Barbados,Caribbean,5,0.9464761291114384,1,0.5154639175257731,1.5714285714285714,0.27030225006949865,12
BRB,Barbados,Caribbean,6,1.0253811120299718,1,0.5319148936170213,1.5714285714285714,0.26429021297657634,14
BRB,Barbados,Caribbean,7,0.9203719980689208,1,0.5319148936170213,1,0.14774297035082296,14
BRB,Barbados,Caribbean,8,0.8845565240157865,0.9837092731829573,0.5319148936170213,1,0.1601744483391533,14
BRB,Barbados,Caribbean,9,0.9032030657489654,1,0.5319148936170213,1,0.17968016493712574,14
BRB,Barbados,Caribbean,10,0.9659817436274651,1,0.670863309352518,1,0.08759633846602032,14
BRB,Barbados,Caribbean,11,0.9718357430060248,1,0.670863309352518,1,0.08741981299976428,14
BRB,Barbados,Caribbean,12,0.9529804727646455,1,0.670863309352518,1,0.11952155231481026,14
