"","country","iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion","date","Year","cases","source","Data_status","Predicted_total_seasonal_cases","cum_todate_cases_calendar","cum_todate_cases_season","Data_process","percentile_most_recent","Country","Region"
"33","Malaysia","MYS",10,1,2.18444004638585,6213.61538461537,6213.61538461538,6213.61538461538,0.0888689985368152,0.0888689985368152,2024-10-01,2024,7740,"WHO","Observed",87094,111250,7740,"Observed",99.9999999997228,"Malaysia","East Asia & Pacific"
"34","Maldives","MDV",10,1,3.1008072585043,76.2727272727273,76.2727272727273,76.2727272727273,0.0648045795789602,0.0648045795789602,2024-10-01,2024,117,"SEARO","Observed",1805,3054,117,"Observed",100,"Maldives","South Asia"
"35","Sri Lanka","LKA",10,1,3.75866686368288,3782.22222222223,3782.22222222222,3782.22222222222,0.0676139599885076,0.0676139599885076,2024-10-01,2024,2964,"SEARO","Observed",43837,42775,2964,"Observed",99.9999999999999,"Sri Lanka","South Asia"
"36","Bahamas","BHS",11,1,0.225086219390672,37,37,37,0.118797021728711,0.118797021728711,2024-11-01,2024,3523,"WHO","Unobserved",29656,6399,3523,"Estimates",100,"Bahamas","Latin America & Caribbean"
"37","British Virgin Islands","VGB",11,1,0.388838792017547,19.6666666666667,19.6666666666667,19.6666666666667,0.173210505667043,0.173210505667043,2024-11-01,2024,52,"WHO","Observed",300,4776,52,"Observed",99.9623104267302,"British Virgin Islands","Latin America & Caribbean"
"38","Nicaragua","NIC",11,1,0.760633878654408,4533.5,4533.5,4533.5,0.0467075862105624,0.0467075862105624,2024-11-01,2024,8261,"PAHO","Observed",176866,85274,8261,"Observed",99.9999999999953,"Nicaragua","Latin America & Caribbean"
"39","Pakistan","PAK",11,1,0.511842160329631,146.923076923077,146.923076923077,146.923076923077,0.0204285693103378,0.0204285693103378,2024-11-01,2024,7661,"WHO","Observed",375014,53741,7661,"Observed",100,"Pakistan","South Asia"
"40","Singapore","SGP",11,1,1.56691284103138,780.785714285714,780.785714285714,780.785714285714,0.0806331878547778,0.0806331878547778,2024-11-01,2024,426,"WHO","Observed",5283,13260,426,"Observed",99.9887148418989,"Singapore","East Asia & Pacific"
"41","Bangladesh","BGD",12,1,0.0827814045936348,158.111111111111,158.111111111111,158.111111111111,0.0415556447816218,0.0415556447816218,2024-12-01,2024,9745,"SEARO","Observed",234505,101214,9745,"Observed",100,"Bangladesh","South Asia"
"42","Barbados","BRB",12,1,3.56294983094164,69.25,69.25,69.25,0.0755947008554624,0.0755947008554624,2024-12-01,2024,16,"PAHO","Observed",212,1133,16,"Observed",99.6626145948086,"Barbados","Latin America & Caribbean"
"43","Belize","BLZ",12,1,2.15287991334178,194.615384615385,194.615384615385,194.615384615385,0.0624976827019581,0.0624976827019581,2024-12-01,2024,0,"PAHO","Unobserved",0,1148,0,"Estimates",0.00600263436266157,"Belize","Latin America & Caribbean"
"44","China","CHN",12,1,329964.027342983,18.5,18.5,18.5,0.0262039660056657,0.0262039660056657,2024-12-01,2024,442,"WHO","Observed",16868,24330,442,"Observed",100,"China","East Asia & Pacific"
"45","Costa Rica","CRI",12,1,4.47191223653713,719.999999999998,720,720,0.0479920646652872,0.0479920646652872,2024-12-01,2024,974,"PAHO","Observed",20295,31259,974,"Observed",100,"Costa Rica","Latin America & Caribbean"
"46","Dominican Republic","DOM",12,1,0.898823876364014,417.833333333333,417.833333333333,417.833333333333,0.0777289772697832,0.0777289772697832,2024-12-01,2024,199,"PAHO","Observed",2560,10300,199,"Observed",99.6844613266064,"Dominican Republic","Latin America & Caribbean"
