date,country,iso3,cases,Year,Month,Month.Year
2023-03-01,Côte d'Ivoire,CIV,66,2023,3,3-2023
2023-03-01,Mauritania,MRT,324,2023,3,3-2023
2023-03-01,Seychelles,SYC,578,2023,3,3-2023
2023-03-01,Canada,CAN,0,2023,3,3-2023
2023-04-01,Côte d'Ivoire,CIV,41,2023,4,4-2023
2023-04-01,Ethiopia,ETH,1379,2023,4,4-2023
2023-04-01,Mauritania,MRT,323,2023,4,4-2023
2023-04-01,Sao Tome and Principe,STP,1685,2023,4,4-2023
2023-04-01,Seychelles,SYC,292,2023,4,4-2023
2023-04-01,Canada,CAN,0,2023,4,4-2023
2023-05-01,Côte d'Ivoire,CIV,55,2023,5,5-2023
2023-05-01,Ethiopia,ETH,2721,2023,5,5-2023
2023-05-01,Mauritania,MRT,295,2023,5,5-2023
2023-05-01,Sao Tome and Principe,STP,181,2023,5,5-2023
2023-05-01,Seychelles,SYC,202,2023,5,5-2023
2023-05-01,Canada,CAN,0,2023,5,5-2023
2023-06-01,Côte d'Ivoire,CIV,121,2023,6,6-2023
2023-06-01,Ethiopia,ETH,4155,2023,6,6-2023
2023-06-01,Mauritania,MRT,120,2023,6,6-2023
2023-06-01,Sao Tome and Principe,STP,649,2023,6,6-2023
2023-06-01,Seychelles,SYC,265,2023,6,6-2023
2023-06-01,Canada,CAN,0,2023,6,6-2023
2023-07-01,Côte d'Ivoire,CIV,841,2023,7,7-2023
2023-07-01,Ethiopia,ETH,1176,2023,7,7-2023
2023-07-01,Mauritania,MRT,138,2023,7,7-2023
2023-07-01,Sao Tome and Principe,STP,112,2023,7,7-2023
2023-07-01,Seychelles,SYC,260,2023,7,7-2023
2023-07-01,Canada,CAN,0,2023,7,7-2023
2023-08-01,Côte d'Ivoire,CIV,1842,2023,8,8-2023
2023-08-01,Ethiopia,ETH,789,2023,8,8-2023
2023-08-01,Mauritania,MRT,164,2023,8,8-2023
2023-08-01,Sao Tome and Principe,STP,85,2023,8,8-2023
2023-08-01,Seychelles,SYC,286,2023,8,8-2023
2023-08-01,Canada,CAN,0,2023,8,8-2023
2023-09-01,Côte d'Ivoire,CIV,550,2023,9,9-2023
2023-09-01,Ethiopia,ETH,640,2023,9,9-2023
2023-09-01,Mauritania,MRT,279,2023,9,9-2023
2023-09-01,Sao Tome and Principe,STP,29,2023,9,9-2023
2023-09-01,Seychelles,SYC,318,2023,9,9-2023
2023-09-01,Togo,TGO,2,2023,9,9-2023
2023-09-01,Canada,CAN,0,2023,9,9-2023
2023-10-01,Côte d'Ivoire,CIV,117,2023,10,10-2023
2023-10-01,Ethiopia,ETH,7264,2023,10,10-2023
2023-10-01,Mauritania,MRT,383,2023,10,10-2023
2023-10-01,Sao Tome and Principe,STP,23,2023,10,10-2023
2023-10-01,Seychelles,SYC,458,2023,10,10-2023
2023-10-01,Togo,TGO,12,2023,10,10-2023
2023-10-01,Canada,CAN,0,2023,10,10-2023
2023-11-01,Cabo Verde,CPV,221,2023,11,11-2023
2023-11-01,Côte d'Ivoire,CIV,61,2023,11,11-2023
2023-11-01,Ethiopia,ETH,5982,2023,11,11-2023
2023-11-01,Mauritania,MRT,407,2023,11,11-2023
2023-11-01,Sao Tome and Principe,STP,30,2023,11,11-2023
2023-11-01,Seychelles,SYC,686,2023,11,11-2023
2023-11-01,Togo,TGO,21,2023,11,11-2023
2023-11-01,Canada,CAN,0,2023,11,11-2023
2023-12-01,Cabo Verde,CPV,292,2023,12,12-2023
2023-12-01,Côte d'Ivoire,CIV,19,2023,12,12-2023
2023-12-01,Ethiopia,ETH,1833,2023,12,12-2023
2023-12-01,Mauritania,MRT,162,2023,12,12-2023
2023-12-01,Mauritius,MUS,13,2023,12,12-2023
2023-12-01,Sao Tome and Principe,STP,21,2023,12,12-2023
2023-12-01,Seychelles,SYC,191,2023,12,12-2023
2023-12-01,Togo,TGO,20,2023,12,12-2023
2023-12-01,Canada,CAN,0,2023,12,12-2023
2024-01-01,Angola,AGO,0,2024,1,1-2024
2024-01-01,Benin,BEN,3,2024,1,1-2024
2024-01-01,Burkina Faso,BFA,6729,2024,1,1-2024
2024-01-01,Burundi,BDI,0,2024,1,1-2024
2024-01-01,Cabo Verde,CPV,262,2024,1,1-2024
2024-01-01,Cameroon,CMR,2,2024,1,1-2024
2024-01-01,Central African Republic,CAF,0,2024,1,1-2024
2024-01-01,Chad,TCD,0,2024,1,1-2024
2024-01-01,Congo,COG,0,2024,1,1-2024
2024-01-01,Côte d'Ivoire,CIV,115,2024,1,1-2024
2024-01-01,Eritrea,ERI,2583,2024,1,1-2024
2024-01-01,Ethiopia,ETH,505,2024,1,1-2024
2024-01-01,Gabon,GAB,0,2024,1,1-2024
2024-01-01,Gambia,GMB,0,2024,1,1-2024
2024-01-01,Ghana,GHA,1,2024,1,1-2024
2024-01-01,Guinea,GIN,0,2024,1,1-2024
2024-01-01,Guinea-Bissau,GNB,0,2024,1,1-2024
2024-01-01,Kenya,KEN,0,2024,1,1-2024
2024-01-01,Liberia,LBR,1,2024,1,1-2024
2024-01-01,Madagascar,MDG,0,2024,1,1-2024
2024-01-01,Malawi,MWI,0,2024,1,1-2024
2024-01-01,Mali,MLI,576,2024,1,1-2024
2024-01-01,Mauritania,MRT,513,2024,1,1-2024
2024-01-01,Mauritius,MUS,231,2024,1,1-2024
2024-01-01,Mozambique,MOZ,0,2024,1,1-2024
2024-01-01,Namibia,NAM,0,2024,1,1-2024
2024-01-01,Niger,NER,13,2024,1,1-2024
2024-01-01,Rwanda,RWA,0,2024,1,1-2024
2024-01-01,Sao Tome and Principe,STP,4,2024,1,1-2024
2024-01-01,Senegal,SEN,57,2024,1,1-2024
2024-01-01,Seychelles,SYC,268,2024,1,1-2024
2024-01-01,Sierra Leone,SLE,0,2024,1,1-2024
2024-01-01,South Sudan,SSD,0,2024,1,1-2024
2024-01-01,Togo,TGO,0,2024,1,1-2024
2024-01-01,Uganda,UGA,0,2024,1,1-2024
2024-01-01,United Republic of Tanzania,TZA,4,2024,1,1-2024
2024-01-01,Zambia,ZMB,0,2024,1,1-2024
2024-01-01,Zimbabwe,ZWE,0,2024,1,1-2024
2024-01-01,Canada,CAN,0,2024,1,1-2024
2024-01-01,Albania,ALB,0,2024,1,1-2024
2024-01-01,Andorra,AND,0,2024,1,1-2024
2024-01-01,Armenia,ARM,0,2024,1,1-2024
2024-01-01,Austria,AUT,0,2024,1,1-2024
2024-01-01,Azerbaijan,AZE,0,2024,1,1-2024
2024-01-01,Belarus,BLR,0,2024,1,1-2024
2024-01-01,Belgium,BEL,0,2024,1,1-2024
2024-01-01,Bosnia and Herzegovina,BIH,0,2024,1,1-2024
2024-01-01,Bulgaria,BGR,0,2024,1,1-2024
2024-01-01,Croatia,HRV,0,2024,1,1-2024
2024-01-01,Cyprus,CYP,0,2024,1,1-2024
2024-01-01,Czechia,CZE,0,2024,1,1-2024
2024-01-01,Denmark,DNK,0,2024,1,1-2024
2024-01-01,Estonia,EST,0,2024,1,1-2024
2024-01-01,Finland,FIN,0,2024,1,1-2024
2024-01-01,France,FRA,0,2024,1,1-2024
2024-01-01,Georgia,GEO,0,2024,1,1-2024
2024-01-01,Germany,DEU,0,2024,1,1-2024
2024-01-01,Greece,GRC,0,2024,1,1-2024
2024-01-01,Holy See,VAT,0,2024,1,1-2024
2024-01-01,Hungary,HUN,0,2024,1,1-2024
2024-01-01,Iceland,ISL,0,2024,1,1-2024
2024-01-01,Ireland,IRL,0,2024,1,1-2024
2024-01-01,Israel,ISR,0,2024,1,1-2024
2024-01-01,Italy,ITA,0,2024,1,1-2024
2024-01-01,Kazakhstan,KAZ,0,2024,1,1-2024
2024-01-01,Kyrgyzstan,KGZ,0,2024,1,1-2024
2024-01-01,Latvia,LVA,0,2024,1,1-2024
2024-01-01,Liechtenstein,LIE,0,2024,1,1-2024
2024-01-01,Lithuania,LTU,0,2024,1,1-2024
2024-01-01,Luxembourg,LUX,0,2024,1,1-2024
2024-01-01,Malta,MLT,0,2024,1,1-2024
2024-01-01,Mayotte,MYT,0,2024,1,1-2024
2024-01-01,Monaco,MCO,0,2024,1,1-2024
2024-01-01,Montenegro,MNE,0,2024,1,1-2024
2024-01-01,Netherlands (Kingdom of the),NLD,0,2024,1,1-2024
2024-01-01,North Macedonia,MKD,0,2024,1,1-2024
2024-01-01,Norway,NOR,0,2024,1,1-2024
2024-01-01,Poland,POL,0,2024,1,1-2024
2024-01-01,Portugal,PRT,0,2024,1,1-2024
2024-01-01,Republic of Moldova,MDA,0,2024,1,1-2024
2024-01-01,Romania,ROU,0,2024,1,1-2024
2024-01-01,Russian Federation,RUS,0,2024,1,1-2024
2024-01-01,Réunion,REU,36,2024,1,1-2024
2024-01-01,San Marino,SMR,0,2024,1,1-2024
2024-01-01,Serbia,SRB,0,2024,1,1-2024
2024-01-01,Slovakia,SVK,0,2024,1,1-2024
2024-01-01,Slovenia,SVN,0,2024,1,1-2024
2024-01-01,Spain,ESP,0,2024,1,1-2024
2024-01-01,Sweden,SWE,0,2024,1,1-2024
2024-01-01,Switzerland,CHE,0,2024,1,1-2024
2024-01-01,Tajikistan,TJK,0,2024,1,1-2024
2024-01-01,Turkmenistan,TKM,0,2024,1,1-2024
2024-01-01,Türkiye,TUR,0,2024,1,1-2024
2024-01-01,Ukraine,UKR,0,2024,1,1-2024
2024-01-01,United Kingdom of Great Britain and Northern Ireland,GBR,0,2024,1,1-2024
2024-01-01,Uzbekistan,UZB,0,2024,1,1-2024
2024-02-01,Angola,AGO,0,2024,2,2-2024
2024-02-01,Benin,BEN,1,2024,2,2-2024
2024-02-01,Burkina Faso,BFA,5067,2024,2,2-2024
2024-02-01,Burundi,BDI,0,2024,2,2-2024
2024-02-01,Cabo Verde,CPV,282,2024,2,2-2024
2024-02-01,Cameroon,CMR,55,2024,2,2-2024
2024-02-01,Central African Republic,CAF,0,2024,2,2-2024
2024-02-01,Chad,TCD,0,2024,2,2-2024
2024-02-01,Congo,COG,0,2024,2,2-2024
2024-02-01,Côte d'Ivoire,CIV,77,2024,2,2-2024
2024-02-01,Eritrea,ERI,2186,2024,2,2-2024
2024-02-01,Ethiopia,ETH,168,2024,2,2-2024
2024-02-01,Gabon,GAB,0,2024,2,2-2024
2024-02-01,Gambia,GMB,0,2024,2,2-2024
2024-02-01,Ghana,GHA,0,2024,2,2-2024
2024-02-01,Guinea,GIN,0,2024,2,2-2024
2024-02-01,Guinea-Bissau,GNB,0,2024,2,2-2024
2024-02-01,Kenya,KEN,0,2024,2,2-2024
2024-02-01,Liberia,LBR,8,2024,2,2-2024
2024-02-01,Madagascar,MDG,0,2024,2,2-2024
2024-02-01,Malawi,MWI,0,2024,2,2-2024
2024-02-01,Mali,MLI,1067,2024,2,2-2024
2024-02-01,Mauritania,MRT,407,2024,2,2-2024
2024-02-01,Mauritius,MUS,3239,2024,2,2-2024
2024-02-01,Mozambique,MOZ,0,2024,2,2-2024
2024-02-01,Namibia,NAM,0,2024,2,2-2024
2024-02-01,Niger,NER,12,2024,2,2-2024
2024-02-01,Rwanda,RWA,0,2024,2,2-2024
2024-02-01,Sao Tome and Principe,STP,0,2024,2,2-2024
2024-02-01,Senegal,SEN,67,2024,2,2-2024
2024-02-01,Seychelles,SYC,355,2024,2,2-2024
2024-02-01,Sierra Leone,SLE,0,2024,2,2-2024
2024-02-01,South Sudan,SSD,0,2024,2,2-2024
2024-02-01,Togo,TGO,0,2024,2,2-2024
2024-02-01,Uganda,UGA,0,2024,2,2-2024
2024-02-01,United Republic of Tanzania,TZA,4,2024,2,2-2024
2024-02-01,Zambia,ZMB,0,2024,2,2-2024
2024-02-01,Zimbabwe,ZWE,0,2024,2,2-2024
2024-02-01,Canada,CAN,0,2024,2,2-2024
2024-02-01,Albania,ALB,0,2024,2,2-2024
2024-02-01,Andorra,AND,0,2024,2,2-2024
2024-02-01,Armenia,ARM,0,2024,2,2-2024
2024-02-01,Austria,AUT,0,2024,2,2-2024
2024-02-01,Azerbaijan,AZE,0,2024,2,2-2024
2024-02-01,Belarus,BLR,0,2024,2,2-2024
2024-02-01,Belgium,BEL,0,2024,2,2-2024
2024-02-01,Bosnia and Herzegovina,BIH,0,2024,2,2-2024
2024-02-01,Bulgaria,BGR,0,2024,2,2-2024
