date,country,iso3,cases,Month,Year,Month.Year
2022-01-01,Antigua & Barbuda,ATG,0,1,2022,1-2022
2022-02-01,Antigua & Barbuda,ATG,0,2,2022,2-2022
2022-03-01,Antigua & Barbuda,ATG,0,3,2022,3-2022
2022-04-01,Antigua & Barbuda,ATG,0,4,2022,4-2022
2022-05-01,Antigua & Barbuda,ATG,0,5,2022,5-2022
2022-06-01,Antigua & Barbuda,ATG,0,6,2022,6-2022
2022-07-01,Antigua & Barbuda,ATG,0,7,2022,7-2022
2022-08-01,Antigua & Barbuda,ATG,0,8,2022,8-2022
2022-09-01,Antigua & Barbuda,ATG,0,9,2022,9-2022
2022-10-01,Antigua & Barbuda,ATG,0,10,2022,10-2022
2022-11-01,Antigua & Barbuda,ATG,0,11,2022,11-2022
2010-01-01,Australia,AUS,48,1,2010,1-2010
2010-02-01,Australia,AUS,59,2,2010,2-2010
2010-03-01,Australia,AUS,56,3,2010,3-2010
2010-04-01,Australia,AUS,70,4,2010,4-2010
2010-05-01,Australia,AUS,90,5,2010,5-2010
2010-06-01,Australia,AUS,114,6,2010,6-2010
2010-07-01,Australia,AUS,142,7,2010,7-2010
2010-08-01,Australia,AUS,88,8,2010,8-2010
2010-09-01,Australia,AUS,93,9,2010,9-2010
2010-10-01,Australia,AUS,146,10,2010,10-2010
2010-11-01,Australia,AUS,172,11,2010,11-2010
2010-12-01,Australia,AUS,150,12,2010,12-2010
2011-01-01,Australia,AUS,163,1,2011,1-2011
2011-02-01,Australia,AUS,142,2,2011,2-2011
2011-03-01,Australia,AUS,63,3,2011,3-2011
2011-04-01,Australia,AUS,45,4,2011,4-2011
2011-05-01,Australia,AUS,39,5,2011,5-2011
2011-06-01,Australia,AUS,37,6,2011,6-2011
2011-07-01,Australia,AUS,49,7,2011,7-2011
2011-08-01,Australia,AUS,33,8,2011,8-2011
2011-09-01,Australia,AUS,34,9,2011,9-2011
2011-10-01,Australia,AUS,35,10,2011,10-2011
2011-11-01,Australia,AUS,58,11,2011,11-2011
2011-12-01,Australia,AUS,123,12,2011,12-2011
2012-01-01,Australia,AUS,263,1,2012,1-2012
2012-02-01,Australia,AUS,217,2,2012,2-2012
2012-03-01,Australia,AUS,212,3,2012,3-2012
2012-04-01,Australia,AUS,185,4,2012,4-2012
2012-05-01,Australia,AUS,138,5,2012,5-2012
2012-06-01,Australia,AUS,95,6,2012,6-2012
2012-07-01,Australia,AUS,72,7,2012,7-2012
2012-08-01,Australia,AUS,82,8,2012,8-2012
2012-09-01,Australia,AUS,47,9,2012,9-2012
2012-10-01,Australia,AUS,81,10,2012,10-2012
2012-11-01,Australia,AUS,60,11,2012,11-2012
2012-12-01,Australia,AUS,87,12,2012,12-2012
2016-01-01,Australia,AUS,237,1,2016,1-2016
2016-02-01,Australia,AUS,197,2,2016,2-2016
2016-03-01,Australia,AUS,316,3,2016,3-2016
2016-04-01,Australia,AUS,305,4,2016,4-2016
2016-05-01,Australia,AUS,208,5,2016,5-2016
2016-06-01,Australia,AUS,195,6,2016,6-2016
2016-07-01,Australia,AUS,195,7,2016,7-2016
2016-08-01,Australia,AUS,141,8,2016,8-2016
2016-09-01,Australia,AUS,103,9,2016,9-2016
2016-10-01,Australia,AUS,122,10,2016,10-2016
2016-11-01,Australia,AUS,113,11,2016,11-2016
2016-12-01,Australia,AUS,107,12,2016,12-2016
2017-01-01,Australia,AUS,189,1,2017,1-2017
2017-02-01,Australia,AUS,134,2,2017,2-2017
2017-03-01,Australia,AUS,99,3,2017,3-2017
2017-04-01,Australia,AUS,90,4,2017,4-2017
2017-05-01,Australia,AUS,80,5,2017,5-2017
2017-06-01,Australia,AUS,72,6,2017,6-2017
2017-07-01,Australia,AUS,90,7,2017,7-2017
2017-08-01,Australia,AUS,57,8,2017,8-2017
2017-09-01,Australia,AUS,53,9,2017,9-2017
2017-10-01,Australia,AUS,119,10,2017,10-2017
2017-11-01,Australia,AUS,76,11,2017,11-2017
2017-12-01,Australia,AUS,76,12,2017,12-2017
2018-01-01,Australia,AUS,156,1,2018,1-2018
2018-02-01,Australia,AUS,45,2,2018,2-2018
2018-03-01,Australia,AUS,57,3,2018,3-2018
2018-04-01,Australia,AUS,50,4,2018,4-2018
2018-05-01,Australia,AUS,77,5,2018,5-2018
2018-06-01,Australia,AUS,73,6,2018,6-2018
2018-07-01,Australia,AUS,86,7,2018,7-2018
2018-08-01,Australia,AUS,48,8,2018,8-2018
2018-09-01,Australia,AUS,44,9,2018,9-2018
2018-10-01,Australia,AUS,104,10,2018,10-2018
2018-11-01,Australia,AUS,99,11,2018,11-2018
2018-12-01,Australia,AUS,94,12,2018,12-2018
2019-01-01,Australia,AUS,158,1,2019,1-2019
2019-02-01,Australia,AUS,134,2,2019,2-2019
2019-03-01,Australia,AUS,124,3,2019,3-2019
2019-04-01,Australia,AUS,139,4,2019,4-2019
2019-05-01,Australia,AUS,179,5,2019,5-2019
2019-06-01,Australia,AUS,121,6,2019,6-2019
2019-07-01,Australia,AUS,151,7,2019,7-2019
2019-08-01,Australia,AUS,96,8,2019,8-2019
2019-09-01,Australia,AUS,83,9,2019,9-2019
2019-10-01,Australia,AUS,103,10,2019,10-2019
2019-11-01,Australia,AUS,108,11,2019,11-2019
2019-12-01,Australia,AUS,73,12,2019,12-2019
2020-01-01,Australia,AUS,73,1,2020,1-2020
2020-02-01,Australia,AUS,58,2,2020,2-2020
2020-03-01,Australia,AUS,83,3,2020,3-2020
2020-04-01,Australia,AUS,6,4,2020,4-2020
2020-05-01,Australia,AUS,1,5,2020,5-2020
2020-06-01,Australia,AUS,1,6,2020,6-2020
2020-07-01,Australia,AUS,1,7,2020,7-2020
2020-08-01,Australia,AUS,0,8,2020,8-2020
2020-09-01,Australia,AUS,0,9,2020,9-2020
2020-10-01,Australia,AUS,0,10,2020,10-2020
2020-11-01,Australia,AUS,1,11,2020,11-2020
2020-12-01,Australia,AUS,0,12,2020,12-2020
2021-01-01,Australia,AUS,0,1,2021,1-2021
2021-02-01,Australia,AUS,0,2,2021,2-2021
2021-03-01,Australia,AUS,0,3,2021,3-2021
2021-04-01,Australia,AUS,1,4,2021,4-2021
2021-05-01,Australia,AUS,1,5,2021,5-2021
2021-06-01,Australia,AUS,0,6,2021,6-2021
2021-07-01,Australia,AUS,1,7,2021,7-2021
2021-08-01,Australia,AUS,0,8,2021,8-2021
2021-09-01,Australia,AUS,0,9,2021,9-2021
2021-10-01,Australia,AUS,3,10,2021,10-2021
2021-11-01,Australia,AUS,3,11,2021,11-2021
2021-12-01,Australia,AUS,2,12,2021,12-2021
2022-01-01,Australia,AUS,3,1,2022,1-2022
2022-02-01,Australia,AUS,4,2,2022,2-2022
2022-03-01,Australia,AUS,11,3,2022,3-2022
2022-04-01,Australia,AUS,14,4,2022,4-2022
2022-05-01,Australia,AUS,25,5,2022,5-2022
2022-06-01,Australia,AUS,34,6,2022,6-2022
2022-07-01,Australia,AUS,51,7,2022,7-2022
2022-08-01,Australia,AUS,48,8,2022,8-2022
2022-09-01,Australia,AUS,80,9,2022,9-2022
2022-10-01,Australia,AUS,122,10,2022,10-2022
2022-11-01,Australia,AUS,85,11,2022,11-2022
2022-12-01,Australia,AUS,58,12,2022,12-2022
2010-01-01,Bangladesh,BGD,0,1,2010,1-2010
2010-02-01,Bangladesh,BGD,0,2,2010,2-2010
2010-03-01,Bangladesh,BGD,0,3,2010,3-2010
2010-04-01,Bangladesh,BGD,0,4,2010,4-2010
2010-05-01,Bangladesh,BGD,0,5,2010,5-2010
2010-06-01,Bangladesh,BGD,0,6,2010,6-2010
2010-07-01,Bangladesh,BGD,61,7,2010,7-2010
2010-08-01,Bangladesh,BGD,183,8,2010,8-2010
2010-09-01,Bangladesh,BGD,120,9,2010,9-2010
2010-10-01,Bangladesh,BGD,45,10,2010,10-2010
2010-11-01,Bangladesh,BGD,0,11,2010,11-2010
2010-12-01,Bangladesh,BGD,0,12,2010,12-2010
2011-01-01,Bangladesh,BGD,0,1,2011,1-2011
2011-02-01,Bangladesh,BGD,0,2,2011,2-2011
2011-03-01,Bangladesh,BGD,0,3,2011,3-2011
2011-04-01,Bangladesh,BGD,0,4,2011,4-2011
2011-05-01,Bangladesh,BGD,0,5,2011,5-2011
2011-06-01,Bangladesh,BGD,61,6,2011,6-2011
2011-07-01,Bangladesh,BGD,255,7,2011,7-2011
2011-08-01,Bangladesh,BGD,691,8,2011,8-2011
2011-09-01,Bangladesh,BGD,193,9,2011,9-2011
2011-10-01,Bangladesh,BGD,114,10,2011,10-2011
2011-11-01,Bangladesh,BGD,36,11,2011,11-2011
2011-12-01,Bangladesh,BGD,9,12,2011,12-2011
2012-01-01,Bangladesh,BGD,0,1,2012,1-2012
2012-02-01,Bangladesh,BGD,0,2,2012,2-2012
2012-03-01,Bangladesh,BGD,0,3,2012,3-2012
2012-04-01,Bangladesh,BGD,0,4,2012,4-2012
2012-05-01,Bangladesh,BGD,0,5,2012,5-2012
2012-06-01,Bangladesh,BGD,16,6,2012,6-2012
2012-07-01,Bangladesh,BGD,108,7,2012,7-2012
2012-08-01,Bangladesh,BGD,138,8,2012,8-2012
2012-09-01,Bangladesh,BGD,262,9,2012,9-2012
2012-10-01,Bangladesh,BGD,90,10,2012,10-2012
2012-11-01,Bangladesh,BGD,57,11,2012,11-2012
2012-12-01,Bangladesh,BGD,0,12,2012,12-2012
2013-01-01,Bangladesh,BGD,0,1,2013,1-2013
2013-02-01,Bangladesh,BGD,0,2,2013,2-2013
2013-03-01,Bangladesh,BGD,0,3,2013,3-2013
2013-04-01,Bangladesh,BGD,0,4,2013,4-2013
2013-05-01,Bangladesh,BGD,4,5,2013,5-2013
2013-06-01,Bangladesh,BGD,44,6,2013,6-2013
2013-07-01,Bangladesh,BGD,220,7,2013,7-2013
2013-08-01,Bangladesh,BGD,353,8,2013,8-2013
2013-09-01,Bangladesh,BGD,495,9,2013,9-2013
2013-10-01,Bangladesh,BGD,363,10,2013,10-2013
2013-11-01,Bangladesh,BGD,212,11,2013,11-2013
2013-12-01,Bangladesh,BGD,58,12,2013,12-2013
2014-01-01,Bangladesh,BGD,15,1,2014,1-2014
2014-02-01,Bangladesh,BGD,7,2,2014,2-2014
2014-03-01,Bangladesh,BGD,2,3,2014,3-2014
2014-04-01,Bangladesh,BGD,0,4,2014,4-2014
2014-05-01,Bangladesh,BGD,8,5,2014,5-2014
2014-06-01,Bangladesh,BGD,9,6,2014,6-2014
2014-07-01,Bangladesh,BGD,82,7,2014,7-2014
2014-08-01,Bangladesh,BGD,80,8,2014,8-2014
2014-09-01,Bangladesh,BGD,76,9,2014,9-2014
2014-10-01,Bangladesh,BGD,63,10,2014,10-2014
2014-11-01,Bangladesh,BGD,22,11,2014,11-2014
2014-12-01,Bangladesh,BGD,11,12,2014,12-2014
2015-01-01,Bangladesh,BGD,0,1,2015,1-2015
2015-02-01,Bangladesh,BGD,0,2,2015,2-2015
2015-03-01,Bangladesh,BGD,2,3,2015,3-2015
2015-04-01,Bangladesh,BGD,6,4,2015,4-2015
2015-05-01,Bangladesh,BGD,10,5,2015,5-2015
2015-06-01,Bangladesh,BGD,28,6,2015,6-2015
2015-07-01,Bangladesh,BGD,171,7,2015,7-2015
2015-08-01,Bangladesh,BGD,765,8,2015,8-2015
2015-09-01,Bangladesh,BGD,965,9,2015,9-2015
2015-10-01,Bangladesh,BGD,869,10,2015,10-2015
2015-11-01,Bangladesh,BGD,271,11,2015,11-2015
2015-12-01,Bangladesh,BGD,75,12,2015,12-2015
2016-01-01,Bangladesh,BGD,13,1,2016,1-2016
2016-02-01,Bangladesh,BGD,3,2,2016,2-2016
2016-03-01,Bangladesh,BGD,17,3,2016,3-2016
2016-04-01,Bangladesh,BGD,38,4,2016,4-2016
2016-05-01,Bangladesh,BGD,70,5,2016,5-2016
2016-06-01,Bangladesh,BGD,254,6,2016,6-2016
2016-07-01,Bangladesh,BGD,926,7,2016,7-2016
2016-08-01,Bangladesh,BGD,1451,8,2016,8-2016
2016-09-01,Bangladesh,BGD,1544,9,2016,9-2016
2016-10-01,Bangladesh,BGD,1077,10,2016,10-2016
2016-11-01,Bangladesh,BGD,522,11,2016,11-2016
2016-12-01,Bangladesh,BGD,145,12,2016,12-2016
2017-01-01,Bangladesh,BGD,92,1,2017,1-2017
2017-02-01,Bangladesh,BGD,58,2,2017,2-2017
2017-03-01,Bangladesh,BGD,36,3,2017,3-2017
2017-04-01,Bangladesh,BGD,73,4,2017,4-2017
2017-05-01,Bangladesh,BGD,134,5,2017,5-2017
2017-06-01,Bangladesh,BGD,267,6,2017,6-2017
2017-07-01,Bangladesh,BGD,286,7,2017,7-2017
2017-08-01,Bangladesh,BGD,346,8,2017,8-2017
2017-09-01,Bangladesh,BGD,430,9,2017,9-2017
2017-10-01,Bangladesh,BGD,512,10,2017,10-2017
2017-11-01,Bangladesh,BGD,409,11,2017,11-2017
2017-12-01,Bangladesh,BGD,126,12,2017,12-2017
2022-01-01,Bangladesh,BGD,126,1,2022,1-2022
2022-04-01,Bangladesh,BGD,23,4,2022,4-2022
2022-05-01,Bangladesh,BGD,163,5,2022,5-2022
2022-07-01,Bangladesh,BGD,1571,7,2022,7-2022
2022-08-01,Bangladesh,BGD,3521,8,2022,8-2022
2022-10-01,Bangladesh,BGD,21932,10,2022,10-2022
2022-11-01,Bangladesh,BGD,19334,11,2022,11-2022
2012-01-01,Brunei,BRN,8,1,2012,1-2012
2012-02-01,Brunei,BRN,11,2,2012,2-2012
2012-03-01,Brunei,BRN,25,3,2012,3-2012
2012-04-01,Brunei,BRN,11,4,2012,4-2012
2012-05-01,Brunei,BRN,8,5,2012,5-2012
2012-06-01,Brunei,BRN,6,6,2012,6-2012
2012-07-01,Brunei,BRN,9,7,2012,7-2012
2012-08-01,Brunei,BRN,13,8,2012,8-2012
2012-09-01,Brunei,BRN,32,9,2012,9-2012
2012-10-01,Brunei,BRN,34,10,2012,10-2012
2012-11-01,Brunei,BRN,65,11,2012,11-2012
2012-12-01,Brunei,BRN,68,12,2012,12-2012
2013-01-01,Brunei,BRN,53,1,2013,1-2013
2013-02-01,Brunei,BRN,44,2,2013,2-2013
2013-03-01,Brunei,BRN,31,3,2013,3-2013
2013-04-01,Brunei,BRN,32,4,2013,4-2013
2013-05-01,Brunei,BRN,44,5,2013,5-2013
2013-06-01,Brunei,BRN,37,6,2013,6-2013
2013-07-01,Brunei,BRN,39,7,2013,7-2013
2013-08-01,Brunei,BRN,42,8,2013,8-2013
2013-09-01,Brunei,BRN,17,9,2013,9-2013
2013-10-01,Brunei,BRN,17,10,2013,10-2013
2013-11-01,Brunei,BRN,32,11,2013,11-2013
2013-12-01,Brunei,BRN,21,12,2013,12-2013
2014-01-01,Brunei,BRN,15,1,2014,1-2014
2014-02-01,Brunei,BRN,5,2,2014,2-2014
2014-03-01,Brunei,BRN,11,3,2014,3-2014
2014-04-01,Brunei,BRN,6,4,2014,4-2014
2014-05-01,Brunei,BRN,13,5,2014,5-2014
2014-06-01,Brunei,BRN,16,6,2014,6-2014
2014-07-01,Brunei,BRN,52,7,2014,7-2014
2014-08-01,Brunei,BRN,73,8,2014,8-2014
2014-09-01,Brunei,BRN,61,9,2014,9-2014
2014-10-01,Brunei,BRN,90,10,2014,10-2014
2014-11-01,Brunei,BRN,40,11,2014,11-2014
2014-12-01,Brunei,BRN,54,12,2014,12-2014
2015-01-01,Brunei,BRN,56,1,2015,1-2015
2015-02-01,Brunei,BRN,26,2,2015,2-2015
2015-03-01,Brunei,BRN,20,3,2015,3-2015
2015-04-01,Brunei,BRN,30,4,2015,4-2015
2015-05-01,Brunei,BRN,29,5,2015,5-2015
2015-06-01,Brunei,BRN,22,6,2015,6-2015
2015-07-01,Brunei,BRN,21,7,2015,7-2015
2015-08-01,Brunei,BRN,25,8,2015,8-2015
2015-09-01,Brunei,BRN,30,9,2015,9-2015
2015-10-01,Brunei,BRN,26,10,2015,10-2015
2015-11-01,Brunei,BRN,17,11,2015,11-2015
2015-12-01,Brunei,BRN,15,12,2015,12-2015
2016-01-01,Brunei,BRN,8,1,2016,1-2016
2016-02-01,Brunei,BRN,5,2,2016,2-2016
2016-03-01,Brunei,BRN,5,3,2016,3-2016
2016-04-01,Brunei,BRN,11,4,2016,4-2016
2016-05-01,Brunei,BRN,6,5,2016,5-2016
2016-06-01,Brunei,BRN,3,6,2016,6-2016
2016-07-01,Brunei,BRN,6,7,2016,7-2016
2016-08-01,Brunei,BRN,12,8,2016,8-2016
2016-09-01,Brunei,BRN,6,9,2016,9-2016
2016-10-01,Brunei,BRN,6,10,2016,10-2016
2016-11-01,Brunei,BRN,7,11,2016,11-2016
2016-12-01,Brunei,BRN,9,12,2016,12-2016
2013-01-01,China,CHN,0,1,2013,1-2013
2013-02-01,China,CHN,0,2,2013,2-2013
2013-03-01,China,CHN,0,3,2013,3-2013
2013-04-01,China,CHN,0,4,2013,4-2013
2013-05-01,China,CHN,0,5,2013,5-2013
2013-06-01,China,CHN,0,6,2013,6-2013
2013-07-01,China,CHN,0,7,2013,7-2013
2013-08-01,China,CHN,993,8,2013,8-2013
2013-09-01,China,CHN,1490,9,2013,9-2013
2013-10-01,China,CHN,1490,10,2013,10-2013
2013-11-01,China,CHN,1180,11,2013,11-2013
2013-12-01,China,CHN,124,12,2013,12-2013
2014-01-01,China,CHN,0,1,2014,1-2014
2014-02-01,China,CHN,0,2,2014,2-2014
2014-03-01,China,CHN,0,3,2014,3-2014
2014-04-01,China,CHN,0,4,2014,4-2014
2014-05-01,China,CHN,0,5,2014,5-2014
2014-06-01,China,CHN,0,6,2014,6-2014
2014-07-01,China,CHN,0,7,2014,7-2014
2014-08-01,China,CHN,993,8,2014,8-2014
2014-09-01,China,CHN,14720,9,2014,9-2014
2014-10-01,China,CHN,28757,10,2014,10-2014
2014-11-01,China,CHN,2732,11,2014,11-2014
2014-12-01,China,CHN,310,12,2014,12-2014
2015-01-01,China,CHN,0,1,2015,1-2015
2015-02-01,China,CHN,0,2,2015,2-2015
2015-03-01,China,CHN,0,3,2015,3-2015
2015-04-01,China,CHN,0,4,2015,4-2015
2015-05-01,China,CHN,0,5,2015,5-2015
2015-06-01,China,CHN,0,6,2015,6-2015
2015-07-01,China,CHN,0,7,2015,7-2015
2015-08-01,China,CHN,0,8,2015,8-2015
2015-09-01,China,CHN,1428,9,2015,9-2015
2015-10-01,China,CHN,1366,10,2015,10-2015
2015-11-01,China,CHN,434,11,2015,11-2015
2015-12-01,China,CHN,217,12,2015,12-2015
2016-01-01,China,CHN,0,1,2016,1-2016
2016-02-01,China,CHN,0,2,2016,2-2016
2016-03-01,China,CHN,0,3,2016,3-2016
2016-04-01,China,CHN,0,4,2016,4-2016
2016-05-01,China,CHN,0,5,2016,5-2016
2016-06-01,China,CHN,0,6,2016,6-2016
2016-07-01,China,CHN,115,7,2016,7-2016
2016-08-01,China,CHN,625,8,2016,8-2016
2016-09-01,China,CHN,642,9,2016,9-2016
2016-10-01,China,CHN,345,10,2016,10-2016
2016-11-01,China,CHN,181,11,2016,11-2016
2016-12-01,China,CHN,0,12,2016,12-2016
2017-01-01,China,CHN,0,1,2017,1-2017
2017-02-01,China,CHN,0,2,2017,2-2017
2017-03-01,China,CHN,0,3,2017,3-2017
2017-04-01,China,CHN,0,4,2017,4-2017
2017-05-01,China,CHN,0,5,2017,5-2017
2017-06-01,China,CHN,65,6,2017,6-2017
2017-07-01,China,CHN,263,7,2017,7-2017
2017-08-01,China,CHN,955,8,2017,8-2017
2017-09-01,China,CHN,1910,9,2017,9-2017
2017-10-01,China,CHN,1614,10,2017,10-2017
2017-11-01,China,CHN,708,11,2017,11-2017
2017-12-01,China,CHN,115,12,2017,12-2017
2018-01-01,China,CHN,0,1,2018,1-2018
2018-02-01,China,CHN,0,2,2018,2-2018
2018-03-01,China,CHN,0,3,2018,3-2018
2018-04-01,China,CHN,0,4,2018,4-2018
2018-05-01,China,CHN,0,5,2018,5-2018
2018-06-01,China,CHN,115,6,2018,6-2018
2018-07-01,China,CHN,214,7,2018,7-2018
2018-08-01,China,CHN,477,8,2018,8-2018
2018-09-01,China,CHN,1498,9,2018,9-2018
2018-10-01,China,CHN,1811,10,2018,10-2018
2018-11-01,China,CHN,757,11,2018,11-2018
2018-12-01,China,CHN,164,12,2018,12-2018
2019-01-01,China,CHN,198,1,2019,1-2019
2019-02-01,China,CHN,82,2,2019,2-2019
2019-03-01,China,CHN,82,3,2019,3-2019
2019-04-01,China,CHN,148,4,2019,4-2019
2019-05-01,China,CHN,329,5,2019,5-2019
2019-06-01,China,CHN,791,6,2019,6-2019
2019-07-01,China,CHN,1268,7,2019,7-2019
2019-08-01,China,CHN,3294,8,2019,8-2019
2019-09-01,China,CHN,7988,9,2019,9-2019
2019-10-01,China,CHN,6127,10,2019,10-2019
2019-11-01,China,CHN,1746,11,2019,11-2019
2019-12-01,China,CHN,264,12,2019,12-2019
2020-01-01,China,CHN,0,1,2020,1-2020
2020-02-01,China,CHN,0,2,2020,2-2020
2020-03-01,China,CHN,0,3,2020,3-2020
2020-04-01,China,CHN,0,4,2020,4-2020
2020-05-01,China,CHN,0,5,2020,5-2020
2020-06-01,China,CHN,0,6,2020,6-2020
2020-07-01,China,CHN,0,7,2020,7-2020
2020-08-01,China,CHN,65,8,2020,8-2020
2020-09-01,China,CHN,198,9,2020,9-2020
2020-10-01,China,CHN,263,10,2020,10-2020
2020-11-01,China,CHN,32,11,2020,11-2020
2020-12-01,China,CHN,0,12,2020,12-2020
2010-01-01,Colombia,COL,11063,1,2010,1-2010
2010-02-01,Colombia,COL,16912,2,2010,2-2010
2010-03-01,Colombia,COL,20610,3,2010,3-2010
2010-04-01,Colombia,COL,20068,4,2010,4-2010
2010-05-01,Colombia,COL,20476,5,2010,5-2010
2010-06-01,Colombia,COL,17725,6,2010,6-2010
2010-07-01,Colombia,COL,14531,7,2010,7-2010
2010-08-01,Colombia,COL,11729,8,2010,8-2010
2010-09-01,Colombia,COL,8125,9,2010,9-2010
2010-10-01,Colombia,COL,5987,10,2010,10-2010
2010-11-01,Colombia,COL,4382,11,2010,11-2010
2010-12-01,Colombia,COL,3648,12,2010,12-2010
2011-01-01,Colombia,COL,3147,1,2011,1-2011
2011-02-01,Colombia,COL,2319,2,2011,2-2011
2011-03-01,Colombia,COL,2244,3,2011,3-2011
2011-04-01,Colombia,COL,2285,4,2011,4-2011
2011-05-01,Colombia,COL,2681,5,2011,5-2011
2011-06-01,Colombia,COL,2629,6,2011,6-2011
2011-07-01,Colombia,COL,2502,7,2011,7-2011
2011-08-01,Colombia,COL,2296,8,2011,8-2011
2011-09-01,Colombia,COL,2160,9,2011,9-2011
2011-10-01,Colombia,COL,2254,10,2011,10-2011
2011-11-01,Colombia,COL,2438,11,2011,11-2011
2011-12-01,Colombia,COL,2922,12,2011,12-2011
2012-01-01,Colombia,COL,4955,1,2012,1-2012
2012-02-01,Colombia,COL,3981,2,2012,2-2012
2012-03-01,Colombia,COL,3967,3,2012,3-2012
2012-04-01,Colombia,COL,3896,4,2012,4-2012
2012-05-01,Colombia,COL,4572,5,2012,5-2012
2012-06-01,Colombia,COL,4587,6,2012,6-2012
2012-07-01,Colombia,COL,4343,7,2012,7-2012
2012-08-01,Colombia,COL,4199,8,2012,8-2012
2012-09-01,Colombia,COL,4268,9,2012,9-2012
2012-10-01,Colombia,COL,5032,10,2012,10-2012
2012-11-01,Colombia,COL,5486,11,2012,11-2012
2012-12-01,Colombia,COL,5893,12,2012,12-2012
2013-01-01,Colombia,COL,8266,1,2013,1-2013
2013-02-01,Colombia,COL,8083,2,2013,2-2013
2013-03-01,Colombia,COL,9439,3,2013,3-2013
2013-04-01,Colombia,COL,12835,4,2013,4-2013
2013-05-01,Colombia,COL,13107,5,2013,5-2013
2013-06-01,Colombia,COL,11876,6,2013,6-2013
2013-07-01,Colombia,COL,12729,7,2013,7-2013
2013-08-01,Colombia,COL,9917,8,2013,8-2013
2013-09-01,Colombia,COL,9451,9,2013,9-2013
2013-10-01,Colombia,COL,10260,10,2013,10-2013
2013-11-01,Colombia,COL,10053,11,2013,11-2013
2013-12-01,Colombia,COL,9352,12,2013,12-2013
2014-02-01,Colombia,COL,7868,2,2014,2-2014
2014-03-01,Colombia,COL,8087,3,2014,3-2014
2014-05-01,Colombia,COL,8099,5,2014,5-2014
2014-06-01,Colombia,COL,8256,6,2014,6-2014
2014-08-01,Colombia,COL,8219,8,2014,8-2014
2014-09-01,Colombia,COL,8908,9,2014,9-2014
2014-11-01,Colombia,COL,8729,11,2014,11-2014
2015-01-01,Colombia,COL,8877,1,2015,1-2015
2015-03-01,Colombia,COL,8552,3,2015,3-2015
2015-05-01,Colombia,COL,7975,5,2015,5-2015
2015-06-01,Colombia,COL,6595,6,2015,6-2015
2015-08-01,Colombia,COL,6029,8,2015,8-2015
2015-10-01,Colombia,COL,8050,10,2015,10-2015
2015-11-01,Colombia,COL,9494,11,2015,11-2015
2016-01-01,Colombia,COL,12218,1,2016,1-2016
2016-02-01,Colombia,COL,12497,2,2016,2-2016
2016-04-01,Colombia,COL,10850,4,2016,4-2016
2016-05-01,Colombia,COL,11751,5,2016,5-2016
2016-07-01,Colombia,COL,7949,7,2016,7-2016
2016-09-01,Colombia,COL,4978,9,2016,9-2016
2016-10-01,Colombia,COL,4275,10,2016,10-2016
2016-12-01,Colombia,COL,3726,12,2016,12-2016
2017-01-01,Colombia,COL,3744,1,2017,1-2017
2017-04-01,Colombia,COL,1939,4,2017,4-2017
2017-06-01,Colombia,COL,1978,6,2017,6-2017
2017-07-01,Colombia,COL,2137,7,2017,7-2017
2017-09-01,Colombia,COL,1821,9,2017,9-2017
2017-10-01,Colombia,COL,1777,10,2017,10-2017
2017-12-01,Colombia,COL,1958,12,2017,12-2017
2018-01-01,Colombia,COL,2976,1,2018,1-2018
2018-02-01,Colombia,COL,1736,2,2018,2-2018
2018-03-01,Colombia,COL,1718,3,2018,3-2018
2018-04-01,Colombia,COL,1965,4,2018,4-2018
2018-06-01,Colombia,COL,3693,6,2018,6-2018
2018-07-01,Colombia,COL,3831,7,2018,7-2018
2018-09-01,Colombia,COL,3841,9,2018,9-2018
2018-12-01,Colombia,COL,7182,12,2018,12-2018
2019-03-01,Colombia,COL,8215,3,2019,3-2019
2019-04-01,Colombia,COL,8970,4,2019,4-2019
2019-06-01,Colombia,COL,12878,6,2019,6-2019
2019-08-01,Colombia,COL,10752,8,2019,8-2019
2019-09-01,Colombia,COL,10102,9,2019,9-2019
2019-11-01,Colombia,COL,11428,11,2019,11-2019
2019-12-01,Colombia,COL,12251,12,2019,12-2019
2020-03-01,Colombia,COL,10381,3,2020,3-2020
2020-05-01,Colombia,COL,6242,5,2020,5-2020
2020-08-01,Colombia,COL,2932,8,2020,8-2020
2020-10-01,Colombia,COL,2945,10,2020,10-2020
2020-11-01,Colombia,COL,2816,11,2020,11-2020
2020-12-01,Colombia,COL,3088,12,2020,12-2020
2021-01-01,Colombia,COL,2922,1,2021,1-2021
2021-04-01,Colombia,COL,2303,4,2021,4-2021
2021-07-01,Colombia,COL,2905,7,2021,7-2021
2021-08-01,Colombia,COL,3747,8,2021,8-2021
2021-10-01,Colombia,COL,6864,10,2021,10-2021
2021-11-01,Colombia,COL,8460,11,2021,11-2021
2022-01-01,Colombia,COL,5664,1,2022,1-2022
2022-04-01,Colombia,COL,4334,4,2022,4-2022
2022-05-01,Colombia,COL,6273,5,2022,5-2022
2022-09-01,Colombia,COL,5444,9,2022,9-2022
2022-10-01,Colombia,COL,6272,10,2022,10-2022
2022-12-01,Colombia,COL,7455,12,2022,12-2022
2012-01-01,Dominican Republic,DOM,311,1,2012,1-2012
2012-02-01,Dominican Republic,DOM,178,2,2012,2-2012
