"country","iso3","year","ext_date","EW","onset_date","total_den","total_corrected_cases","total_applied_cases","d","rf","correction_applied","correction_excluded","correction_reason"
"Canada","CAN",2024,"20260913",10,2024-03-04,0,NA,0,132,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2025,"20260913",10,2025-03-03,0,NA,0,80,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2026,"20260913",10,2026-03-02,0,NA,0,28,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2024,"20260913",10,2024-03-04,220,NA,220,132,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2025,"20260913",10,2025-03-03,156,NA,156,80,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2026,"20260913",10,2026-03-02,54,NA,54,28,NA,FALSE,TRUE,"no_lookup_match"
"Belize","BLZ",2024,"20260913",10,2024-03-04,159,NA,159,132,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2025,"20260913",10,2025-03-03,129,NA,129,80,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2026,"20260913",10,2026-03-02,263,NA,263,28,NA,FALSE,TRUE,"country_excluded"
"Costa Rica","CRI",2024,"20260913",10,2024-03-04,5415,NA,5415,132,NA,FALSE,TRUE,"no_lookup_match"
"Costa Rica","CRI",2025,"20260913",10,2025-03-03,852,NA,852,80,NA,FALSE,TRUE,"no_lookup_match"
"Costa Rica","CRI",2026,"20260913",10,2026-03-02,429,435,435,28,1.01307517877177,TRUE,FALSE,"applied_mean"
"El Salvador","SLV",2025,"20260913",10,2025-03-03,866,NA,866,80,NA,FALSE,TRUE,"no_lookup_match"
"El Salvador","SLV",2024,"20260913",10,2024-03-04,1101,NA,1101,132,NA,FALSE,TRUE,"no_lookup_match"
"El Salvador","SLV",2026,"20260913",10,2026-03-02,1196,1196,1196,28,1,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2025,"20260913",10,2025-03-03,9040,NA,9040,80,NA,FALSE,TRUE,"no_lookup_match"
"Guatemala","GTM",2026,"20260913",10,2026-03-02,6358,7705,7705,28,1.21183362597514,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2024,"20260913",10,2024-03-04,13533,NA,13533,132,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2025,"20260913",10,2025-03-03,3085,NA,3085,80,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2024,"20260913",10,2024-03-04,7856,NA,7856,132,NA,FALSE,TRUE,"no_lookup_match"
