iso3,country,od_region,d,u_rf,med_rf,min_rf,max_rf,sd_rf,n_rf
ARG,Argentina,South America,7,1.1476746721552253,1.140938594957032,1.1018848681653861,1.2064762857857678,0.025848079215071866,60
ARG,Argentina,South America,8,1.1615592438855311,1.1501882753973602,1.1177166240094454,1.2577699347808584,0.03665380596687179,60
ARG,Argentina,South America,9,1.1785598708711789,1.1642591414018724,1.1298174954757771,1.2893550694162288,0.04994513850771432,60
ARG,Argentina,South America,10,1.2006543104126814,1.1847941233722992,1.1321810972223576,1.3502600562554536,0.06606635902422393,60
ARG,Argentina,South America,11,1.2350957427243192,1.2064762857857678,1.1334802071584402,1.4926125681295934,0.09767703364457864,60
ARG,Argentina,South America,12,1.285158048606734,1.2577699347808584,1.140938594957032,1.6390765186129566,0.14267812207649433,60
ARG,Argentina,South America,13,1.3384042554834092,1.2893550694162288,1.1501882753973602,1.6390765186129566,0.16691262371218113,60
ARG,Argentina,South America,14,1.3933678323430783,1.3502600562554536,1.1642591414018724,1.6827663857935735,0.1798438692747915,60
ARG,Argentina,South America,15,1.4380948732660903,1.4926125681295934,1.1847941233722992,1.6827663857935735,0.17344691191602904,60
ARG,Argentina,South America,16,1.468934134513544,1.4926125681295934,1.2064762857857678,1.6827663857935735,0.14931099551474825,60
ARG,Argentina,South America,17,1.4933108919543363,1.4926125681295934,1.2577699347808584,1.6827663857935735,0.1276828933437384,60
ARG,Argentina,South America,18,1.5107443702531924,1.4926125681295934,1.2893550694162288,1.6827663857935735,0.10305262230085813,60
ARG,Argentina,South America,19,1.5299489648042202,1.501943392465617,1.3502600562554536,1.6827663857935735,0.08636549254707805,60
ARG,Argentina,South America,20,1.539388872392284,1.5126749228774534,1.4381472152253008,1.6827663857935735,0.08271678324343662,60
ARG,Argentina,South America,21,1.5212926623146936,1.501943392465617,1.366376811594203,1.6827663857935735,0.08651977491366006,60
ARG,Argentina,South America,22,1.488771015508896,1.4706116736962818,1.2831007751937984,1.6827663857935735,0.1040904619408593,60
ARG,Argentina,South America,23,1.4404375479966545,1.4551086824106785,1.2454804270462634,1.6827663857935735,0.10317806209091239,60
ARG,Argentina,South America,24,1.403324443421189,1.4381472152253008,1.218688524590164,1.5811091234347048,0.11275676695510398,60
ARG,Argentina,South America,25,1.3323773655212967,1.366376811594203,1.0027029603202702,1.5811091234347048,0.16982724066267807,68
ARG,Argentina,South America,26,1.228068943287888,1.218688524590164,1.0027029603202702,1.5811091234347048,0.2013313275166486,90
ARG,Argentina,South America,27,1.2107415091264706,1.211529411764706,1.0027029603202702,1.5811091234347048,0.19056850563563912,87
ARG,Argentina,South America,28,1.179966042302079,1.1206518430644117,1.0027029603202702,1.5811091234347048,0.17206238060173926,87
ARG,Argentina,South America,29,1.1422393404184892,1.1131930712647315,1.0027029603202702,1.5811091234347048,0.12751283298127825,87
ARG,Argentina,South America,30,1.1247966699315064,1.1131930712647315,1.0027029603202702,1.366376811594203,0.09935523137689085,84
ARG,Argentina,South America,31,1.1028192981877991,1.100197109067017,1.0027029603202702,1.2831007751937984,0.08600772646663536,87
ARG,Argentina,South America,32,1.0896504403569898,1.0937849471016534,1.0027029603202702,1.2454804270462634,0.07381474870111414,87
ARG,Argentina,South America,33,1.0786794607932384,1.0873337795447031,1.0027029603202702,1.218688524590164,0.06237029405643399,87
ARG,Argentina,South America,34,1.0679618680138037,1.0863081021123624,1.0027029603202702,1.211529411764706,0.04811602991460537,87
ARG,Argentina,South America,35,1.0895779340070075,1.0873337795447031,1.0027029603202702,1.1206518430644117,0.025714256820458276,69
ARG,Argentina,South America,36,1.0906228373978362,1.0873337795447031,1.0752137307276994,1.1206518430644117,0.012590984980245622,66
ARG,Argentina,South America,37,1.0864419593825618,1.0863081021123624,1.0737734883380858,1.1131930712647315,0.010350068169171677,66
ARG,Argentina,South America,38,1.0833304203632783,1.0807154581989018,1.0734132311422457,1.1020024682511247,0.009029229047045504,66
ARG,Argentina,South America,39,1.0805449775954998,1.077822208551215,1.0734132311422457,1.100197109067017,0.007178957625804221,66
ARG,Argentina,South America,40,1.0784487931524827,1.0759827168300138,1.0734132311422457,1.0937849471016534,0.005337057890279965,66
ARG,Argentina,South America,41,1.0771080548807908,1.0752137307276994,1.0734132311422457,1.0873337795447031,0.00424982205952454,66
ARG,Argentina,South America,42,1.0766669950268375,1.0752137307276994,1.0734132311422457,1.0863081021123624,0.0031685074334251097,66
ARG,Argentina,South America,43,1.0764573536010364,1.0752137307276994,1.0734132311422457,1.0813634905093754,0.002800983807893618,66
ARG,Argentina,South America,44,1.07626463310291,1.0752137307276994,1.0710552361010004,1.0813634905093754,0.002964114692512831,66
ARG,Argentina,South America,45,1.0757828304756738,1.0748733759083902,1.0710552361010004,1.0813634905093754,0.003286840402973111,66
ARG,Argentina,South America,46,1.0758352502088724,1.0748733759083902,1.0710552361010004,1.0813634905093754,0.0031794779913390677,66
ARG,Argentina,South America,47,1.0759627618357799,1.0750506765108192,1.0710552361010004,1.0813634905093754,0.003154999655456728,66
ARG,Argentina,South America,48,1.0762748988797677,1.0755754433473135,1.0710552361010004,1.0813634905093754,0.003062987705948215,66
ARG,Argentina,South America,49,1.0768423813865093,1.0765993543286336,1.0710552361010004,1.0813634905093754,0.003033832745878174,66
ARG,Argentina,South America,50,1.0774369108735318,1.0777705982736054,1.0710552361010004,1.0813634905093754,0.0031297023212388214,64
ARG,Argentina,South America,51,1.077651441056268,1.0777705982736054,1.0710552361010004,1.0859351844795027,0.0036363570492635956,60
ATG,Antigua and Barbuda,Caribbean,4,1,1,1,1,0,26
ATG,Antigua and Barbuda,Caribbean,5,1,1,1,1,0,182
ATG,Antigua and Barbuda,Caribbean,6,1,1,1,1,0,182
ATG,Antigua and Barbuda,Caribbean,7,1,1,1,1,0,26
ATG,Antigua and Barbuda,Caribbean,10,1.4101995565410206,1,1,2.8048780487804876,0.7574472942651421,352
ATG,Antigua and Barbuda,Caribbean,11,1.05927349913893,1,1,2.8048780487804876,0.3217306043862463,2436
ATG,Antigua and Barbuda,Caribbean,12,1,1,1,1,0,2760
ATG,Antigua and Barbuda,Caribbean,13,1,1,1,1,0,1512
ATG,Antigua and Barbuda,Caribbean,14,1,1,1,1,0,1288
ATG,Antigua and Barbuda,Caribbean,15,1,1,1,1,0,288
ATG,Antigua and Barbuda,Caribbean,16,1,1,1,1,0,224
ATG,Antigua and Barbuda,Caribbean,17,1,1,1,1,0,224
ATG,Antigua and Barbuda,Caribbean,18,1,1,1,1,0,208
ATG,Antigua and Barbuda,Caribbean,19,1,1,1,1,0,128
ATG,Antigua and Barbuda,Caribbean,20,1,1,1,1,0,112
ATG,Antigua and Barbuda,Caribbean,21,1,1,1,1,0,112
ATG,Antigua and Barbuda,Caribbean,22,1,1,1,1,0,368
ATG,Antigua and Barbuda,Caribbean,23,1,1,1,1,0,464
ATG,Antigua and Barbuda,Caribbean,24,1,1,1,1,0,448
ATG,Antigua and Barbuda,Caribbean,25,1,1,1,1,0,456
ATG,Antigua and Barbuda,Caribbean,26,1,1,1,1,0,416
ATG,Antigua and Barbuda,Caribbean,27,1,1,1,1,0,476
ATG,Antigua and Barbuda,Caribbean,28,1,1,1,1,0,476
ATG,Antigua and Barbuda,Caribbean,29,1,1,1,1,0,476
ATG,Antigua and Barbuda,Caribbean,30,1,1,1,1,0,472
ATG,Antigua and Barbuda,Caribbean,31,1,1,1,1,0,92
ATG,Antigua and Barbuda,Caribbean,32,1,1,1,1,0,28
ATG,Antigua and Barbuda,Caribbean,33,1,1,1,1,0,156
ATG,Antigua and Barbuda,Caribbean,34,1,1,1,1,0,540
ATG,Antigua and Barbuda,Caribbean,35,1,1,1,1,0,452
ATG,Antigua and Barbuda,Caribbean,36,1,1,1,1,0,448
ATG,Antigua and Barbuda,Caribbean,37,1,1,1,1,0,480
ATG,Antigua and Barbuda,Caribbean,38,1,1,1,1,0,512
ATG,Antigua and Barbuda,Caribbean,39,1,1,1,1,0,560
ATG,Antigua and Barbuda,Caribbean,40,1,1,1,1,0,560
ATG,Antigua and Barbuda,Caribbean,41,1,1,1,1,0,592
ATG,Antigua and Barbuda,Caribbean,42,1,1,1,1,0,672
ATG,Antigua and Barbuda,Caribbean,43,1,1,1,1,0,288
ATG,Antigua and Barbuda,Caribbean,44,1,1,1,1,0,224
ATG,Antigua and Barbuda,Caribbean,45,1,1,1,1,0,256
ATG,Antigua and Barbuda,Caribbean,46,1,1,1,1,0,336
ATG,Antigua and Barbuda,Caribbean,47,1,1,1,1,0,240
ATG,Antigua and Barbuda,Caribbean,48,1,1,1,1,0,224
ATG,Antigua and Barbuda,Caribbean,49,1,1,1,1,0,256
ATG,Antigua and Barbuda,Caribbean,50,1,1,1,1,0,338
ATG,Antigua and Barbuda,Caribbean,51,1,1,1,1,0,250
BHS,Bahamas,Caribbean,25,1,1,1,1,0,8
BHS,Bahamas,Caribbean,26,1,1,1,1,0,34
BHS,Bahamas,Caribbean,27,1,1,1,1,0,38
BHS,Bahamas,Caribbean,28,1,1,1,1,0,45
BHS,Bahamas,Caribbean,29,1,1,1,1,0,52
BHS,Bahamas,Caribbean,30,1,1,1,1,0,55
BHS,Bahamas,Caribbean,31,1,1,1,1,0,65
BHS,Bahamas,Caribbean,32,1,1,1,1,0,72
BHS,Bahamas,Caribbean,33,1,1,1,1,0,79
BHS,Bahamas,Caribbean,34,1,1,1,1,0,86
BHS,Bahamas,Caribbean,35,1,1,1,1,0,69
BHS,Bahamas,Caribbean,36,1,1,1,1,0,66
BHS,Bahamas,Caribbean,37,1,1,1,1,0,66
BHS,Bahamas,Caribbean,38,1,1,1,1,0,66
BHS,Bahamas,Caribbean,39,1,1,1,1,0,66
BHS,Bahamas,Caribbean,40,1,1,1,1,0,66
BHS,Bahamas,Caribbean,41,1,1,1,1,0,66
BHS,Bahamas,Caribbean,42,1,1,1,1,0,66
BHS,Bahamas,Caribbean,43,1,1,1,1,0,66
BHS,Bahamas,Caribbean,44,1,1,1,1,0,66
BHS,Bahamas,Caribbean,45,1,1,1,1,0,66
BHS,Bahamas,Caribbean,46,1,1,1,1,0,66
BHS,Bahamas,Caribbean,47,1,1,1,1,0,66
BHS,Bahamas,Caribbean,48,1,1,1,1,0,66
BHS,Bahamas,Caribbean,49,1,1,1,1,0,66
BHS,Bahamas,Caribbean,50,1,1,1,1,0,66
BHS,Bahamas,Caribbean,51,1,1,1,1,0,64
BLM,Saint Barthelemy,Caribbean,2,1,1,1,1,0,379
BLM,Saint Barthelemy,Caribbean,3,1,1,1,1,0,840
BLM,Saint Barthelemy,Caribbean,4,1,1,1,1,0,444
BLM,Saint Barthelemy,Caribbean,5,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,6,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,7,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,8,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,9,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,10,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,11,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,12,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,13,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,14,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,15,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,16,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,17,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,18,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,19,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,20,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,21,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,22,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,23,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,24,1,1,1,1,0,60
BLM,Saint Barthelemy,Caribbean,25,1,1,1,1,0,68
BLM,Saint Barthelemy,Caribbean,26,1,1,1,1,0,90
BLM,Saint Barthelemy,Caribbean,27,1,1,1,1,0,87
BLM,Saint Barthelemy,Caribbean,28,1,1,1,1,0,87
BLM,Saint Barthelemy,Caribbean,29,1,1,1,1,0,87
BLM,Saint Barthelemy,Caribbean,30,1,1,1,1,0,84
BLM,Saint Barthelemy,Caribbean,31,1,1,1,1,0,87
BLM,Saint Barthelemy,Caribbean,32,1,1,1,1,0,87
BLM,Saint Barthelemy,Caribbean,33,1,1,1,1,0,87
BLM,Saint Barthelemy,Caribbean,34,1,1,1,1,0,85
BLM,Saint Barthelemy,Caribbean,35,1,1,1,1,0,59
BLM,Saint Barthelemy,Caribbean,36,1,1,1,1,0,67
BLM,Saint Barthelemy,Caribbean,37,1,1,1,1,0,116
BLM,Saint Barthelemy,Caribbean,38,1,1,1,1,0,108
BLM,Saint Barthelemy,Caribbean,39,1,1,1,1,0,109
BLM,Saint Barthelemy,Caribbean,40,1,1,1,1,0,109
BLM,Saint Barthelemy,Caribbean,41,1,1,1,1,0,100
BLM,Saint Barthelemy,Caribbean,42,1,1,1,1,0,108
BLM,Saint Barthelemy,Caribbean,43,1,1,1,1,0,108
BLM,Saint Barthelemy,Caribbean,44,1,1,1,1,0,114
BLM,Saint Barthelemy,Caribbean,45,1,1,1,1,0,121
BLM,Saint Barthelemy,Caribbean,46,1,1,1,1,0,74
BLM,Saint Barthelemy,Caribbean,47,1,1,1,1,0,66
BLM,Saint Barthelemy,Caribbean,48,1,1,1,1,0,64
BLM,Saint Barthelemy,Caribbean,49,1,1,1,1,0,64
BLM,Saint Barthelemy,Caribbean,50,1,1,1,1,0,83
BLM,Saint Barthelemy,Caribbean,51,1,1,1,1,0,80
BLZ,Belize,North & Central America,2,0.08276595744680851,0.08276595744680851,0.08276595744680851,0.08276595744680851,0,187
BLZ,Belize,North & Central America,3,0.08278178442030862,0.08276595744680851,0.08276595744680851,0.08314806580702534,7.636512621835221e-5,169
BLZ,Belize,North & Central America,4,0.22744675153947652,0.08276595744680851,0.08276595744680851,0.4556390977443609,0.18192399812657958,330
BLZ,Belize,North & Central America,5,0.27739616569205,0.4556390977443609,0.08276595744680851,0.45904173106646057,0.18644497440563837,437
BLZ,Belize,North & Central America,6,0.2771199999456306,0.4556390977443609,0.08276595744680851,0.45904173106646057,0.18642194435306886,451
BLZ,Belize,North & Central America,7,0.11323195836093161,0.08276595744680851,0.08198051948051949,0.45904173106646057,0.10162730040249338,243
BLZ,Belize,North & Central America,8,0.15852540595898915,0.08314806580702534,0.08198051948051949,0.45016611295681064,0.14726920665118637,86
BLZ,Belize,North & Central America,9,0.18946854810882244,0.08412582297000731,0.08077496274217585,0.44014084507042256,0.16392391963820874,60
BLZ,Belize,North & Central America,10,0.18829538127655404,0.08377997179125529,0.07836990595611286,0.4372623574144487,0.16361026598876421,60
BLZ,Belize,North & Central America,11,0.18812015550232306,0.08292557301055885,0.07770491803278688,0.4444444444444444,0.16494091534533964,60
BLZ,Belize,North & Central America,12,0.18814135787413672,0.08198051948051949,0.07770491803278688,0.4444444444444444,0.16618853039090636,60
BLZ,Belize,North & Central America,13,0.18775656843565597,0.08077496274217585,0.07761087267525035,0.4444444444444444,0.16677434749713335,60
BLZ,Belize,North & Central America,14,0.1862471344479976,0.07990953637391632,0.07761087267525035,0.4404494382022472,0.1653385354725535,60
BLZ,Belize,North & Central America,15,0.18576361145882714,0.0790641387656313,0.07761087267525035,0.44041450777202074,0.16522224206859837,60
BLZ,Belize,North & Central America,16,0.1860639595931584,0.0790641387656313,0.07761087267525035,0.44041450777202074,0.16571928149667528,60
BLZ,Belize,North & Central America,17,0.18571058962086298,0.07990953637391632,0.07761087267525035,0.44041450777202074,0.16453790499960738,60
BLZ,Belize,North & Central America,18,0.18367714280527928,0.08023307933662036,0.07761087267525035,0.4320652173913043,0.16068680949286598,60
BLZ,Belize,North & Central America,19,0.1796415111630844,0.08141762452107279,0.07761087267525035,0.43026706231454004,0.15373039638992844,60
BLZ,Belize,North & Central America,20,0.17310720982796615,0.08195876288659794,0.07846481876332623,0.41233766233766234,0.14296036057209505,60
BLZ,Belize,North & Central America,21,0.16687749034705301,0.08195876288659794,0.07846481876332623,0.379182156133829,0.1328902124811526,60
BLZ,Belize,North & Central America,22,0.1641257491045544,0.08195876288659794,0.07301360057265568,0.3668639053254438,0.12993574244537906,60
BLZ,Belize,North & Central America,23,0.16327601342873194,0.08195876288659794,0.07268170426065163,0.3668639053254438,0.13025818031578304,60
BLZ,Belize,North & Central America,24,0.1636891825874089,0.08195876288659794,0.07025986525505294,0.37037037037037035,0.1336844913622884,60
BLZ,Belize,North & Central America,25,0.26608423949628124,0.08099198383775391,0.07025986525505294,1,0.30193959143153193,68
BLZ,Belize,North & Central America,26,0.47547724937433555,0.37037037037037035,0.0681063122923588,1,0.4271540898326611,90
BLZ,Belize,North & Central America,27,0.507496841260784,0.4473684210526316,0.0681063122923588,1,0.4473604451215738,87
BLZ,Belize,North & Central America,28,0.5529665129041738,1,0.0681063122923588,1,0.4654259150081644,87
BLZ,Belize,North & Central America,29,0.627409411992272,1,0.0681063122923588,1,0.45680084008627897,87
BLZ,Belize,North & Central America,30,0.6806852075561446,1,0.0681063122923588,1,0.4424064484659286,84
BLZ,Belize,North & Central America,31,0.7663178219613518,1,0.0681063122923588,1,0.40401998695988073,87
BLZ,Belize,North & Central America,32,0.8412422006944004,1,0.0681063122923588,1,0.34985147554045365,87
BLZ,Belize,North & Central America,33,0.9158973786693908,1,0.07281553398058252,1,0.2658244573947402,87
BLZ,Belize,North & Central America,34,0.9895078101974654,1,0.08717948717948718,1,0.09786463138519358,87
BLZ,Belize,North & Central America,35,1,1,1,1,0,69
BLZ,Belize,North & Central America,36,1,1,1,1,0,66
BLZ,Belize,North & Central America,37,1,1,1,1,0,66
BLZ,Belize,North & Central America,38,1,1,1,1,0,66
BLZ,Belize,North & Central America,39,1,1,1,1,0,66
BLZ,Belize,North & Central America,40,1,1,1,1,0,66
BLZ,Belize,North & Central America,41,1,1,1,1,0,66
BLZ,Belize,North & Central America,42,1,1,1,1,0,66
BLZ,Belize,North & Central America,43,1,1,1,1,0,66
BLZ,Belize,North & Central America,44,1,1,1,1,0,66
BLZ,Belize,North & Central America,45,1,1,1,1,0,66
BLZ,Belize,North & Central America,46,1,1,1,1,0,66
BLZ,Belize,North & Central America,47,1,1,1,1,0,66
BLZ,Belize,North & Central America,48,1,1,1,1,0,66
BLZ,Belize,North & Central America,49,1,1,1,1,0,66
BLZ,Belize,North & Central America,50,1,1,1,1,0,66
BLZ,Belize,North & Central America,51,1,1,1,1,0,66
BMU,Bermuda,Caribbean,29,1,1,1,1,0,72
BMU,Bermuda,Caribbean,30,1,1,1,1,0,290
BMU,Bermuda,Caribbean,31,1,1,1,1,0,262
BMU,Bermuda,Caribbean,32,1,1,1,1,0,269
BMU,Bermuda,Caribbean,33,1,1,1,1,0,276
BMU,Bermuda,Caribbean,34,1,1,1,1,0,247
BMU,Bermuda,Caribbean,35,1,1,1,1,0,289
BMU,Bermuda,Caribbean,36,1,1,1,1,0,296
BMU,Bermuda,Caribbean,37,1,1,1,1,0,303
BMU,Bermuda,Caribbean,38,1,1,1,1,0,310
BMU,Bermuda,Caribbean,39,1,1,1,1,0,101
BMU,Bermuda,Caribbean,40,1,1,1,1,0,66
BMU,Bermuda,Caribbean,41,1,1,1,1,0,66
BMU,Bermuda,Caribbean,42,1,1,1,1,0,66
BMU,Bermuda,Caribbean,43,1,1,1,1,0,66
BMU,Bermuda,Caribbean,44,1,1,1,1,0,66
BMU,Bermuda,Caribbean,45,1,1,1,1,0,66
BMU,Bermuda,Caribbean,46,1,1,1,1,0,64
BMU,Bermuda,Caribbean,47,1,1,1,1,0,56
BMU,Bermuda,Caribbean,48,1,1,1,1,0,49
BMU,Bermuda,Caribbean,49,1,1,1,1,0,42
BMU,Bermuda,Caribbean,50,1,1,1,1,0,35
BMU,Bermuda,Caribbean,51,1,1,1,1,0,29
BOL,Bolivia,South America,2,1.1627534496596696,1.1612276516735116,1.1612276516735116,1.1649868641031764,0.0018487270183453215,340
BOL,Bolivia,South America,3,1.1628735014653502,1.1612276516735116,1.1607377802050494,1.1649868641031764,0.0018692779711997327,377
BOL,Bolivia,South America,4,1.1617358041478125,1.1612276516735116,1.1607377802050494,1.1649868641031764,0.0012374229401696695,253
BOL,Bolivia,South America,5,1.1612945689833019,1.1612276516735116,1.157407170458326,1.1643411967779056,0.0010102206962639834,209
BOL,Bolivia,South America,6,1.1599687953047877,1.1612276516735116,1.153474651490628,1.1641456717568284,0.0018997740178362435,380
BOL,Bolivia,South America,7,1.1604871156233623,1.1612276516735116,1.1472515029789987,1.1636262594534517,0.002828197705184355,256
BOL,Bolivia,South America,8,1.1572473656494788,1.1612276516735116,1.1427928814417048,1.1631123080282408,0.006527099724187964,88
BOL,Bolivia,South America,9,1.1521451237781646,1.153474651490628,1.1364841120938682,1.162185243021667,0.009181122014708755,60
BOL,Bolivia,South America,10,1.1486392120224869,1.1472515029789987,1.1323548059852904,1.162117202268431,0.010631562349963021,60
BOL,Bolivia,South America,11,1.1448392021702896,1.1427928814417048,1.1289758705785577,1.162117202268431,0.011385936510565896,60
BOL,Bolivia,South America,12,1.1406593654098889,1.1364841120938682,1.1269470404984423,1.162117202268431,0.010870607650203454,60
BOL,Bolivia,South America,13,1.136858156139623,1.1359197324414716,1.123541716952289,1.157407170458326,0.009955592934156932,60
BOL,Bolivia,South America,14,1.1337906522752217,1.1323548059852904,1.123541716952289,1.153474651490628,0.008245704250774798,60
BOL,Bolivia,South America,15,1.1317691381453574,1.1289758705785577,1.123541716952289,1.1472515029789987,0.006723780150652092,60
BOL,Bolivia,South America,16,1.130839385193252,1.1289758705785577,1.123541716952289,1.146375464684015,0.005869162020359463,60
BOL,Bolivia,South America,17,1.1306825940172478,1.1289758705785577,1.123541716952289,1.1465632920828985,0.0057567244493985795,60
BOL,Bolivia,South America,18,1.13122668742588,1.1289758705785577,1.123541716952289,1.1488651535380507,0.006467166559405665,60
BOL,Bolivia,South America,19,1.1320640805019333,1.1325335782344164,1.123541716952289,1.1451428571428572,0.0063690406666641825,60
BOL,Bolivia,South America,20,1.1333934640013656,1.1354107648725213,1.123541716952289,1.1517128874388254,0.007180097038655067,60
BOL,Bolivia,South America,21,1.1349209439473105,1.1362679299907883,1.123541716952289,1.1453784808471696,0.005661472293938221,60
BOL,Bolivia,South America,22,1.1357445923866205,1.1362679299907883,1.125878453038674,1.1423927178153446,0.004116549432868961,60
BOL,Bolivia,South America,23,1.1376334670164783,1.1362679299907883,1.128371578099839,1.163569626061023,0.007612455406444825,60
BOL,Bolivia,South America,24,1.141065724592452,1.1366491759662996,1.1315408146836259,1.1772655007949127,0.011645964777637583,60
BOL,Bolivia,South America,25,1.1289086569356117,1.1366491759662996,1.0125658591348055,1.1720542231491136,0.04454784711147626,68
BOL,Bolivia,South America,26,1.0948609598000862,1.1346975780339335,1,1.1666010240252067,0.06578191777682373,90
BOL,Bolivia,South America,27,1.0861111068161204,1.1315408146836259,1,1.1666010240252067,0.06884010296380016,87
BOL,Bolivia,South America,28,1.0744515026971393,1.0125658591348055,1,1.1666010240252067,0.0712355468888915,87
BOL,Bolivia,South America,29,1.0598087066468436,1,1,1.1666010240252067,0.07384219743701331,87
BOL,Bolivia,South America,30,1.0525373797030224,1,1,1.1666010240252067,0.07320566026568506,84
BOL,Bolivia,South America,31,1.0401057175737725,1,1,1.1666010240252067,0.06944626400881657,87
BOL,Bolivia,South America,32,1.0279522838430322,1,1,1.1666010240252067,0.061621883378015274,87
BOL,Bolivia,South America,33,1.014688979657595,1,1,1.1666010240252067,0.04643372716664692,87
