"country","iso3","year","ext_date","EW","onset_date","total_den","total_corrected_cases","total_applied_cases","d","rf","correction_applied","correction_excluded","correction_reason"
"Canada","CAN",2024,"20260921",10,2024-03-04,0,NA,0,133,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2025,"20260921",10,2025-03-03,0,NA,0,81,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2026,"20260921",10,2026-03-02,0,NA,0,29,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2024,"20260921",10,2024-03-04,220,NA,220,133,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2025,"20260921",10,2025-03-03,156,NA,156,81,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2026,"20260921",10,2026-03-02,54,NA,54,29,NA,FALSE,TRUE,"no_lookup_match"
"Belize","BLZ",2024,"20260921",10,2024-03-04,159,NA,159,133,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2025,"20260921",10,2025-03-03,129,NA,129,81,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2026,"20260921",10,2026-03-02,263,NA,263,29,NA,FALSE,TRUE,"country_excluded"
"Costa Rica","CRI",2024,"20260921",10,2024-03-04,5415,NA,5415,133,NA,FALSE,TRUE,"no_lookup_match"
"Costa Rica","CRI",2025,"20260921",10,2025-03-03,852,NA,852,81,NA,FALSE,TRUE,"no_lookup_match"
"Costa Rica","CRI",2026,"20260921",10,2026-03-02,428,433,433,29,1.01258044184865,TRUE,FALSE,"applied_mean"
"El Salvador","SLV",2025,"20260921",10,2025-03-03,866,NA,866,81,NA,FALSE,TRUE,"no_lookup_match"
"El Salvador","SLV",2024,"20260921",10,2024-03-04,1101,NA,1101,133,NA,FALSE,TRUE,"no_lookup_match"
"El Salvador","SLV",2026,"20260921",10,2026-03-02,1196,1196,1196,29,1,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2025,"20260921",10,2025-03-03,9040,NA,9040,81,NA,FALSE,TRUE,"no_lookup_match"
"Guatemala","GTM",2026,"20260921",10,2026-03-02,6358,7493,7493,29,1.17853530056382,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2024,"20260921",10,2024-03-04,13533,NA,13533,133,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2025,"20260921",10,2025-03-03,3085,NA,3085,81,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2024,"20260921",10,2024-03-04,7856,NA,7856,133,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2026,"20260921",10,2026-03-02,1896,1896,1896,29,1,TRUE,FALSE,"applied_mean"
"Mexico","MEX",2024,"20260921",10,2024-03-04,38656,NA,38656,133,NA,FALSE,TRUE,"no_lookup_match"
"Mexico","MEX",2025,"20260921",10,2025-03-03,21459,NA,21459,81,NA,FALSE,TRUE,"no_lookup_match"
"Mexico","MEX",2026,"20260921",10,2026-03-02,12100,12093,12093,29,0.999412826036046,TRUE,FALSE,"applied_mean"
