"country","iso3","year","ext_date","EW","onset_date","total_den","total_corrected_cases","total_applied_cases","d","rf","correction_applied","correction_excluded","correction_reason"
"Canada","CAN",2024,"20260925",10,2024-03-04,0,NA,0,134,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2025,"20260925",10,2025-03-03,0,NA,0,82,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2026,"20260925",10,2026-03-02,0,NA,0,30,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2024,"20260925",10,2024-03-04,220,NA,220,134,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2025,"20260925",10,2025-03-03,156,NA,156,82,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2026,"20260925",10,2026-03-02,54,NA,54,30,NA,FALSE,TRUE,"no_lookup_match"
"Belize","BLZ",2024,"20260925",10,2024-03-04,159,NA,159,134,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2025,"20260925",10,2025-03-03,129,NA,129,82,NA,FALSE,TRUE,"country_excluded"
"Belize","BLZ",2026,"20260925",10,2026-03-02,263,NA,263,30,NA,FALSE,TRUE,"country_excluded"
"Costa Rica","CRI",2024,"20260925",10,2024-03-04,5415,NA,5415,134,NA,FALSE,TRUE,"no_lookup_match"
"Costa Rica","CRI",2025,"20260925",10,2025-03-03,852,NA,852,82,NA,FALSE,TRUE,"no_lookup_match"
"Costa Rica","CRI",2026,"20260925",10,2026-03-02,428,434,434,30,1.01367571798961,TRUE,FALSE,"applied_mean"
"El Salvador","SLV",2025,"20260925",10,2025-03-03,866,NA,866,82,NA,FALSE,TRUE,"no_lookup_match"
"El Salvador","SLV",2024,"20260925",10,2024-03-04,1101,NA,1101,134,NA,FALSE,TRUE,"no_lookup_match"
"El Salvador","SLV",2026,"20260925",10,2026-03-02,1196,1196,1196,30,1,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2025,"20260925",10,2025-03-03,9040,NA,9040,82,NA,FALSE,TRUE,"no_lookup_match"
"Guatemala","GTM",2026,"20260925",10,2026-03-02,6358,7335,7335,30,1.15372809034373,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2024,"20260925",10,2024-03-04,13533,NA,13533,134,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2025,"20260925",10,2025-03-03,3085,NA,3085,82,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2024,"20260925",10,2024-03-04,7856,NA,7856,134,NA,FALSE,TRUE,"no_lookup_match"
"Honduras","HND",2026,"20260925",10,2026-03-02,1896,1896,1896,30,1,TRUE,FALSE,"applied_mean"
"Mexico","MEX",2024,"20260925",10,2024-03-04,38656,NA,38656,134,NA,FALSE,TRUE,"no_lookup_match"
"Mexico","MEX",2025,"20260925",10,2025-03-03,21459,NA,21459,82,NA,FALSE,TRUE,"no_lookup_match"
"Mexico","MEX",2026,"20260925",10,2026-03-02,12101,12095,12095,30,0.999483737074193,TRUE,FALSE,"applied_mean"
"Nicaragua","NIC",2025,"20260925",4,2025-01-20,5702,NA,5702,88,NA,FALSE,TRUE,"no_lookup_match"
"Nicaragua","NIC",2024,"20260925",10,2024-03-04,17335,NA,17335,134,NA,FALSE,TRUE,"no_lookup_match"
"Panama","PAN",2024,"20260925",10,2024-03-04,4013,NA,4013,134,NA,FALSE,TRUE,"no_lookup_match"
