iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90,model,window_type,n_train_months,n_gap_in_window,actual
BLM,2016-01-01,1,2016-02-01,46,9,64,1,154,glm_ar1,expanding,46,0,5
BLM,2016-01-01,2,2016-03-01,141,29,195,3,467,glm_ar1,expanding,46,0,4
BLM,2016-01-01,3,2016-04-01,311,65,429,7,1027,glm_ar1,expanding,46,0,4
BLM,2016-01-01,4,2016-05-01,546,114,753,12,1802,glm_ar1,expanding,46,0,5
BLM,2016-01-01,5,2016-06-01,816,170,1127,19,2696,glm_ar1,expanding,46,0,5
BLM,2016-01-01,6,2016-07-01,1089,227,1503,25,3598,glm_ar1,expanding,46,0,4
BLZ,2016-01-01,1,2016-02-01,962,201,1327,22,3176,glm_ar1,expanding,71,0,377
BLZ,2016-01-01,2,2016-03-01,1225,256,1691,28,4046,glm_ar1,expanding,71,0,450
BLZ,2016-01-01,3,2016-04-01,1457,304,2011,34,4812,glm_ar1,expanding,71,0,314
BLZ,2016-01-01,4,2016-05-01,1650,345,2277,38,5448,glm_ar1,expanding,71,0,296
BLZ,2016-01-01,5,2016-06-01,1804,377,2489,42,5956,glm_ar1,expanding,71,0,302
BLZ,2016-01-01,6,2016-07-01,1923,402,2653,45,6349,glm_ar1,expanding,71,0,423
BOL,2016-01-01,1,2016-02-01,8818,1842,12166,206,29111,glm_ar1,expanding,66,0,18160
BOL,2016-01-01,2,2016-03-01,5999,1253,8277,140,19805,glm_ar1,expanding,66,0,12568
BOL,2016-01-01,3,2016-04-01,4551,951,6279,106,15025,glm_ar1,expanding,66,0,8992
BOL,2016-01-01,4,2016-05-01,3733,780,5151,87,12325,glm_ar1,expanding,66,0,2550
BOL,2016-01-01,5,2016-06-01,3239,677,4469,75,10693,glm_ar1,expanding,66,0,616
BOL,2016-01-01,6,2016-07-01,2925,611,4036,68,9658,glm_ar1,expanding,66,0,460
BRA,2016-01-01,1,2016-02-01,99784,20853,137680,2331,329420,glm_ar1,expanding,64,0,556703
BRA,2016-01-01,2,2016-03-01,34178,7143,47158,798,112833,glm_ar1,expanding,64,0,487108
BRA,2016-01-01,3,2016-04-01,15850,3312,21870,370,52327,glm_ar1,expanding,64,0,362421
BRA,2016-01-01,4,2016-05-01,9135,1909,12604,213,30158,glm_ar1,expanding,64,0,164151
BRA,2016-01-01,5,2016-06-01,6153,1286,8489,143,20313,glm_ar1,expanding,64,0,48699
BRA,2016-01-01,6,2016-07-01,4634,968,6394,108,15300,glm_ar1,expanding,64,0,34780
BRB,2016-01-01,1,2016-02-01,663,138,915,15,2190,glm_ar1,expanding,70,0,244
BRB,2016-01-01,2,2016-03-01,939,196,1295,22,3100,glm_ar1,expanding,70,0,117
BRB,2016-01-01,3,2016-04-01,1204,251,1661,28,3976,glm_ar1,expanding,70,0,81
BRB,2016-01-01,4,2016-05-01,1439,300,1986,33,4752,glm_ar1,expanding,70,0,74
BRB,2016-01-01,5,2016-06-01,1635,341,2257,38,5400,glm_ar1,expanding,70,0,69
BRB,2016-01-01,6,2016-07-01,1792,374,2473,42,5918,glm_ar1,expanding,70,0,91
BRN,2016-01-01,1,2016-02-01,43,9,59,1,143,glm_ar1,expanding,69,0,5
BRN,2016-01-01,2,2016-03-01,134,28,185,3,443,glm_ar1,expanding,69,0,5
BRN,2016-01-01,3,2016-04-01,299,62,413,7,989,glm_ar1,expanding,69,0,11
BRN,2016-01-01,4,2016-05-01,531,111,733,12,1754,glm_ar1,expanding,69,0,6
BRN,2016-01-01,5,2016-06-01,801,167,1105,18,2645,glm_ar1,expanding,69,0,3
BRN,2016-01-01,6,2016-07-01,1075,224,1483,25,3548,glm_ar1,expanding,69,0,6
BTN,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,glm_ar1,expanding,36,35,NA
BTN,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,glm_ar1,expanding,36,35,27
BTN,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,glm_ar1,expanding,36,35,29
BTN,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,glm_ar1,expanding,36,35,23
BTN,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,glm_ar1,expanding,36,35,33
BTN,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,glm_ar1,expanding,36,35,44
CHL,2016-01-01,1,2016-02-01,15,3,20,0,49,glm_ar1,expanding,34,12,2
CHL,2016-01-01,2,2016-03-01,64,13,88,1,211,glm_ar1,expanding,34,12,7
CHL,2016-01-01,3,2016-04-01,177,37,244,4,584,glm_ar1,expanding,34,12,NA
CHL,2016-01-01,4,2016-05-01,365,76,503,8,1205,glm_ar1,expanding,34,12,NA
CHL,2016-01-01,5,2016-06-01,612,128,844,14,2021,glm_ar1,expanding,34,12,NA
CHL,2016-01-01,6,2016-07-01,886,185,1223,20,2926,glm_ar1,expanding,34,12,NA
CHN,2016-01-01,1,2016-02-01,9,2,12,0,30,glm_ar1,expanding,71,0,0
CHN,2016-01-01,2,2016-03-01,46,9,63,1,152,glm_ar1,expanding,71,0,0
CHN,2016-01-01,3,2016-04-01,140,29,194,3,464,glm_ar1,expanding,71,0,0
CHN,2016-01-01,4,2016-05-01,309,64,427,7,1022,glm_ar1,expanding,71,0,0
CHN,2016-01-01,5,2016-06-01,544,113,751,12,1797,glm_ar1,expanding,71,0,0
CHN,2016-01-01,6,2016-07-01,815,170,1124,19,2690,glm_ar1,expanding,71,0,124
CIV,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
CIV,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
CIV,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
CIV,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
CIV,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
CIV,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,glm_ar1,expanding,0,0,NA
COK,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,glm_ar1,expanding,24,1,NA
