"country","iso3","Month","season_nMonth","nb_size","nb_mean","nb_size_cum","nb_mean_cum","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion"
"Afghanistan","AFG",3,1,NA,NA,NA,NA,57.75,57.75,0.0214612525568192,0.0214612525568192
"Afghanistan","AFG",4,2,NA,NA,NA,NA,49.75,107.5,0.0431327560342653,0.0216715034774461
"Afghanistan","AFG",5,3,NA,NA,NA,NA,87.75,195.25,0.0742381283907614,0.0311053723564961
"Afghanistan","AFG",6,4,1.37557979541605,58.25,0.730711972104804,253.499999999999,58.25,253.5,0.0989912587883773,0.0247531303976159
"Afghanistan","AFG",7,5,1.7335863671851,147,1.08673948464472,400.5,147,400.5,0.164640025286036,0.0656487664976591
"Afghanistan","AFG",8,6,0.87888346910545,194.5,1.01847098907798,594.999999999999,194.5,595,0.236569310543594,0.0719292852575574
"Afghanistan","AFG",9,7,1.30355801275735,163,1.1224521467389,757.999999999999,163,758,0.301705938720392,0.065136628176798
"Afghanistan","AFG",10,8,1.91981484039352,521.25,1.65832089612373,1279.25,521.25,1279.25,0.543538173478536,0.241832234758144
"Afghanistan","AFG",11,9,2.89658970598574,420,2.01342687561909,1699.25,420,1699.25,0.761825550043605,0.218287376565069
"Afghanistan","AFG",12,10,21.9099663312861,215,2.37633837709749,1914.25,215,1914.25,0.893012962615272,0.131187412571667
"Afghanistan","AFG",1,11,2.42958159602125,114,2.63326687694008,2028.25,114,2028.25,0.96483390415282,0.0718209415375475
"Afghanistan","AFG",2,12,0.361437970830766,65.5,2.69649350158189,2093.75,65.5,2093.75,1,0.0351660958471802
"Antigua & Barbuda","ATG",4,1,0.561748911178378,4.75,0.561748911178378,4.75,4.75,4.75,0.0195908681655322,0.0195908681655322
"Antigua & Barbuda","ATG",5,2,0.643463803273605,9.125,0.571901497521681,13.875,9.125,13.875,0.0613131647812721,0.0417222966157399
"Antigua & Barbuda","ATG",6,3,0.644892598411886,8,0.554752248927358,21.875,8,21.875,0.0951780756321448,0.0338649108508727
"Antigua & Barbuda","ATG",7,4,0.585193795503316,10.25,0.528069608132216,32.125,10.25,32.125,0.137382405224205,0.04220432959206
"Antigua & Barbuda","ATG",8,5,0.578807252644659,19.5,0.582860090288624,51.625,19.5,51.625,0.205223769563678,0.0678413643394731
"Antigua & Barbuda","ATG",9,6,0.54692395792226,22.625,0.577243476396687,74.2499999999999,22.625,74.25,0.282169747295563,0.0769459777318847
"Antigua & Barbuda","ATG",10,7,0.503502594416806,27,0.55966295316962,101.25,27,101.25,0.364460789862643,0.0822910425670806
"Antigua & Barbuda","ATG",11,8,0.507498786680876,33.125,0.547878161443174,134.375,33.125,134.375,0.463137438783923,0.0986766489212803
"Antigua & Barbuda","ATG",12,9,0.435917107994736,47.75,0.519160086620314,182.125,47.75,182.125,0.581581893517575,0.118444454733652
"Antigua & Barbuda","ATG",1,10,0.322451941554713,54.125,0.721655942676433,236.25,54.125,236.25,0.774872394461789,0.193290500944214
"Antigua & Barbuda","ATG",2,11,0.520000916038631,26.75,0.786390122492431,263,26.75,263,0.902647535299198,0.127775140837408
"Antigua & Barbuda","ATG",3,12,0.711523682889816,17.25,0.828714202165833,280.25,17.25,280.25,1,0.0973524647008022
"Argentina","ARG",8,1,0.485413428179479,53.2666666666666,0.485413428179479,53.2666666666666,53.2666666666667,53.2666666666667,0.00968468718236358,0.00968468718236358
"Argentina","ARG",9,2,0.306303907654978,130.8,0.361163862882557,184.066666666667,130.8,184.066666666667,0.0209487541042654,0.0112640669219018
"Argentina","ARG",10,3,0.40826844976658,101.866666666667,0.375250753790314,285.933333333333,101.866666666667,285.933333333333,0.0413470752152976,0.0203983211110322
"Argentina","ARG",11,4,0.379828818387859,167.933333333333,0.424698938232107,453.866666666667,167.933333333333,453.866666666667,0.0647209532244183,0.0233738780091207
"Argentina","ARG",12,5,0.207664808514821,1711.66666666667,0.288325652547019,2165.53333333333,1711.66666666667,2165.53333333333,0.131930569865142,0.0672096166407234
"Argentina","ARG",1,6,0.259192003614391,2700,0.308955659492296,4865.53333333333,2700,4865.53333333333,0.166213745721869,0.0342831758567271
"Argentina","ARG",2,7,0.268009416730835,7363.66666666668,0.314137374296392,12229.2,7363.66666666667,12229.2,0.255822410381122,0.0896086646592533
"Argentina","ARG",3,8,0.259060757298732,25476.4666666666,0.293904128711429,37705.6666666665,25476.4666666667,37705.6666666667,0.496429849529586,0.240607439148464
"Argentina","ARG",4,9,0.31848605713434,17542.2666666667,0.312931271026884,55247.9333333335,17542.2666666667,55247.9333333333,0.779661463406253,0.283231613876667
"Argentina","ARG",5,10,0.477491490337846,4523.40000000001,0.329952887725575,59771.3333333338,4523.4,59771.3333333333,0.951794333334644,0.172132869928391
"Argentina","ARG",6,11,0.37577244966807,942.333333333333,0.332891874432274,60713.6666666668,942.333333333333,60713.6666666667,0.98677745579159,0.0349831224569461
"Argentina","ARG",7,12,0.302394828278467,336.066666666667,0.334001642850789,61049.7333333334,336.066666666667,61049.7333333333,1,0.0132225442084097
"Aruba","ABW",7,1,NA,NA,NA,NA,21.5,21.5,0.0257203595112303,0.0257203595112303
"Aruba","ABW",8,2,0.909660246781697,32.7500000000001,0.781271491650606,54.25,32.75,54.25,0.0699659282211139,0.0442455687098836
"Aruba","ABW",9,3,0.858908755850253,62.375,0.838822146163144,116.625,62.375,116.625,0.152270584717755,0.0823046564966407
"Aruba","ABW",10,4,0.677947828263531,64.2500000000001,0.778968026557386,180.875,64.25,180.875,0.230735698611633,0.0784651138938783
"Aruba","ABW",11,5,0.786815441134934,38.125,0.786798549407322,219,38.125,219,0.280303323833063,0.0495676252214301
"Aruba","ABW",12,6,NA,NA,0.761726645582747,249.375,30.375,249.375,0.31575855935436,0.0354552355212975
"Aruba","ABW",1,7,0.523977425521591,96.375,0.85154619794028,345.749999999999,96.375,345.75,0.406575379093749,0.0908168197393885
"Aruba","ABW",2,8,0.486238411325166,102.875,0.944373049276483,448.625,102.875,448.625,0.520279964132316,0.113704585038567
"Aruba","ABW",3,9,0.610622827573911,142.5,1.021089726529,591.124999999999,142.5,591.125,0.690037185327113,0.169757221194798
"Aruba","ABW",4,10,0.66356931839209,119.5,1.08012330785417,710.625,119.5,710.625,0.840622096875863,0.15058491154875
