"country","iso3","year","ext_date","EW","onset_date","total_den","total_corrected_cases","total_applied_cases","d","rf","correction_applied","correction_excluded","correction_reason"
"Saint Kitts and Nevis","KNA",2025,"20260805",3,2025-01-13,0,NA,0,81,NA,FALSE,TRUE,"no_lookup_match"
"Saint Kitts and Nevis","KNA",2026,"20260805",3,2026-01-12,2,2,2,29,1.00918534753313,TRUE,FALSE,"applied_mean"
"Saint Lucia","LCA",2024,"20260805",3,2024-01-15,0,NA,0,133,NA,FALSE,TRUE,"no_lookup_match"
"Saint Lucia","LCA",2025,"20260805",3,2025-01-13,3,NA,3,81,NA,FALSE,TRUE,"no_lookup_match"
"Saint Lucia","LCA",2026,"20260805",3,2026-01-12,0,0,0,29,1,TRUE,FALSE,"applied_mean"
"Saint Martin",NA,2025,"20260805",3,2025-01-13,35,NA,35,81,NA,FALSE,TRUE,"no_lookup_match"
"Saint Martin",NA,2026,"20260805",3,2026-01-12,0,NA,0,29,NA,FALSE,TRUE,"no_lookup_match"
"Saint Martin",NA,2024,"20260805",3,2024-01-15,156,NA,156,133,NA,FALSE,TRUE,"no_lookup_match"
"Saint Vincent and the Grenadines","VCT",2025,"20260805",3,2025-01-13,0,NA,0,81,NA,FALSE,TRUE,"no_lookup_match"
"Saint Vincent and the Grenadines","VCT",2026,"20260805",3,2026-01-12,0,0,0,29,1,TRUE,FALSE,"applied_mean"
"Sint Maarten","SXM",2024,"20260805",3,2024-01-15,34,NA,34,133,NA,FALSE,TRUE,"no_lookup_match"
"Sint Maarten","SXM",2025,"20260805",3,2025-01-13,0,NA,0,81,NA,FALSE,TRUE,"no_lookup_match"
"Suriname","SUR",2024,"20260805",3,2024-01-15,16,NA,16,133,NA,FALSE,TRUE,"no_lookup_match"
"Suriname","SUR",2025,"20260805",3,2025-01-13,43,NA,43,81,NA,FALSE,TRUE,"no_lookup_match"
"Suriname","SUR",2026,"20260805",3,2026-01-12,35,35,35,29,1,TRUE,FALSE,"applied_mean"
"Trinidad and Tobago","TTO",2025,"20260805",3,2025-01-13,0,NA,0,81,NA,FALSE,TRUE,"no_lookup_match"
"Trinidad and Tobago","TTO",2026,"20260805",3,2026-01-12,0,0,0,29,1,TRUE,FALSE,"applied_mean"
"Turks and Caicos Islands","TCA",2025,"20260805",3,2025-01-13,0,NA,0,81,NA,FALSE,TRUE,"no_lookup_match"
"Turks and Caicos Islands","TCA",2026,"20260805",3,2026-01-12,0,0,0,29,1,TRUE,FALSE,"applied_mean"
"Virgin Islands (UK)","VGB",2025,"20260805",3,2025-01-13,2,NA,2,81,NA,FALSE,TRUE,"no_lookup_match"
"Virgin Islands (UK)","VGB",2026,"20260805",3,2026-01-12,0,NA,0,29,NA,FALSE,TRUE,"no_lookup_match"
"Virgin Islands (US)","VIR",2024,"20260805",3,2024-01-15,0,NA,0,133,NA,FALSE,TRUE,"no_lookup_match"
"Virgin Islands (US)","VIR",2025,"20260805",3,2025-01-13,1,NA,1,81,NA,FALSE,TRUE,"no_lookup_match"
"Virgin Islands (US)","VIR",2026,"20260805",3,2026-01-12,0,NA,0,29,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2024,"20260805",40,2024-09-30,0,NA,0,96,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2025,"20260805",40,2025-09-29,0,NA,0,44,NA,FALSE,TRUE,"no_lookup_match"
"Canada","CAN",2026,"20260805",28,2026-07-06,0,NA,0,4,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2024,"20260805",40,2024-09-30,2084,NA,2084,96,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2025,"20260805",40,2025-09-29,813,NA,813,44,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2026,"20260805",28,2026-07-06,183,NA,183,4,NA,FALSE,TRUE,"no_lookup_match"
