"","country","iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion","Year","date","cases","source","Data_status","Predicted_total_seasonal_cases","cum_todate_cases_calendar","cum_todate_cases_season","percentile_most_recent","Country","Region"
"31","Aruba","ABW",6,12,0.81223113814222,171.4,171.4,1640.6,1,0.0847012449559612,2025,2025-06-01,4,"PAHO","Observed",4,10,NA,4.98134110271398,"Aruba","Caribbean"
"32","Aruba","ABW",3,9,1.75953824254189,205.8,205.8,1076.6,0.69499825280952,0.118120865626761,2025,2025-03-01,0,"WHO","Observed",0,2,NA,0.022630139383409,"Aruba","Caribbean"
"33","Aruba","ABW",12,6,1.4506825417704,206.8,206.8,547.2,0.393655092457932,0.131594164700566,2024,2024-12-01,NA,NA,"Unobserved",NA,NA,NA,0.0742775169092786,"Aruba","Caribbean"
"34","Aruba","ABW",1,7,1.64098296401805,154,154,701.2,0.481095159954636,0.0874400674967041,2024,2024-01-01,3,"PAHO","Observed",6,3,NA,0.971991922038854,"Aruba","Caribbean"
"35","Aruba","ABW",1,7,1.64098296401805,154,154,701.2,0.481095159954636,0.0874400674967041,2025,2025-01-01,0,"WHO","Observed",0,0,NA,0.0569828329559668,"Aruba","Caribbean"
"36","Aruba","ABW",2,8,1.6094291733833,169.6,169.6,870.8,0.576877387182758,0.0957822272281225,2025,2025-02-01,2,"PAHO","Observed",3,2,NA,0.388893535573364,"Aruba","Caribbean"
"37","Aruba","ABW",8,2,2.17033750433874,38.6,38.6,124.4,0.107772443584246,0.0261393756405375,2024,2024-08-01,0,"WHO","Observed",0,NA,26,0.171944038589479,"Aruba","Caribbean"
"38","Aruba","ABW",10,4,2.7607946259482,77.7999999999999,77.8,278.8,0.2144456968441,0.0538265486430809,2025,2025-10-01,NA,NA,"Unobserved",NA,NA,NA,0.00901962318383874,"Aruba","Caribbean"
"39","Aruba","ABW",4,10,1.86973432439432,154.6,154.6,1231.2,0.78491897745936,0.0899207246498398,2024,2024-04-01,NA,NA,"Unobserved",NA,NA,NA,0.0254187664290501,"Aruba","Caribbean"
"40","Aruba","ABW",11,5,2.6810404539349,61.6,61.6,340.4,0.262060927757366,0.0476152309132663,2025,2025-11-01,NA,NA,"Unobserved",NA,NA,NA,0.0199873520011009,"Aruba","Caribbean"
"41","Aruba","ABW",6,12,0.81223113814222,171.4,171.4,1640.6,1,0.0847012449559612,2024,2024-06-01,NA,NA,"Unobserved",NA,NA,NA,1.28954999672883,"Aruba","Caribbean"
"42","Aruba","ABW",11,5,2.6810404539349,61.6,61.6,340.4,0.262060927757366,0.0476152309132663,2024,2024-11-01,NA,NA,"Unobserved",NA,NA,NA,0.0199873520011009,"Aruba","Caribbean"
"43","Aruba","ABW",9,3,2.35578854914411,76.6000000000001,76.6,201,0.160619148201019,0.0528467046167724,2024,2024-09-01,3,"PAHO","Observed",19,NA,31,7.58861378078447,"Aruba","Caribbean"
"44","Aruba","ABW",3,9,1.75953824254189,205.8,205.8,1076.6,0.69499825280952,0.118120865626761,2024,2024-03-01,7,"PAHO","Observed",10,16,NA,0.95333134017993,"Aruba","Caribbean"
"45","Aruba","ABW",7,1,0.796844863733115,85.7999999999999,85.8,85.8,0.0816330679437089,0.0816330679437089,2025,2025-07-01,2,"PAHO","Observed",24,12,26,30.1717936943921,"Aruba","Caribbean"
"46","Aruba","ABW",9,3,2.35578854914411,76.6000000000001,76.6,201,0.160619148201019,0.0528467046167724,2025,2025-09-01,1344,"Estimates","Unobserved",8368,1358,1375,100,"Aruba","Caribbean"
"47","Aruba","ABW",8,2,2.17033750433874,38.6,38.6,124.4,0.107772443584246,0.0261393756405375,2025,2025-08-01,2,"PAHO","Observed",19,14,28,26.3056055885581,"Aruba","Caribbean"
"48","Aruba","ABW",4,10,1.86973432439432,154.6,154.6,1231.2,0.78491897745936,0.0899207246498398,2025,2025-04-01,2,"PAHO","Observed",3,4,NA,0.22379949452588,"Aruba","Caribbean"
"49","Australia","AUS",3,7,2.22358267030015,130.5,130.5,778.75,0.59947250409078,0.0956832988742222,2024,2024-03-01,190,"WHO","Observed",317,425,NA,96.0115385992122,"Australia","Pacific Islands"
"50","Australia","AUS",5,9,1.30412930872372,112.166666666667,112.166666666667,1011,0.76512794280231,0.0832344951126084,2025,2025-05-01,135,"WHO","Observed",176,1052,NA,79.9979410580751,"Australia","Pacific Islands"
"51","Australia","AUS",1,5,1089876.14655621,170.5,170.5,509.333333333333,0.405244526086728,0.124349127223473,2025,2025-01-01,283,"WHO","Observed",698,283,NA,100,"Australia","Pacific Islands"
"52","Australia","AUS",10,2,1530678.09731509,93.4999999999999,93.5,160.333333333333,0.134732508736457,0.0797334818613263,2024,2024-10-01,172,"WHO","Observed",1277,2040,1704,100,"Australia","Pacific Islands"
"53","Australia","AUS",9,1,774354.996955727,66.8333333333333,66.8333333333333,66.8333333333333,0.0549990268751304,0.0549990268751304,2025,2025-09-01,1398,"Estimates","Unobserved",25419,2835,1532,100,"Australia","Pacific Islands"
"54","Australia","AUS",4,8,1.36984835917909,120.083333333334,120.083333333333,898.833333333333,0.681893447689702,0.0824209435989217,2025,2025-04-01,194,"WHO","Observed",285,917,NA,92.5693698189846,"Australia","Pacific Islands"
"55","Australia","AUS",11,3,2.57776845341535,85.5833333333333,85.5833333333333,245.916666666667,0.208186952366661,0.0734544436302046,2024,2024-11-01,179,"WHO","Observed",860,2219,NA,99.9999999015605,"Australia","Pacific Islands"
"56","Australia","AUS",1,5,1089876.14655621,170.5,170.5,509.333333333333,0.405244526086728,0.124349127223473,2024,2024-01-01,132,"WHO","Observed",326,132,NA,100,"Australia","Pacific Islands"
"57","Australia","AUS",2,6,1.70095105063956,138.916666666666,138.916666666667,648.25,0.503789205216558,0.0985446791298301,2024,2024-02-01,103,"WHO","Observed",204,235,NA,78.4092337980823,"Australia","Pacific Islands"
"58","Australia","AUS",7,11,1.55746333914867,105.333333333333,105.333333333333,1208.83333333333,0.928937121754748,0.0900628866181923,2024,2024-07-01,213,"WHO","Observed",229,1586,NA,91.3271700443622,"Australia","Pacific Islands"
"59","Australia","AUS",8,12,1.43202396937069,78.8333333333332,78.8333333333333,1287.66666666667,1,0.0710628782452522,2024,2024-08-01,148,"WHO","Observed",148,1734,NA,86.5895418131685,"Australia","Pacific Islands"
"60","Australia","AUS",6,10,1.51774477198356,92.5,92.5,1103.5,0.838874235136555,0.0737462923342449,2024,2024-06-01,252,"WHO","Observed",300,1373,NA,97.9076949801608,"Australia","Pacific Islands"
"61","Australia","AUS",5,9,1.30412930872372,112.166666666667,112.166666666667,1011,0.76512794280231,0.0832344951126084,2024,2024-05-01,347,"WHO","Observed",454,1121,NA,98.9917983763987,"Australia","Pacific Islands"
"62","Australia","AUS",9,1,774354.996955727,66.8333333333333,66.8333333333333,66.8333333333333,0.0549990268751304,0.0549990268751304,2024,2024-09-01,134,"WHO","Observed",2436,1868,134,100,"Australia","Pacific Islands"
"63","Australia","AUS",2,6,1.70095105063956,138.916666666666,138.916666666667,648.25,0.503789205216558,0.0985446791298301,2025,2025-02-01,220,"WHO","Observed",437,503,NA,98.0697033081407,"Australia","Pacific Islands"
"64","Australia","AUS",3,7,2.22358267030015,130.5,130.5,778.75,0.59947250409078,0.0956832988742222,2025,2025-03-01,220,"WHO","Observed",367,723,NA,98.0062058236801,"Australia","Pacific Islands"
"65","Australia","AUS",11,3,2.57776845341535,85.5833333333333,85.5833333333333,245.916666666667,0.208186952366661,0.0734544436302046,2025,2025-11-01,NA,NA,"Unobserved",NA,NA,NA,0.0111075392484552,"Australia","Pacific Islands"
