country,iso3,Year,Month,date,cases,source
Antigua and Barbuda,ATG,2024,9,2024-09-01,12,PAHO
Antigua and Barbuda,ATG,2024,10,2024-10-01,NA,PAHO
Antigua and Barbuda,ATG,2024,11,2024-11-01,6,WHO
Antigua and Barbuda,ATG,2024,12,2024-12-01,NA,PAHO
Antigua and Barbuda,ATG,2025,1,2025-01-01,0,WHO
Antigua and Barbuda,ATG,2025,2,2025-02-01,0,WHO
Antigua and Barbuda,ATG,2025,3,2025-03-01,2,PAHO
Antigua and Barbuda,ATG,2025,4,2025-04-01,1,PAHO
Antigua and Barbuda,ATG,2025,5,2025-05-01,1,PAHO
Antigua and Barbuda,ATG,2025,6,2025-06-01,2,PAHO
Antigua and Barbuda,ATG,2025,7,2025-07-01,2,PAHO
Antigua and Barbuda,ATG,2025,8,2025-08-01,2,PAHO
Antigua and Barbuda,ATG,2025,9,2025-09-01,1,PAHO
Antigua and Barbuda,ATG,2025,10,2025-10-01,NA,NA
Antigua and Barbuda,ATG,2025,11,2025-11-01,NA,NA
Antigua and Barbuda,ATG,2025,12,2025-12-01,NA,NA
Argentina,ARG,2024,1,2024-01-01,32998,PAHO
Argentina,ARG,2024,2,2024-02-01,80049,PAHO
Argentina,ARG,2024,3,2024-03-01,229735,PAHO
Argentina,ARG,2024,4,2024-04-01,219578,PAHO
Argentina,ARG,2024,5,2024-05-01,18003,PAHO
Argentina,ARG,2024,6,2024-06-01,876,PAHO
Argentina,ARG,2024,7,2024-07-01,40,PAHO
Argentina,ARG,2024,8,2024-08-01,31,PAHO
Argentina,ARG,2024,9,2024-09-01,31,PAHO
Argentina,ARG,2024,10,2024-10-01,52,PAHO
Argentina,ARG,2024,11,2024-11-01,84,PAHO
Argentina,ARG,2024,12,2024-12-01,83,PAHO
Argentina,ARG,2025,1,2025-01-01,275,PAHO
Argentina,ARG,2025,2,2025-02-01,1340,PAHO
Argentina,ARG,2025,3,2025-03-01,8498,PAHO
Argentina,ARG,2025,4,2025-04-01,5483,PAHO
Argentina,ARG,2025,5,2025-05-01,1986,PAHO
Argentina,ARG,2025,6,2025-06-01,4558,PAHO
Argentina,ARG,2025,7,2025-07-01,17,PAHO
Argentina,ARG,2025,8,2025-08-01,4,PAHO
Argentina,ARG,2025,9,2025-09-01,1,PAHO
Argentina,ARG,2025,10,2025-10-01,NA,NA
Argentina,ARG,2025,11,2025-11-01,NA,NA
Argentina,ARG,2025,12,2025-12-01,NA,NA
Armenia,ARM,2024,1,2024-01-01,0,WHO
Armenia,ARM,2024,2,2024-02-01,0,WHO
Armenia,ARM,2024,3,2024-03-01,0,WHO
Armenia,ARM,2024,4,2024-04-01,0,WHO
Armenia,ARM,2024,5,2024-05-01,0,WHO
Armenia,ARM,2024,6,2024-06-01,0,WHO
Armenia,ARM,2024,7,2024-07-01,0,WHO
Armenia,ARM,2024,8,2024-08-01,0,WHO
Armenia,ARM,2024,9,2024-09-01,0,WHO
Armenia,ARM,2024,10,2024-10-01,0,WHO
Armenia,ARM,2024,11,2024-11-01,0,WHO
Armenia,ARM,2024,12,2024-12-01,0,WHO
Armenia,ARM,2025,1,2025-01-01,0,WHO
Armenia,ARM,2025,2,2025-02-01,0,WHO
Armenia,ARM,2025,3,2025-03-01,0,WHO
Armenia,ARM,2025,4,2025-04-01,0,WHO
Armenia,ARM,2025,5,2025-05-01,0,WHO
Armenia,ARM,2025,6,2025-06-01,0,WHO
Armenia,ARM,2025,7,2025-07-01,0,WHO
Armenia,ARM,2025,8,2025-08-01,0,WHO
Armenia,ARM,2025,9,2025-09-01,NA,NA
Armenia,ARM,2025,10,2025-10-01,NA,NA
Armenia,ARM,2025,11,2025-11-01,NA,NA
Armenia,ARM,2025,12,2025-12-01,NA,NA
Aruba,ABW,2024,1,2024-01-01,3,PAHO
Aruba,ABW,2024,2,2024-02-01,6,PAHO
Aruba,ABW,2024,3,2024-03-01,7,PAHO
Aruba,ABW,2024,4,2024-04-01,NA,PAHO
Aruba,ABW,2024,5,2024-05-01,41,WHO
Aruba,ABW,2024,6,2024-06-01,NA,PAHO
Aruba,ABW,2024,7,2024-07-01,24,WHO
Aruba,ABW,2024,8,2024-08-01,0,WHO
Aruba,ABW,2024,9,2024-09-01,3,PAHO
Aruba,ABW,2024,10,2024-10-01,4,PAHO
Aruba,ABW,2024,11,2024-11-01,NA,PAHO
Aruba,ABW,2024,12,2024-12-01,NA,PAHO
Aruba,ABW,2025,1,2025-01-01,0,WHO
Aruba,ABW,2025,2,2025-02-01,2,PAHO
Aruba,ABW,2025,3,2025-03-01,0,WHO
Aruba,ABW,2025,4,2025-04-01,2,PAHO
Aruba,ABW,2025,5,2025-05-01,2,PAHO
Aruba,ABW,2025,6,2025-06-01,4,PAHO
Aruba,ABW,2025,7,2025-07-01,2,PAHO
Aruba,ABW,2025,8,2025-08-01,2,PAHO
Aruba,ABW,2025,9,2025-09-01,NA,NA
Aruba,ABW,2025,10,2025-10-01,NA,NA
Aruba,ABW,2025,11,2025-11-01,NA,NA
Aruba,ABW,2025,12,2025-12-01,NA,NA
Australia,AUS,2024,1,2024-01-01,132,WHO
Australia,AUS,2024,2,2024-02-01,103,WHO
Australia,AUS,2024,3,2024-03-01,190,WHO
Australia,AUS,2024,4,2024-04-01,349,WHO
Australia,AUS,2024,5,2024-05-01,347,WHO
Australia,AUS,2024,6,2024-06-01,252,WHO
Australia,AUS,2024,7,2024-07-01,213,WHO
Australia,AUS,2024,8,2024-08-01,148,WHO
Australia,AUS,2024,9,2024-09-01,134,WHO
Australia,AUS,2024,10,2024-10-01,172,WHO
Australia,AUS,2024,11,2024-11-01,179,WHO
Australia,AUS,2024,12,2024-12-01,162,WHO
Australia,AUS,2025,1,2025-01-01,283,WHO
Australia,AUS,2025,2,2025-02-01,220,WHO
Australia,AUS,2025,3,2025-03-01,220,WHO
Australia,AUS,2025,4,2025-04-01,194,WHO
Australia,AUS,2025,5,2025-05-01,135,WHO
Australia,AUS,2025,6,2025-06-01,120,WHO
Australia,AUS,2025,7,2025-07-01,151,WHO
Australia,AUS,2025,8,2025-08-01,114,WHO
Australia,AUS,2025,9,2025-09-01,NA,NA
Australia,AUS,2025,10,2025-10-01,NA,NA
Australia,AUS,2025,11,2025-11-01,NA,NA
Australia,AUS,2025,12,2025-12-01,NA,NA
Austria,AUT,2024,1,2024-01-01,0,WHO
Austria,AUT,2024,2,2024-02-01,0,WHO
Austria,AUT,2024,3,2024-03-01,0,WHO
Austria,AUT,2024,4,2024-04-01,0,WHO
Austria,AUT,2024,5,2024-05-01,0,WHO
Austria,AUT,2024,6,2024-06-01,0,WHO
Austria,AUT,2024,7,2024-07-01,0,WHO
Austria,AUT,2024,8,2024-08-01,0,WHO
Austria,AUT,2024,9,2024-09-01,0,WHO
Austria,AUT,2024,10,2024-10-01,0,WHO
Austria,AUT,2024,11,2024-11-01,0,WHO
Austria,AUT,2024,12,2024-12-01,0,WHO
Austria,AUT,2025,1,2025-01-01,0,WHO
Austria,AUT,2025,2,2025-02-01,0,WHO
Austria,AUT,2025,3,2025-03-01,0,WHO
Austria,AUT,2025,4,2025-04-01,0,WHO
Austria,AUT,2025,5,2025-05-01,0,WHO
Austria,AUT,2025,6,2025-06-01,0,WHO
Austria,AUT,2025,7,2025-07-01,0,WHO
Austria,AUT,2025,8,2025-08-01,0,WHO
Austria,AUT,2025,9,2025-09-01,NA,NA
Austria,AUT,2025,10,2025-10-01,NA,NA
Austria,AUT,2025,11,2025-11-01,NA,NA
Austria,AUT,2025,12,2025-12-01,NA,NA
Autonomous Region of Madeira,MDR,2025,1,2025-01-01,2,WHO
Autonomous Region of Madeira,MDR,2025,2,2025-02-01,0,WHO
Autonomous Region of Madeira,MDR,2025,3,2025-03-01,0,WHO
Autonomous Region of Madeira,MDR,2025,4,2025-04-01,0,WHO
Autonomous Region of Madeira,MDR,2025,5,2025-05-01,NA,NA
Autonomous Region of Madeira,MDR,2025,6,2025-06-01,NA,NA
Autonomous Region of Madeira,MDR,2025,7,2025-07-01,NA,NA
Autonomous Region of Madeira,MDR,2025,8,2025-08-01,NA,NA
Autonomous Region of Madeira,MDR,2025,9,2025-09-01,NA,NA
Autonomous Region of Madeira,MDR,2025,10,2025-10-01,NA,NA
Autonomous Region of Madeira,MDR,2025,11,2025-11-01,NA,NA
Autonomous Region of Madeira,MDR,2025,12,2025-12-01,NA,NA
Azerbaijan,AZE,2024,1,2024-01-01,0,WHO
Azerbaijan,AZE,2024,2,2024-02-01,0,WHO
Azerbaijan,AZE,2024,3,2024-03-01,0,WHO
Azerbaijan,AZE,2024,4,2024-04-01,0,WHO
Azerbaijan,AZE,2024,5,2024-05-01,0,WHO
Azerbaijan,AZE,2024,6,2024-06-01,0,WHO
Azerbaijan,AZE,2024,7,2024-07-01,0,WHO
Azerbaijan,AZE,2024,8,2024-08-01,0,WHO
Azerbaijan,AZE,2024,9,2024-09-01,0,WHO
Azerbaijan,AZE,2024,10,2024-10-01,0,WHO
Azerbaijan,AZE,2024,11,2024-11-01,0,WHO
Azerbaijan,AZE,2024,12,2024-12-01,0,WHO
Azerbaijan,AZE,2025,1,2025-01-01,0,WHO
Azerbaijan,AZE,2025,2,2025-02-01,0,WHO
Azerbaijan,AZE,2025,3,2025-03-01,0,WHO
Azerbaijan,AZE,2025,4,2025-04-01,0,WHO
Azerbaijan,AZE,2025,5,2025-05-01,0,WHO
Azerbaijan,AZE,2025,6,2025-06-01,0,WHO
Azerbaijan,AZE,2025,7,2025-07-01,0,WHO
Azerbaijan,AZE,2025,8,2025-08-01,0,WHO
Azerbaijan,AZE,2025,9,2025-09-01,NA,NA
Azerbaijan,AZE,2025,10,2025-10-01,NA,NA
Azerbaijan,AZE,2025,11,2025-11-01,NA,NA
Azerbaijan,AZE,2025,12,2025-12-01,NA,NA
Bahamas,BHS,2024,1,2024-01-01,0,WHO
Bahamas,BHS,2024,2,2024-02-01,0,WHO
Bahamas,BHS,2024,3,2024-03-01,NA,WHO
Bahamas,BHS,2024,4,2024-04-01,NA,WHO
Bahamas,BHS,2024,5,2024-05-01,NA,WHO
Bahamas,BHS,2024,6,2024-06-01,NA,WHO
Bahamas,BHS,2024,7,2024-07-01,NA,WHO
Bahamas,BHS,2024,8,2024-08-01,NA,WHO
Bahamas,BHS,2024,9,2024-09-01,NA,WHO
Bahamas,BHS,2024,10,2024-10-01,NA,WHO
Bahamas,BHS,2024,11,2024-11-01,NA,WHO
Bahamas,BHS,2024,12,2024-12-01,NA,WHO
Bahamas,BHS,2025,1,2025-01-01,NA,WHO
Bahamas,BHS,2025,2,2025-02-01,NA,WHO
Bahamas,BHS,2025,3,2025-03-01,NA,WHO
Bahamas,BHS,2025,4,2025-04-01,NA,WHO
Bahamas,BHS,2025,5,2025-05-01,NA,WHO
Bahamas,BHS,2025,6,2025-06-01,NA,WHO
Bahamas,BHS,2025,7,2025-07-01,NA,WHO
Bahamas,BHS,2025,8,2025-08-01,NA,WHO
Bahamas,BHS,2025,9,2025-09-01,NA,NA
Bahamas,BHS,2025,10,2025-10-01,NA,NA
Bahamas,BHS,2025,11,2025-11-01,NA,NA
Bahamas,BHS,2025,12,2025-12-01,NA,NA
Bangladesh,BGD,2024,1,2024-01-01,1055,SEARO
Bangladesh,BGD,2024,2,2024-02-01,339,SEARO
Bangladesh,BGD,2024,3,2024-03-01,311,SEARO
Bangladesh,BGD,2024,4,2024-04-01,504,SEARO
Bangladesh,BGD,2024,5,2024-05-01,644,SEARO
Bangladesh,BGD,2024,6,2024-06-01,798,SEARO
Bangladesh,BGD,2024,7,2024-07-01,2669,SEARO
Bangladesh,BGD,2024,8,2024-08-01,6521,SEARO
Bangladesh,BGD,2024,9,2024-09-01,18097,SEARO
Bangladesh,BGD,2024,10,2024-10-01,30879,SEARO
Bangladesh,BGD,2024,11,2024-11-01,29652,SEARO
Bangladesh,BGD,2024,12,2024-12-01,9745,SEARO
Bangladesh,BGD,2025,1,2025-01-01,1161,SEARO
Bangladesh,BGD,2025,2,2025-02-01,374,SEARO
Bangladesh,BGD,2025,3,2025-03-01,336,SEARO
Bangladesh,BGD,2025,4,2025-04-01,701,SEARO
Bangladesh,BGD,2025,5,2025-05-01,1773,SEARO
Bangladesh,BGD,2025,6,2025-06-01,5951,SEARO
Bangladesh,BGD,2025,7,2025-07-01,10684,SEARO
Bangladesh,BGD,2025,8,2025-08-01,10496,SEARO
Bangladesh,BGD,2025,9,2025-09-01,15866,SEARO
Bangladesh,BGD,2025,10,2025-10-01,0,SEARO
Bangladesh,BGD,2025,11,2025-11-01,0,SEARO
Bangladesh,BGD,2025,12,2025-12-01,0,SEARO
Barbados,BRB,2024,1,2024-01-01,373,PAHO
Barbados,BRB,2024,2,2024-02-01,386,PAHO
Barbados,BRB,2024,3,2024-03-01,214,PAHO
Barbados,BRB,2024,4,2024-04-01,51,PAHO
Barbados,BRB,2024,5,2024-05-01,15,PAHO
Barbados,BRB,2024,6,2024-06-01,5,PAHO
Barbados,BRB,2024,7,2024-07-01,11,PAHO
Barbados,BRB,2024,8,2024-08-01,19,PAHO
Barbados,BRB,2024,9,2024-09-01,15,PAHO
Barbados,BRB,2024,10,2024-10-01,17,PAHO
Barbados,BRB,2024,11,2024-11-01,11,PAHO
Barbados,BRB,2024,12,2024-12-01,16,PAHO
Barbados,BRB,2025,1,2025-01-01,28,PAHO
Barbados,BRB,2025,2,2025-02-01,16,PAHO
Barbados,BRB,2025,3,2025-03-01,12,PAHO
Barbados,BRB,2025,4,2025-04-01,103,PAHO
Barbados,BRB,2025,5,2025-05-01,76,PAHO
Barbados,BRB,2025,6,2025-06-01,11,PAHO
Barbados,BRB,2025,7,2025-07-01,12,PAHO
Barbados,BRB,2025,8,2025-08-01,11,PAHO
Barbados,BRB,2025,9,2025-09-01,1,PAHO
Barbados,BRB,2025,10,2025-10-01,NA,NA
Barbados,BRB,2025,11,2025-11-01,NA,NA
Barbados,BRB,2025,12,2025-12-01,NA,NA
Belarus,BLR,2024,1,2024-01-01,0,WHO
Belarus,BLR,2024,2,2024-02-01,0,WHO
Belarus,BLR,2024,3,2024-03-01,0,WHO
Belarus,BLR,2024,4,2024-04-01,0,WHO
Belarus,BLR,2024,5,2024-05-01,0,WHO
Belarus,BLR,2024,6,2024-06-01,0,WHO
Belarus,BLR,2024,7,2024-07-01,0,WHO
Belarus,BLR,2024,8,2024-08-01,0,WHO
Belarus,BLR,2024,9,2024-09-01,0,WHO
Belarus,BLR,2024,10,2024-10-01,0,WHO
Belarus,BLR,2024,11,2024-11-01,0,WHO
Belarus,BLR,2024,12,2024-12-01,0,WHO
Belarus,BLR,2025,1,2025-01-01,0,WHO
Belarus,BLR,2025,2,2025-02-01,0,WHO
Belarus,BLR,2025,3,2025-03-01,0,WHO
Belarus,BLR,2025,4,2025-04-01,0,WHO
Belarus,BLR,2025,5,2025-05-01,0,WHO
Belarus,BLR,2025,6,2025-06-01,0,WHO
Belarus,BLR,2025,7,2025-07-01,0,WHO
Belarus,BLR,2025,8,2025-08-01,0,WHO
Belarus,BLR,2025,9,2025-09-01,NA,NA
Belarus,BLR,2025,10,2025-10-01,NA,NA
Belarus,BLR,2025,11,2025-11-01,NA,NA
Belarus,BLR,2025,12,2025-12-01,NA,NA
Belgium,BEL,2024,1,2024-01-01,0,WHO
Belgium,BEL,2024,2,2024-02-01,0,WHO
Belgium,BEL,2024,3,2024-03-01,0,WHO
Belgium,BEL,2024,4,2024-04-01,0,WHO
Belgium,BEL,2024,5,2024-05-01,0,WHO
Belgium,BEL,2024,6,2024-06-01,0,WHO
Belgium,BEL,2024,7,2024-07-01,0,WHO
Belgium,BEL,2024,8,2024-08-01,0,WHO
Belgium,BEL,2024,9,2024-09-01,0,WHO
Belgium,BEL,2024,10,2024-10-01,0,WHO
Belgium,BEL,2024,11,2024-11-01,0,WHO
Belgium,BEL,2024,12,2024-12-01,0,WHO
Belgium,BEL,2025,1,2025-01-01,0,WHO
Belgium,BEL,2025,2,2025-02-01,0,WHO
Belgium,BEL,2025,3,2025-03-01,0,WHO
Belgium,BEL,2025,4,2025-04-01,0,WHO
Belgium,BEL,2025,5,2025-05-01,0,WHO
Belgium,BEL,2025,6,2025-06-01,0,WHO
Belgium,BEL,2025,7,2025-07-01,0,WHO
Belgium,BEL,2025,8,2025-08-01,0,WHO
Belgium,BEL,2025,9,2025-09-01,NA,NA
Belgium,BEL,2025,10,2025-10-01,NA,NA
Belgium,BEL,2025,11,2025-11-01,NA,NA
Belgium,BEL,2025,12,2025-12-01,NA,NA
Belize,BLZ,2024,1,2024-01-01,73,PAHO
Belize,BLZ,2024,2,2024-02-01,72,PAHO
Belize,BLZ,2024,3,2024-03-01,39,PAHO
Belize,BLZ,2024,4,2024-04-01,53,PAHO
Belize,BLZ,2024,5,2024-05-01,66,PAHO
Belize,BLZ,2024,6,2024-06-01,71,PAHO
Belize,BLZ,2024,7,2024-07-01,147,PAHO
Belize,BLZ,2024,8,2024-08-01,315,PAHO
Belize,BLZ,2024,9,2024-09-01,180,PAHO
Belize,BLZ,2024,10,2024-10-01,78,PAHO
Belize,BLZ,2024,11,2024-11-01,54,PAHO
Belize,BLZ,2024,12,2024-12-01,NA,PAHO
Belize,BLZ,2025,1,2025-01-01,54,PAHO
Belize,BLZ,2025,2,2025-02-01,57,PAHO
Belize,BLZ,2025,3,2025-03-01,99,PAHO
Belize,BLZ,2025,4,2025-04-01,56,PAHO
Belize,BLZ,2025,5,2025-05-01,71,PAHO
Belize,BLZ,2025,6,2025-06-01,129,PAHO
Belize,BLZ,2025,7,2025-07-01,294,PAHO
Belize,BLZ,2025,8,2025-08-01,574,PAHO
Belize,BLZ,2025,9,2025-09-01,607,PAHO
Belize,BLZ,2025,10,2025-10-01,NA,NA
Belize,BLZ,2025,11,2025-11-01,NA,NA
Belize,BLZ,2025,12,2025-12-01,NA,NA
Benin,BEN,2024,1,2024-01-01,3,WHO
Benin,BEN,2024,2,2024-02-01,1,WHO
Benin,BEN,2024,3,2024-03-01,0,WHO
Benin,BEN,2024,4,2024-04-01,0,WHO
Benin,BEN,2024,5,2024-05-01,0,WHO
Benin,BEN,2024,6,2024-06-01,9,WHO
Benin,BEN,2024,7,2024-07-01,11,WHO
Benin,BEN,2024,8,2024-08-01,5,WHO
Benin,BEN,2024,9,2024-09-01,2,WHO
Benin,BEN,2024,10,2024-10-01,5,WHO
Benin,BEN,2024,11,2024-11-01,4,WHO
Benin,BEN,2024,12,2024-12-01,1,WHO
Benin,BEN,2025,1,2025-01-01,0,WHO
Benin,BEN,2025,2,2025-02-01,3,WHO
Benin,BEN,2025,3,2025-03-01,1,WHO
Benin,BEN,2025,4,2025-04-01,0,WHO
Benin,BEN,2025,5,2025-05-01,3,WHO
Benin,BEN,2025,6,2025-06-01,13,WHO
Benin,BEN,2025,7,2025-07-01,28,WHO
Benin,BEN,2025,8,2025-08-01,17,WHO
Benin,BEN,2025,9,2025-09-01,NA,NA
Benin,BEN,2025,10,2025-10-01,NA,NA
Benin,BEN,2025,11,2025-11-01,NA,NA
Benin,BEN,2025,12,2025-12-01,NA,NA
Bermuda,BMU,2024,1,2024-01-01,0,WHO
Bermuda,BMU,2024,2,2024-02-01,0,WHO
Bermuda,BMU,2024,3,2024-03-01,0,WHO
Bermuda,BMU,2024,4,2024-04-01,0,WHO
Bermuda,BMU,2024,5,2024-05-01,0,WHO
Bermuda,BMU,2024,6,2024-06-01,0,WHO
Bermuda,BMU,2024,7,2024-07-01,0,WHO
Bermuda,BMU,2024,8,2024-08-01,1,PAHO
Bermuda,BMU,2024,9,2024-09-01,0,WHO
Bermuda,BMU,2024,10,2024-10-01,0,WHO
Bermuda,BMU,2024,11,2024-11-01,NA,PAHO
Bermuda,BMU,2024,12,2024-12-01,2,WHO
Bermuda,BMU,2025,1,2025-01-01,0,WHO
Bermuda,BMU,2025,2,2025-02-01,0,WHO
Bermuda,BMU,2025,3,2025-03-01,0,WHO
Bermuda,BMU,2025,4,2025-04-01,0,WHO
Bermuda,BMU,2025,5,2025-05-01,0,WHO
Bermuda,BMU,2025,6,2025-06-01,0,WHO
Bermuda,BMU,2025,7,2025-07-01,0,WHO
Bermuda,BMU,2025,8,2025-08-01,0,WHO
Bermuda,BMU,2025,9,2025-09-01,1,PAHO
Bermuda,BMU,2025,10,2025-10-01,NA,NA
Bermuda,BMU,2025,11,2025-11-01,NA,NA
Bermuda,BMU,2025,12,2025-12-01,NA,NA
Bhutan,BTN,2024,1,2024-01-01,0,SEARO
Bhutan,BTN,2024,2,2024-02-01,0,SEARO
Bhutan,BTN,2024,3,2024-03-01,0,SEARO
Bhutan,BTN,2024,4,2024-04-01,0,SEARO
Bhutan,BTN,2024,5,2024-05-01,0,SEARO
