"country","iso3","Month","season_nMonth","nb_size","nb_mean","nb_size_cum","nb_mean_cum","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion"
"Afghanistan","AFG",3,1,NA,NA,NA,NA,59,59,0.0233979007687808,0.0233979007687808
"Afghanistan","AFG",4,2,NA,NA,NA,NA,51,110,0.0469301881103859,0.0235322873416051
"Afghanistan","AFG",5,3,NA,NA,NA,NA,89.75,199.75,0.080974882475635,0.0340446943652492
"Afghanistan","AFG",6,4,1.3973137169989,58.5000000000001,0.772975569548341,258.25,58.5,258.25,0.106479491385096,0.0255046089094608
"Afghanistan","AFG",7,5,1.80810912105388,148,1.15612092221542,406.25,148,406.25,0.174337596278207,0.0678581048931113
"Afghanistan","AFG",8,6,0.892414914753293,195.25,1.0662679468741,601.499999999999,195.25,601.5,0.248179927506188,0.0738423312279805
"Afghanistan","AFG",9,7,1.33083729590096,163.75,1.17167546334182,765.249999999999,163.75,765.25,0.315286499914261,0.067106572408073
"Afghanistan","AFG",10,8,1.78527245958834,516,1.67574768692177,1281.25,516,1281.25,0.553305286789526,0.238018786875265
"Afghanistan","AFG",11,9,2.66368331840098,414.5,1.98466117476237,1695.75,414.5,1695.75,0.767919143046552,0.214613856257026
"Afghanistan","AFG",12,10,11.5956210737145,207.25,2.27858117609007,1903,207.25,1903,0.891590506093973,0.123671363047421
"Afghanistan","AFG",1,11,2.42958159602125,114,2.52647571017742,2017,114,2017,0.96483390415282,0.0732433980588468
"Afghanistan","AFG",2,12,0.361437970830766,65.5,2.58229629420537,2082.5,65.5,2082.5,1,0.0351660958471802
"Antigua & Barbuda","ATG",4,1,0.64039009288843,4.875,0.64039009288843,4.875,4.875,4.875,0.0218752733053452,0.0218752733053452
"Antigua & Barbuda","ATG",5,2,0.670426344697858,8.5,0.608328230966742,13.375,8.5,13.375,0.0613307898012109,0.0394555164958657
"Antigua & Barbuda","ATG",6,3,0.702281793228583,7.375,0.58898568543905,20.75,7.375,20.75,0.0947922827367588,0.0334614929355479
"Antigua & Barbuda","ATG",7,4,0.58169039685263,9.625,0.547033319116655,30.375,9.625,30.375,0.13352235778922,0.0387300750524609
"Antigua & Barbuda","ATG",8,5,0.630933591855899,17.125,0.613511321479911,47.5,17.125,47.5,0.198523179149873,0.065000821360653
"Antigua & Barbuda","ATG",9,6,0.561840035278288,20.125,0.603803970936885,67.625,20.125,67.625,0.266056373108688,0.0675331939588151
"Antigua & Barbuda","ATG",10,7,0.504411376715252,27.75,0.576197536387566,95.3750000000002,27.75,95.375,0.351172019278287,0.0851156461695991
"Antigua & Barbuda","ATG",11,8,0.450967874525964,36.25,0.542601258446713,131.625,36.25,131.625,0.449785139663828,0.0986131203855415
"Antigua & Barbuda","ATG",12,9,0.439544441890894,53.375,0.515299847794874,185,53.375,185,0.577234467621855,0.127449327958027
"Antigua & Barbuda","ATG",1,10,0.327218840715795,53,0.707047399815856,238,53,238,0.77320172346974,0.195967255847884
"Antigua & Barbuda","ATG",2,11,0.552853587482319,25.375,0.772342853495662,263.375,25.375,263.375,0.90062660524776,0.127424881778021
"Antigua & Barbuda","ATG",3,12,0.73698289844142,17,0.816444938781167,280.375,17,280.375,1,0.0993733947522397
"Argentina","ARG",8,1,0.476601053026123,50.3125,0.476601053026123,50.3125,50.3125,50.3125,0.012734566524394,0.012734566524394
"Argentina","ARG",9,2,0.268433831042404,123.1875,0.350716388411559,173.5,123.1875,173.5,0.0235669877669815,0.0108324212425875
"Argentina","ARG",10,3,0.395345627430189,95.8749999999999,0.364558592213496,269.375,95.875,269.375,0.0456486872816442,0.0220816995146628
"Argentina","ARG",11,4,0.366171184468913,158.5625,0.408130076374531,427.9375,158.5625,427.9375,0.0709099320126877,0.0252612447310434
"Argentina","ARG",12,5,0.201546059613561,1607.9375,0.278430583622534,2035.875,1607.9375,2035.875,0.136122349849464,0.0652124178367765
"Argentina","ARG",1,6,0.244958895095962,2533.125,0.291879269665576,4569,2533.125,4569,0.171749521737053,0.0356271718875884
"Argentina","ARG",2,7,0.247380887384525,6903.62499999998,0.291376662117097,11472.625,6903.625,11472.625,0.258746857399719,0.0869973356626666
"Argentina","ARG",3,8,0.242936133973905,23878.4374999999,0.272577481362492,35351.0624999999,23878.4375,35351.0625,0.503156037002557,0.244409179602838
"Argentina","ARG",4,9,0.292006173319543,16448.4375,0.287707983753731,51799.5,16448.4375,51799.5,0.786568374412015,0.283412337409458
"Argentina","ARG",5,10,0.403399680117145,4240.8125,0.300876899333099,56040.3124999999,4240.8125,56040.3125,0.952204086188305,0.16563571177629
"Argentina","ARG",6,11,0.341034934709604,883.437500000001,0.303249079729656,56923.7499999998,883.4375,56923.75,0.986954697533987,0.0347506113456826
