iso3,country,region,first_date,last_date,n_months,n_observed,n_corrected,n_estimated,span_years,pct_estimated,n_complete_seasons,first_season,last_season,n_gap_months,total_cases,mean_monthly_cases,median_monthly_cases,max_monthly_cases,cv_monthly,zero_month_fraction,seasonal_concentration,top3_month_share,peak_month,peak_to_trough_ratio,seasonality_signal,endemicity,strata_provisional
KIR,Kiribati,Pacific Islands,2011-04-01,2026-07-01,100,97,0,3,15.249828884325805,0.03,8,2011/2012,2025/2026,84,4778,47.78000000000002,3.5,494,1.8419851868271742,0.36,0.11709103436675075,0.467908390787781,7,6.707865168539326,moderate,emerging,TRUE
PLW,Palau,Pacific Islands,2010-04-01,2026-07-01,103,94,6,3,16.249144421629023,0.02912621359223301,8,2010/2011,2025/2026,93,3989,38.7281553398058,8,316,1.6875014280912095,0.14563106796116504,0.08591779204605644,0.30339780984425313,8,3.8333333333333335,weak,emerging,TRUE
VUT,Vanuatu,Pacific Islands,2010-11-01,2026-07-01,117,104,10,3,15.663244353182751,0.02564102564102564,9,2010/2011,2024/2025,72,3663,31.3076923076923,4,1070,4.500685808017462,0.18803418803418803,0.09393441363740586,0.36499474318231995,10,27.350000000000126,weak,emerging,TRUE
WLF,Wallis And Futuna,Pacific Islands,2017-06-01,2026-07-01,110,97,10,3,9.08145106091718,0.02727272727272727,9,2017/2018,2025/2026,0,2776,25.236363636363627,7,528,3.040527630585771,0.045454545454545456,0.09295039672663656,0.361224008165923,8,10.649122807017545,weak,emerging,TRUE
TUV,Tuvalu,Pacific Islands,2018-04-01,2026-07-01,67,62,1,4,8.24914442162902,0.05970149253731343,5,2018/2019,2025/2026,33,1093,16.313432835820898,2,201,2.32991146598552,0.3283582089552239,0.18153569985135246,0.6652516209732979,8,39.18181818181818,strong,emerging,TRUE
BRA,Brazil,South America,2010-10-01,2026-07-01,190,178,12,0,15.748117727583846,0,15,2010/2011,2024/2025,0,33793605,177861.07894736828,73830,2899042,1.8567226201358327,0,0.14031504044510631,0.558739605345705,3,14.121401917168242,strong,endemic,TRUE
COL,Colombia,South America,2010-02-01,2026-07-01,198,186,11,1,16.410677618069816,0.005050505050505051,16,2010/2011,2025/2026,0,1704704,8609.616161616157,7401,42877,0.7778708666370799,0,0.08443793636876702,0.2867954315758851,5,1.4736528278378498,weak,endemic,TRUE
PER,Peru,South America,2010-09-01,2026-07-01,191,179,11,1,15.83025325119781,0.005235602094240838,15,2010/2011,2024/2025,0,1079204,5650.282722513098,2382,92101,2.058990794314298,0,0.10148439138386242,0.398732715372105,5,6.588067669444162,moderate,endemic,TRUE
PRY,Paraguay,South America,2010-07-01,2026-07-01,193,181,11,1,16,0.0051813471502590676,16,2010/2011,2025/2026,0,1074131,5565.445595854922,1547,108020,2.541564343403597,0,0.10227786729186215,0.432732958166517,2,13.97200295303538,moderate,endemic,TRUE
ARG,Argentina,South America,2010-08-01,2026-07-01,192,181,10,1,15.915126625598905,0.005208333333333333,16,2010/2011,2025/2026,0,918067,4781.598958333339,112,300928,5.326967379947095,0.03125,0.18404574985933478,0.695971922953522,3,478.28160200250346,strong,endemic,TRUE
BOL,Bolivia,South America,2010-08-01,2026-07-01,192,180,11,1,15.915126625598905,0.005208333333333333,16,2010/2011,2025/2026,0,765740,3988.229166666666,1548.5,43813,1.7223504041519386,0,0.12608526196171968,0.508150096679339,3,18.614430379746825,strong,endemic,TRUE
VEN,Venezuela,South America,2010-04-01,2026-07-01,187,186,0,1,16.249144421629023,0.0053475935828877,15,2010/2011,2025/2026,9,517058,2765.016042780752,1761,10715,0.9393187606910668,0.0374331550802139,0.08622826031773238,0.3142735779545077,1,2.1118757521058966,weak,endemic,TRUE
ECU,Ecuador,South America,2010-11-01,2026-07-01,189,177,11,1,15.663244353182751,0.005291005291005291,15,2010/2011,2024/2025,0,343134,1815.5238095238087,1253,14196,1.0512960781219507,0,0.09678304550614672,0.384224395267136,5,4.154286676772776,weak,endemic,TRUE
GUY,Guyana,South America,2010-01-01,2026-07-01,187,175,11,1,16.49555099247091,0.0053475935828877,15,2010/2011,2025/2026,12,226368,1210.5240641711202,125,12233,1.9404163973673643,0,0.08538930344881028,0.2995454366437848,6,2.241715399610136,weak,endemic,TRUE
GUF,French Guiana,South America,2010-10-01,2026-07-01,175,163,5,7,15.748117727583846,0.04,13,2010/2011,2023/2024,15,54162,309.497142857143,51,4876,2.0816539048670593,0.12,0.09184215312634456,0.3736674405575394,1,5.299287410926343,weak,emerging,TRUE
URY,Uruguay,South America,2015-04-01,2026-07-01,76,66,9,1,11.249828884325805,0.013157894736842105,6,2015/2016,2025/2026,60,2442,32.13157894736841,1,941,3.9053518655542363,0.3026315789473684,0.17702088076801878,0.688867431759799,2,104.45454545454545,strong,emerging,TRUE
SUR,Suriname,South America,2010-04-01,2026-07-01,136,124,10,2,16.249144421629023,0.014705882352941176,11,2010/2011,2025/2026,60,4245,31.213235294117645,11.5,289,1.5255006074621236,0.18382352941176472,0.12430670955552893,0.525044425441466,2,6.580645161290309,strong,emerging,TRUE
CHL,Chile,South America,2012-04-01,2026-07-01,55,44,10,1,14.247775496235455,0.01818181818181818,4,2012/2013,2025/2026,117,141,2.5636363636363644,1,15,1.4278222652001376,0.2545454545454545,0.19392107447788132,0.6981231231231231,4,13,strong,emerging,TRUE
IND,India,South Asia,2010-04-01,2026-07-01,196,195,0,1,16.249144421629023,0.00510204081632653,16,2010/2011,2025/2026,0,2033291,10373.933673469377,5963.5,58503,1.0498146531575205,0,0.11673252595713234,0.485282183368844,10,10.159618379099829,moderate,endemic,TRUE
LKA,Sri Lanka,South Asia,2010-02-01,2026-07-01,198,196,0,2,16.410677618069816,0.010101010101010102,16,2010/2011,2025/2026,0,989293,4996.429292929291,3765,49349,0.9417365731051204,0,0.09131260344034936,0.3599145861043772,7,2.927321668909825,weak,endemic,TRUE
PAK,Pakistan,South Asia,2010-03-01,2026-07-01,197,185,11,1,16.334017796030118,0.005076142131979695,16,2010/2011,2025/2026,0,791234,4016.4162436548186,917,86881,2.354034260712517,0.02030456852791878,0.16789292874997533,0.628507131958955,9,25.644739781103418,strong,endemic,TRUE
BGD,Bangladesh,South Asia,2010-03-01,2026-07-01,197,196,0,1,16.334017796030118,0.005076142131979695,16,2010/2011,2025/2026,0,767075,3893.7817258883306,183,81164,2.9634357798006095,0.1218274111675127,0.175449578942933,0.643148536036392,8,184.71661237785017,strong,emerging,TRUE
NPL,Nepal,South Asia,2010-03-01,2026-07-01,197,196,0,1,16.334017796030118,0.005076142131979695,16,2010/2011,2025/2026,0,194360,986.5989847715756,50,27529,3.272823049383047,0.04568527918781726,0.16837804933421946,0.6417436217249131,9,61.50274223034735,strong,endemic,TRUE
AFG,Afghanistan,South Asia,2021-03-01,2026-07-01,65,53,10,2,5.333333333333333,0.03076923076923077,5,2021/2022,2025/2026,0,14118,217.20000000000007,153,1766,1.371193642953538,0.06153846153846154,0.1459741117222678,0.59130702389488,10,10.477386934673367,strong,emerging,TRUE
MDV,Maldives,South Asia,2010-02-01,2026-07-01,198,195,0,3,16.410677618069816,0.015151515151515152,16,2010/2011,2025/2026,0,38068,192.2626262626262,152,700,0.8158463268827927,0,0.09190277763850505,0.371510632595435,7,2.861904761904762,weak,endemic,TRUE
BTN,Bhutan,South Asia,2010-03-01,2026-07-01,149,148,0,1,16.334017796030118,0.006711409395973154,12,2010/2011,2025/2026,48,10143,68.0738255033557,27,769,1.9657093901438347,0.04697986577181208,0.09882653280866077,0.391925868274538,8,4.897009966777402,moderate,endemic,TRUE
BFA,Burkina Faso,Sub-Saharan Africa,2015-05-01,2026-07-01,87,75,11,1,11.16769336071184,0.011494252873563218,7,2015/2016,2025/2026,48,404340,4647.586206896552,380,101090,2.9848150861672056,0.12643678160919541,0.20837481004739505,0.677246863316125,10,34.39603481624764,strong,emerging,TRUE
ETH,Ethiopia,Sub-Saharan Africa,2013-05-01,2026-07-01,43,30,11,2,13.166324435318275,0.046511627906976744,3,2013/2014,2025/2026,116,43784,1018.2325581395352,168,7264,1.7564415446808026,0.11627906976744186,0.20468383974067025,0.6819946486626172,10,59.95594713656389,strong,emerging,TRUE
ERI,Eritrea,Sub-Saharan Africa,2010-07-01,2026-07-01,79,63,7,9,16,0.11392405063291139,6,2010/2011,2025/2026,114,68392,865.7215189873415,850,3493,0.702785174422996,0.012658227848101266,0.08818170996161505,0.3237418780290874,11,2.2625516834022443,weak,emerging,TRUE
REU,Reunion,Sub-Saharan Africa,2010-11-01,2026-07-01,129,117,11,1,15.663244353182751,0.007751937984496124,10,2010/2011,2024/2025,60,74029,573.8682170542637,25,10944,2.808687748147844,0.13953488372093023,0.17142708088475642,0.651429997923729,5,90.52631578947368,strong,emerging,TRUE
KEN,Kenya,Sub-Saharan Africa,2013-03-01,2026-07-01,89,75,11,3,13.333333333333334,0.033707865168539325,7,2013/2014,2025/2026,72,24623,276.66292134831497,64,2825,1.6850197561251608,0.1348314606741573,0.11249426564718873,0.44351566948951104,1,20.3833333333333,moderate,emerging,TRUE
