"country","iso3","year","ext_date","EW","onset_date","total_den","total_corrected_cases","total_applied_cases","d","rf","correction_applied","correction_excluded","correction_reason"
"Canada","CAN",2026,"20260911",10,2026-03-02,0,NA,0,28,NA,FALSE,TRUE,"no_lookup_match"
"United States of America","USA",2026,"20260911",10,2026-03-02,54,NA,54,28,NA,FALSE,TRUE,"no_lookup_match"
"Belize","BLZ",2026,"20260911",10,2026-03-02,263,NA,263,28,NA,FALSE,TRUE,"country_excluded"
"Costa Rica","CRI",2026,"20260911",10,2026-03-02,429,435,435,28,1.01307517877177,TRUE,FALSE,"applied_mean"
"El Salvador","SLV",2026,"20260911",10,2026-03-02,1196,1196,1196,28,1,TRUE,FALSE,"applied_mean"
"Guatemala","GTM",2026,"20260911",10,2026-03-02,6358,7705,7705,28,1.21183362597514,TRUE,FALSE,"applied_mean"
"Honduras","HND",2026,"20260911",10,2026-03-02,1896,1896,1896,28,1,TRUE,FALSE,"applied_mean"
"Mexico","MEX",2026,"20260911",10,2026-03-02,12100,12092,12092,28,0.999321798262295,TRUE,FALSE,"applied_mean"
"Panama","PAN",2026,"20260911",10,2026-03-02,1953,1901,1901,28,0.973488594838747,TRUE,FALSE,"applied_mean"
"Bolivia","BOL",2026,"20260911",10,2026-03-02,34585,37160,37160,28,1.07445150269714,TRUE,FALSE,"applied_mean"
"Colombia","COL",2026,"20260911",10,2026-03-02,23111,23111,23111,28,1,TRUE,FALSE,"applied_mean"
"Ecuador","ECU",2026,"20260911",10,2026-03-02,4565,4574,4574,28,1.0020703481719,TRUE,FALSE,"applied_mean"
"Peru","PER",2026,"20260911",10,2026-03-02,5754,5625,5625,28,0.977556552934325,TRUE,FALSE,"applied_mean"
"Venezuela","VEN",2026,"20260911",10,2026-03-02,4089,NA,4089,28,NA,FALSE,TRUE,"no_lookup_match"
"Argentina","ARG",2026,"20260911",10,2026-03-02,22,26,26,28,1.17996604230208,TRUE,FALSE,"applied_mean"
"Brazil","BRA",2026,"20260911",10,2026-03-02,403099,400508,400508,28,0.993572060567943,TRUE,FALSE,"applied_mean"
"Chile","CHL",2026,"20260911",10,2026-03-02,14,NA,14,28,NA,FALSE,TRUE,"no_lookup_match"
"Paraguay","PRY",2026,"20260911",10,2026-03-02,5105,5097,5097,28,0.998443649700154,TRUE,FALSE,"applied_mean"
"Uruguay","URY",2026,"20260911",10,2026-03-02,0,0,0,28,1,TRUE,FALSE,"applied_mean"
"Cuba","CUB",2026,"20260911",10,2026-03-02,912,NA,912,28,NA,FALSE,TRUE,"no_lookup_match"
"Dominican Republic","DOM",2026,"20260911",10,2026-03-02,238,238,238,28,1,TRUE,FALSE,"applied_mean"
"Puerto Rico","PRI",2026,"20260911",10,2026-03-02,391,391,391,28,1,TRUE,FALSE,"applied_mean"
"Anguilla","AIA",2026,"20260911",10,2026-03-02,0,0,0,28,1,TRUE,FALSE,"applied_mean"
"Antigua and Barbuda","ATG",2026,"20260911",10,2026-03-02,4,4,4,28,1,TRUE,FALSE,"applied_mean"
"Bahamas","BHS",2026,"20260911",10,2026-03-02,0,0,0,28,1,TRUE,FALSE,"applied_mean"
"Barbados","BRB",2026,"20260911",10,2026-03-02,24,22,22,28,0.904639046214473,TRUE,FALSE,"applied_mean"
"Bermuda","BMU",2026,"20260911",10,2026-03-02,1,NA,1,28,NA,FALSE,TRUE,"no_lookup_match"
"Cayman Islands","CYM",2026,"20260911",10,2026-03-02,0,0,0,28,1,TRUE,FALSE,"applied_mean"
"French Guiana","GUF",2026,"20260911",10,2026-03-02,4,4,4,28,1,TRUE,FALSE,"applied_mean"
"Grenada","GRD",2026,"20260911",10,2026-03-02,33,33,33,28,1,TRUE,FALSE,"applied_mean"
"Guadeloupe","GLP",2026,"20260911",10,2026-03-02,188,188,188,28,1,TRUE,FALSE,"applied_mean"
"Guyana","GUY",2026,"20260911",10,2026-03-02,20922,21728,21728,28,1.03850087348859,TRUE,FALSE,"applied_mean"
"Jamaica","JAM",2026,"20260911",10,2026-03-02,64,64,64,28,1,TRUE,FALSE,"applied_mean"
"Martinique","MTQ",2026,"20260911",10,2026-03-02,680,680,680,28,1,TRUE,FALSE,"applied_mean"
"Montserrat","MSR",2026,"20260911",10,2026-03-02,0,0,0,28,1,TRUE,FALSE,"applied_mean"
"Saint Barthelemy","BLM",2026,"20260911",10,2026-03-02,0,0,0,28,1,TRUE,FALSE,"applied_mean"
"Saint Kitts and Nevis","KNA",2026,"20260911",10,2026-03-02,6,6,6,28,1.01115704137224,TRUE,FALSE,"applied_mean"
"Saint Lucia","LCA",2026,"20260911",10,2026-03-02,1,1,1,28,1,TRUE,FALSE,"applied_mean"
"Saint Martin",NA,2026,"20260911",10,2026-03-02,4,NA,4,28,NA,FALSE,TRUE,"no_lookup_match"
"Saint Vincent and the Grenadines","VCT",2026,"20260911",10,2026-03-02,2,2,2,28,1,TRUE,FALSE,"applied_mean"
"Suriname","SUR",2026,"20260911",10,2026-03-02,300,300,300,28,1,TRUE,FALSE,"applied_mean"
