iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90
BRN,2026-07-01,4,2026-11-01,38,33,39,16,124
BRN,2026-07-01,5,2026-12-01,38,35,52,13,127
BRN,2026-07-01,6,2027-01-01,37,32,49,5,599
BTN,2026-07-01,1,2026-08-01,17,17,20,16,31
BTN,2026-07-01,2,2026-09-01,16,16,17,9,22
BTN,2026-07-01,3,2026-10-01,16,14,16,6,21
BTN,2026-07-01,4,2026-11-01,12,12,14,12,19
BTN,2026-07-01,5,2026-12-01,10,10,12,7,18
BTN,2026-07-01,6,2027-01-01,4,1,7,0,3889
CHL,2026-07-01,1,2026-08-01,0,0,0,0,0
CHL,2026-07-01,2,2026-09-01,0,0,0,0,0
CHL,2026-07-01,3,2026-10-01,0,0,0,0,0
CHL,2026-07-01,4,2026-11-01,0,0,0,0,0
CHL,2026-07-01,5,2026-12-01,0,0,0,0,0
CHL,2026-07-01,6,2027-01-01,1,0,1,0,1
CHN,2026-07-01,1,2026-08-01,1463,1237,1905,833,2355
CHN,2026-07-01,2,2026-09-01,2489,1860,2968,1762,4149
CHN,2026-07-01,3,2026-10-01,2757,2346,3315,1266,8783
CHN,2026-07-01,4,2026-11-01,849,638,1312,545,4085
CHN,2026-07-01,5,2026-12-01,110,77,277,24,426
CHN,2026-07-01,6,2027-01-01,6,0,54,0,248
CIV,2026-07-01,1,2026-08-01,39,27,59,0,933
CIV,2026-07-01,2,2026-09-01,12,9,19,0,296
CIV,2026-07-01,3,2026-10-01,3,2,4,0,66
CIV,2026-07-01,4,2026-11-01,4,3,5,0,87
CIV,2026-07-01,5,2026-12-01,5,4,8,0,122
CIV,2026-07-01,6,2027-01-01,51,36,77,0,1222
COK,2026-07-01,1,2026-08-01,55,13,446,0,2515
COK,2026-07-01,2,2026-09-01,73,17,595,0,3358
COK,2026-07-01,3,2026-10-01,47,11,384,0,2168
COK,2026-07-01,4,2026-11-01,70,17,569,0,3207
COK,2026-07-01,5,2026-12-01,32,8,260,0,1466
COK,2026-07-01,6,2027-01-01,5,3,24,0,67
COL,2026-07-01,1,2026-08-01,8204,5762,9779,3783,13553
COL,2026-07-01,2,2026-09-01,9228,6061,10590,3575,18261
COL,2026-07-01,3,2026-10-01,10096,5423,13627,3379,22667
COL,2026-07-01,4,2026-11-01,10737,5879,15616,3586,27346
COL,2026-07-01,5,2026-12-01,10265,6254,16007,3059,23825
COL,2026-07-01,6,2027-01-01,13576,8971,20736,3660,32629
CRI,2026-07-01,1,2026-08-01,905,715,970,485,1769
CRI,2026-07-01,2,2026-09-01,744,538,1171,325,1895
CRI,2026-07-01,3,2026-10-01,684,521,1066,314,2980
CRI,2026-07-01,4,2026-11-01,593,329,719,167,3478
CRI,2026-07-01,5,2026-12-01,325,192,460,65,1897
CRI,2026-07-01,6,2027-01-01,164,119,408,84,1833
CUB,2026-07-01,1,2026-08-01,4225,4151,4691,3618,5055
CUB,2026-07-01,2,2026-09-01,5429,4997,5720,4647,6340
CUB,2026-07-01,3,2026-10-01,5437,5025,5791,4955,6601
CUB,2026-07-01,4,2026-11-01,4476,4293,5023,3825,5385
CUB,2026-07-01,5,2026-12-01,3107,2667,3464,2596,3723
CUB,2026-07-01,6,2027-01-01,4090,3176,7088,1909,8659
CUW,2026-07-01,1,2026-08-01,48,40,53,23,99
CUW,2026-07-01,2,2026-09-01,50,42,55,24,103
CUW,2026-07-01,3,2026-10-01,72,60,79,35,149
CUW,2026-07-01,4,2026-11-01,84,69,92,41,172
CUW,2026-07-01,5,2026-12-01,102,84,112,49,210
CUW,2026-07-01,6,2027-01-01,99,82,109,48,204
CYM,2026-07-01,1,2026-08-01,3,3,3,1,5
CYM,2026-07-01,2,2026-09-01,6,6,7,5,8
CYM,2026-07-01,3,2026-10-01,22,21,22,16,43
CYM,2026-07-01,4,2026-11-01,18,18,24,16,28
CYM,2026-07-01,5,2026-12-01,7,6,8,1,8
CYM,2026-07-01,6,2027-01-01,9,4,79,3,80
DMA,2026-07-01,1,2026-08-01,15,15,15,13,17
DMA,2026-07-01,2,2026-09-01,21,17,23,15,27
DMA,2026-07-01,3,2026-10-01,28,23,30,22,37
DMA,2026-07-01,4,2026-11-01,29,24,35,21,38
DMA,2026-07-01,5,2026-12-01,21,21,25,18,31
DMA,2026-07-01,6,2027-01-01,7,4,67,2,454
DOM,2026-07-01,1,2026-08-01,120,71,320,48,527
DOM,2026-07-01,2,2026-09-01,167,74,428,41,1003
DOM,2026-07-01,3,2026-10-01,205,105,480,37,1459
DOM,2026-07-01,4,2026-11-01,162,98,294,26,663
DOM,2026-07-01,5,2026-12-01,123,76,320,23,654
DOM,2026-07-01,6,2027-01-01,99,72,358,24,736
ECU,2026-07-01,1,2026-08-01,1492,1130,1859,751,3548
ECU,2026-07-01,2,2026-09-01,1143,976,1435,656,3844
ECU,2026-07-01,3,2026-10-01,1059,800,1569,439,3745
ECU,2026-07-01,4,2026-11-01,909,670,1534,462,4415
ECU,2026-07-01,5,2026-12-01,1029,899,1324,682,3262
ECU,2026-07-01,6,2027-01-01,2115,1556,2577,1208,4211
ERI,2026-07-01,1,2026-08-01,272,180,343,105,518
ERI,2026-07-01,2,2026-09-01,426,282,536,164,809
ERI,2026-07-01,3,2026-10-01,495,328,623,190,942
ERI,2026-07-01,4,2026-11-01,573,380,721,220,1089
ERI,2026-07-01,5,2026-12-01,452,300,569,174,859
ERI,2026-07-01,6,2027-01-01,431,286,543,166,820
ETH,2026-07-01,1,2026-08-01,103,92,481,20,7706
ETH,2026-07-01,2,2026-09-01,187,167,875,36,14031
ETH,2026-07-01,3,2026-10-01,2299,2059,10781,438,172850
ETH,2026-07-01,4,2026-11-01,2026,1814,9498,386,152278
ETH,2026-07-01,5,2026-12-01,623,557,2919,119,46804
ETH,2026-07-01,6,2027-01-01,56,50,263,11,4212
FJI,2026-07-01,1,2026-08-01,229,176,387,131,977
FJI,2026-07-01,2,2026-09-01,194,113,255,61,646
FJI,2026-07-01,3,2026-10-01,113,93,218,62,632
FJI,2026-07-01,4,2026-11-01,804,418,2781,8,34303
FJI,2026-07-01,5,2026-12-01,567,482,649,337,672
FJI,2026-07-01,6,2027-01-01,1239,824,3539,26,39722
FSM,2026-07-01,1,2026-08-01,3,2,5,2,33
FSM,2026-07-01,2,2026-09-01,5,3,8,3,272
FSM,2026-07-01,3,2026-10-01,5,2,8,2,201
FSM,2026-07-01,4,2026-11-01,3,1,5,1,138
FSM,2026-07-01,5,2026-12-01,2,1,3,1,61
FSM,2026-07-01,6,2027-01-01,1,1,2,0,2
GLP,2026-07-01,1,2026-08-01,65,57,74,28,166
GLP,2026-07-01,2,2026-09-01,222,207,257,190,404
GLP,2026-07-01,3,2026-10-01,242,216,264,198,347
GLP,2026-07-01,4,2026-11-01,268,258,294,232,439
GLP,2026-07-01,5,2026-12-01,130,115,146,91,295
GLP,2026-07-01,6,2027-01-01,273,139,907,25,1742
GRD,2026-07-01,1,2026-08-01,16,4,19,0,72
GRD,2026-07-01,2,2026-09-01,14,3,30,0,148
GRD,2026-07-01,3,2026-10-01,8,2,22,0,127
GRD,2026-07-01,4,2026-11-01,5,1,14,0,20
GRD,2026-07-01,5,2026-12-01,3,1,13,0,33
GRD,2026-07-01,6,2027-01-01,6,4,17,2,30
GTM,2026-07-01,1,2026-08-01,7253,5500,8997,2668,17001
GTM,2026-07-01,2,2026-09-01,6051,4047,9456,2699,24732
GTM,2026-07-01,3,2026-10-01,6079,4162,7520,2228,25818
GTM,2026-07-01,4,2026-11-01,3487,2321,4376,1373,24718
GTM,2026-07-01,5,2026-12-01,2235,1650,4372,742,9389
GTM,2026-07-01,6,2027-01-01,2274,1288,4232,741,9324
GUF,2026-07-01,1,2026-08-01,4,2,9,0,25
GUF,2026-07-01,2,2026-09-01,3,1,7,0,60
GUF,2026-07-01,3,2026-10-01,314,116,1522,0,22076
GUF,2026-07-01,4,2026-11-01,365,334,453,281,497
GUF,2026-07-01,5,2026-12-01,282,204,294,78,419
GUF,2026-07-01,6,2027-01-01,1204,277,3867,105,26853
GUY,2026-07-01,1,2026-08-01,7675,6965,8170,3747,20724
GUY,2026-07-01,2,2026-09-01,8043,7347,8491,3828,18107
GUY,2026-07-01,3,2026-10-01,7676,6959,8407,4336,15127
GUY,2026-07-01,4,2026-11-01,6970,6134,7645,4390,9054
GUY,2026-07-01,5,2026-12-01,6115,5292,6763,3077,7046
GUY,2026-07-01,6,2027-01-01,966,869,1069,717,1684
HND,2026-07-01,1,2026-08-01,1514,831,2522,635,3215
HND,2026-07-01,2,2026-09-01,1309,802,2242,371,3027
HND,2026-07-01,3,2026-10-01,1206,762,1583,406,4852
HND,2026-07-01,4,2026-11-01,1037,490,1489,248,4108
HND,2026-07-01,5,2026-12-01,852,413,1028,191,3429
HND,2026-07-01,6,2027-01-01,538,504,2081,126,2552
HTI,2026-07-01,1,2026-08-01,192,134,243,47,309
HTI,2026-07-01,2,2026-09-01,258,180,326,64,415
HTI,2026-07-01,3,2026-10-01,156,109,197,38,251
HTI,2026-07-01,4,2026-11-01,153,107,193,38,246
HTI,2026-07-01,5,2026-12-01,413,288,523,102,665
HTI,2026-07-01,6,2027-01-01,338,236,428,83,544
IDN,2026-07-01,1,2026-08-01,7002,4961,9814,4011,10925
IDN,2026-07-01,2,2026-09-01,5704,3912,9704,2977,10528
IDN,2026-07-01,3,2026-10-01,9565,6389,13621,3417,18020
IDN,2026-07-01,4,2026-11-01,8721,7251,9186,6310,10665
IDN,2026-07-01,5,2026-12-01,9396,7093,10982,5855,14591
IDN,2026-07-01,6,2027-01-01,23067,12724,28114,9411,42530
IND,2026-07-01,1,2026-08-01,15005,14218,15341,13303,18226
IND,2026-07-01,2,2026-09-01,19895,19435,21094,17803,26217
IND,2026-07-01,3,2026-10-01,25616,24238,26932,21371,40458
IND,2026-07-01,4,2026-11-01,18335,17261,19429,15742,29887
IND,2026-07-01,5,2026-12-01,9634,9120,10198,8113,11454
IND,2026-07-01,6,2027-01-01,8126,2855,9296,1679,24172
JAM,2026-07-01,1,2026-08-01,22,7,49,0,87
JAM,2026-07-01,2,2026-09-01,36,14,69,0,388
JAM,2026-07-01,3,2026-10-01,20,11,64,2,461
JAM,2026-07-01,4,2026-11-01,31,17,51,5,1021
JAM,2026-07-01,5,2026-12-01,63,31,111,17,579
JAM,2026-07-01,6,2027-01-01,10,3,34,0,1242
KEN,2026-07-01,1,2026-08-01,3302,1903,7836,118,16718
KEN,2026-07-01,2,2026-09-01,2404,1386,5705,86,12171
